Straat,Coordinaten
Aambeeldstraat,"[""51.0805528"", ""5.0312117""]"
Achter de Bergen,"[""51.10244599097448"", ""5.018355472687404""]"
Akkerrode,"[""51.109934639482205"", ""4.998400872448797""]"
Akkerwinde,"[""51.08275807302707"", ""5.03020546865719""]"
Averboodse Baan,"[""51.05888359077549"", ""4.995085983302718""]"
Bennekensstraat,"[""51.10905517046997"", ""5.003715894204026""]"
Bergomseweg,"[""51.07361977522977"", ""4.940453490740716""]"
Bergstraat,"[""51.103597062069426"", ""5.009517954679036""]"
Berkenlaan,"[""51.10800605"", ""5.00018055""]"
Berthoutstraat,"[""51.10577385403022"", ""5.00154580591162""]"
Besauw,"[""51.07923664294066"", ""5.002533069532063""]"
Beustereind,"[""51.08271023459415"", ""5.036212993986046""]"
Biezenhoed,"[""51.100073627817814"", ""5.059639747667814""]"
Binnenveld,"[""51.07151009082881"", ""4.978981147667835""]"
Blaardonk,"[""51.088026902793686"", ""4.957002009086094""]"
Boerebeemden,"[""51.08818658130076"", ""5.07363809096424""]"
Borgtstraat,"[""51.08022228294698"", ""5.033143711213612""]"
Bremstraat,"[""51.107102600000005"", ""4.99956125""]"
Breugelstraat,"[""51.10831775206922"", ""4.997360718275661""]"
Broekstraat,"[""51.089338061795914"", ""5.043546852170519""]"
Brouwerijstraat,"[""51.0732753448129"", ""4.990987122144927""]"
Busschottenstraat,"[""51.064215944764214"", ""4.975073620367658""]"
Campaniestraat,"[""51.066006385708164"", ""4.987703242279794""]"
De Beemden,"[""51.10055846185927"", ""5.018560802995479""]"
De Hegge,"[""51.07021765164727"", ""4.9769077679462015""]"
De Heuvels,"[""51.08458089261013"", ""5.080947305406522""]"
De Hoge Hegge,"[""51.07131534934134"", ""4.9808593768480325""]"
De Korenbloem,"[""51.08277575429146"", ""5.027261195675467""]"
De Leeuwerik,"[""51.090137280176634"", ""5.057621785096956""]"
De Locht,"[""51.0910576"", ""5.05785495""]"
De Streep,"[""51.088081218764835"", ""5.072279293137313""]"
De Vloed,"[""51.079197563484506"", ""5.048129884965031""]"
Dennenstraat,"[""51.0760341315158"", ""4.959572485283285""]"
Diestse Baan,"[""51.05750564044174"", ""4.996287883362815""]"
Dikstraat,"[""51.08830975386983"", ""5.071024560369422""]"
Dongenblok,"[""51.072398288226346"", ""4.981108030263739""]"
Dwarsstraat,"[""51.10053305393191"", ""5.065749990958553""]"
Eikenstraat,"[""51.083828720622975"", ""5.065731863004616""]"
Eindakkerstraat,"[""FOUT, geen straat gevonden""]"
Eindhoutdorp,"[""51.10390104641283"", ""5.000581536125146""]"
Eindhoutse Heide,"[""51.112593716613546"", ""5.021423451595472""]"
Eindhoutseweg,"[""51.074818244268506"", ""4.9868752484071655""]"
Engstraat,"[""51.06973104693521"", ""4.994097954529008""]"
Gastenhuis,"[""51.07800229970895"", ""5.0250542198775925""]"
Geelsebaan,"[""51.091113360014475"", ""5.063825281413073""]"
Gemeenteheidestraat,"[""51.0998812"", ""4.991306600000001""]"
