Straat,Coordinaten
Achterdreef,"[""51.0279274"", ""3.8476426""]"
Achterstraat,"[""51.0299686"", ""3.8484634""]"
Apostelhuizen,"[""51.0585555"", ""3.9066047""]"
Ascopstraat,"[""51.0451675"", ""3.8685559""]"
Asselstraatje,"[""51.0328635"", ""3.931233""]"
Asselwegel,"[""51.0357876"", ""3.9232117""]"
Asserij,"[""51.0443875"", ""3.8231135""]"
Autosnelweg E17,"[""FOUT, geen straat gevonden""]"
Balveriebos,"[""51.0325802"", ""3.8304887""]"
Beddeneedstraat,"[""51.0527086"", ""3.881102""]"
Beekstuk,"[""51.0391869"", ""3.9222647""]"
Beelos,"[""51.0262537"", ""3.8579564""]"
Bellestraat,"[""FOUT, geen straat gevonden""]"
Bergstraat,"[""51.0477321"", ""3.8621054""]"
Berlindestraat,"[""51.0372277"", ""3.8990265""]"
Berringstraat,"[""51.0400531"", ""3.9244741""]"
Bieststraat,"[""51.0388426"", ""3.9109381""]"
Bleekweg,"[""51.0358061"", ""3.9208958""]"
Bochtenstraat,"[""51.0318028"", ""3.8600121""]"
Bochtenwegel,"[""51.0346526"", ""3.8623086""]"
Bontinkstraat,"[""51.0488933"", ""3.9304521""]"
Boombosstraat,"[""51.0365909"", ""3.9215571""]"
Bosstraat,"[""51.0398005"", ""3.8564461""]"
Bosstraatje,"[""51.0450638"", ""3.9182005""]"
Boterhoekstraat,"[""51.0227238"", ""3.8633464""]"
Brandekenswegel,"[""51.0435786"", ""3.8647725""]"
Brandemanstraat,"[""51.0386889"", ""3.8536766""]"
Breestraat,"[""51.0497633"", ""3.8589136""]"
Broekstraat,"[""51.0192705"", ""3.8254145""]"
Brugstraat,"[""51.0475246"", ""3.8924981""]"
Bulstraat,"[""51.0493236"", ""3.8461835""]"
Bunderakker,"[""51.0398216"", ""3.9217746""]"
Callestraat,"[""51.0599612"", ""3.8832161""]"
Centrumwijk,"[""51.0386537"", ""3.9129712""]"
Colmanstraat,"[""51.0284158"", ""3.8900268""]"
Dam,"[""51.0383595"", ""3.9201777""]"
De Wallekens,"[""51.0460939"", ""3.9166586""]"
Dendermondsesteenweg,"[""51.0466528"", ""3.9326582""]"
Dienstweg,"[""51.0686588"", ""3.9170686""]"
Dorpsstraat,"[""51.029512"", ""3.8506043""]"
Drapstraat,"[""51.0496453"", ""3.916422""]"
Driesstraat,"[""51.0350226"", ""3.8318471""]"
Eekhoekstraat,"[""51.0318855"", ""3.8372543""]"
Eekronkerstraat,"[""51.0309635"", ""3.8821695""]"
Eethoek,"[""51.066463"", ""3.9032954""]"
Ekerstraat,"[""51.028594"", ""3.8838538""]"
Elsstraat,"[""51.0520947"", ""3.8439828""]"
Ertbuurwegel,"[""51.0491093"", ""3.8397585""]"
Gaaiakker,"[""51.0270298"", ""3.8488623""]"
Gaverstraat,"[""51.0461544"", ""3.9335773""]"
Gaverstraatje,"[""51.0454042"", ""3.9304589""]"
Groenemeersen,"[""51.0335147"", ""3.9101322""]"
Groenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Groten Akker,"[""51.0383183"", ""3.921696""]"
