Straat,Coordinaten
Albert I-laan,"[""50.9135144"", ""2.9280187""]"
Bareelstraat,"[""50.9359022"", ""2.9541589""]"
Beekstraat,"[""50.9241761"", ""2.914031""]"
Berkenlaan,"[""50.9163852"", ""2.9232899""]"
Bikschotestraat,"[""50.9288928"", ""2.8553054""]"
Blaezestraat,"[""50.9173982"", ""2.8492267""]"
Blikstraat,"[""50.908309"", ""2.9253889""]"
Boezingestraat,"[""50.9033756"", ""2.9010153""]"
Boterbloemstraat,"[""50.9109892"", ""2.9231576""]"
Broekweg,"[""50.9316046"", ""2.8765661""]"
Bruggestraat,"[""50.9226563"", ""2.967257""]"
Brugseweg,"[""50.9000456"", ""2.940263""]"
Bruine Broekstraat,"[""50.897332"", ""2.9289838""]"
Cayennestraat,"[""50.9087644"", ""2.9212011""]"
Clevenstraat,"[""50.906934"", ""2.9258473""]"
Conterdreef,"[""FOUT, straat in foute gemeente gevonden""]"
Diksmuidestraat,"[""50.9350993"", ""2.8575437""]"
Donkerweg,"[""50.9125685"", ""2.9160182""]"
Dorpssteeg,"[""50.9190644"", ""2.9574261""]"
Duivenstraat,"[""50.9076022"", ""2.9259816""]"
Eeckhoutmolenstraat,"[""50.9131933"", ""2.9431843""]"
Eikenlaan,"[""50.9169637"", ""2.9208726""]"
Elf Novemberlaan,"[""50.9132105"", ""2.9243126""]"
Felix Nadarstraat,"[""50.8761105"", ""2.9407322""]"
Filettestraat,"[""50.9436614"", ""2.9759644""]"
Flandriastraat,"[""50.9093634"", ""2.9254469""]"
Galgestraat,"[""50.933865"", ""2.9154214""]"
Gistelhofstraat,"[""50.938096"", ""2.9159829""]"
Grasstraat,"[""50.9348473"", ""2.9364493""]"
Groenestraat,"[""50.900908"", ""2.9038716""]"
Guynemerplein,"[""50.9177085"", ""2.9569886""]"
Haezeweidestraat,"[""50.8859287"", ""2.9399679""]"
Hanebeekstraat,"[""50.8894486"", ""2.9413357""]"
Helftweg,"[""50.9378861"", ""2.9392026""]"
Hooyaardstraat,"[""50.921672"", ""2.9221697""]"
Houthulstseweg,"[""50.9205038"", ""2.953997""]"
Hugotstraat,"[""50.9157744"", ""2.8911718""]"
Ieperstraat,"[""50.9065077"", ""2.9126875""]"
Industriestraat,"[""50.917255"", ""2.9338713""]"
Kampstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Kapelmeers,"[""50.9208729"", ""2.9566081""]"
Kasteelstraat,"[""50.9138225"", ""2.9181576""]"
Kattestraat,"[""50.9259968"", ""2.9752746""]"
Keerzelaarstraat,"[""50.9032262"", ""2.9381997""]"
Kerkstraat,"[""50.9348876"", ""2.9307116""]"
Kleine Merkemstraat,"[""50.9307076"", ""2.9109936""]"
Klerkenstraat,"[""50.9162758"", ""2.9171723""]"
Koekuitstraat,"[""50.9254296"", ""2.9379427""]"
Korenbloemstraat,"[""50.9118428"", ""2.9226441""]"
Korte Eeckhoutmolenstraat,"[""50.9142177"", ""2.9277318""]"
Korte Ieperstraat,"[""50.9118974"", ""2.919231""]"
Kwellestraat,"[""50.9145488"", ""2.9617247""]"
Landetbeekstraat,"[""50.9235529"", ""2.9519092""]"
Lange Molenstraat,"[""50.9160989"", ""2.9746051""]"
Langemarkstraat,"[""50.9175971"", ""2.9562966""]"
Langewaedestraat,"[""50.9335427"", ""2.8620838""]"
Leeuwerikstraat,"[""50.9189399"", ""2.9605983""]"
Lekkerboterstraat,"[""50.9102881"", ""2.9284051""]"
Lijsterstraat,"[""50.9180335"", ""2.9646604""]"
Lindenlaan,"[""50.9172886"", ""2.9188421""]"
Mangelaarstraat,"[""50.9373114"", ""2.9146756""]"
Markt,"[""50.913681600000004"", ""2.920038087488522""]"
Meibloemweg,"[""50.9092366"", ""2.9220493""]"
Melkerijstraat,"[""50.9099429"", ""2.9002791""]"
Melkweg,"[""50.9124056"", ""2.9099441""]"
Merelstraat,"[""50.919515"", ""2.9637212""]"
Molenstraat,"[""50.9212633"", ""2.8713159""]"
Nieuwe Kalsijde,"[""50.915382"", ""2.914927""]"
Nieuwplaats,"[""50.9178176"", ""2.9590655""]"
O.L.Vrouwstraat,"[""FOUT, geen straat gevonden""]"
Oude Bosweg,"[""50.9159597"", ""2.9510799""]"
Oude Langemarkstraat,"[""50.9194595"", ""2.9457951""]"
Oudstrijderslaan,"[""50.9138747"", ""2.9268766""]"
Papaverweg,"[""50.9090487"", ""2.9229539""]"
Peerdebeekstraat,"[""50.9317385"", ""2.9623031""]"
Peperstraat,"[""50.8889976"", ""2.9349566""]"
Pilkemstraat,"[""50.924967"", ""2.8652002""]"
Poelkapellestraat,"[""50.9177526"", ""2.9290935""]"
Poeselstraat,"[""50.919156"", ""2.8550032""]"
Poorterstraat,"[""50.9260878"", ""2.9558331""]"
Poperingestraat,"[""50.9345914"", ""2.9607906""]"
Populierenhof,"[""50.9163223"", ""2.9203455""]"
Pottestraat,"[""50.9443636"", ""2.9234264""]"
