Straat,Coordinaten
Aalstersestraat,"[""50.9786931"", ""4.0874228""]"
Anjerstraat,"[""50.9937238"", ""4.1420432""]"
Azaleastraat,"[""50.9936205"", ""4.1391014""]"
Baardegemsestraat,"[""50.9759369"", ""4.1270242""]"
Baasrodestraat,"[""51.0081372"", ""4.1406807""]"
Bakkersstraat,"[""50.997287"", ""4.1351115""]"
Bareelstraat,"[""50.9964162"", ""4.1456667""]"
Beekveldstraat,"[""50.9950485"", ""4.1476481""]"
Begonialaan,"[""50.9922141"", ""4.1409964""]"
Bellestraat,"[""50.997971"", ""4.1166656""]"
Benoit De Donderstraat,"[""50.9870231"", ""4.1566346""]"
Bermenstraat,"[""50.9944954"", ""4.0936776""]"
Bertstraat,"[""51.0037325"", ""4.0989847""]"
Beukendreef,"[""50.9918204"", ""4.099095""]"
Beukenstraat,"[""51.0033841"", ""4.1290809""]"
Binnenstraat,"[""50.9837496"", ""4.1433803""]"
Bleekstraat,"[""50.9946519"", ""4.0892373""]"
Blijstraat,"[""50.9950195"", ""4.1033163""]"
Bloesemstraat,"[""50.9940501"", ""4.1368568""]"
Bogaertsveld,"[""50.9935912"", ""4.1533103""]"
Bontegem,"[""50.975665"", ""4.105051""]"
Bovenhoek,"[""50.9804383"", ""4.0864668""]"
Bremenhulleken,"[""50.995994"", ""4.1573273""]"
Brouwersstraat,"[""51.0011872"", ""4.1254145""]"
Brugstraat,"[""50.9974721"", ""4.1403677""]"
Brusselsesteenweg,"[""50.9934825"", ""4.1328025""]"
Cantelebaan,"[""51.0027528"", ""4.1254168""]"
Centrumstraat,"[""51.001251"", ""4.133534""]"
D'Helst,"[""50.9873552"", ""4.1370969""]"
Dammekensstraat,"[""51.0116987"", ""4.1582954""]"
Damstraat,"[""51.0025035"", ""4.1074055""]"
De Niepte,"[""50.9929528"", ""4.1356646""]"
Dendermondsesteenweg,"[""51.004641"", ""4.124038""]"
Denderstraat,"[""51.001924"", ""4.0836468""]"
Donkerstraat,"[""50.9933804"", ""4.1562017""]"
Dorp,"[""51.0006378"", ""4.1280684""]"
Dorpswegel,"[""FOUT, geen straat gevonden""]"
Dries,"[""51.002586"", ""4.1057506""]"
Duivenkeetstraat,"[""51.0068464"", ""4.1331669""]"
Eeksken,"[""50.9891255"", ""4.1572827""]"
Eikenveldstraat,"[""50.9962055"", ""4.1243118""]"
Estella Walravestraat,"[""50.9955753"", ""4.1517678""]"
Fabrieksstraat,"[""50.9923946"", ""4.1520725""]"
Flor Hofmanslaan,"[""50.9993484"", ""4.124376""]"
Florent De Molstraat,"[""51.0051064"", ""4.1344534""]"
Fochelstraat,"[""50.9877602"", ""4.147225""]"
Fonteintje,"[""50.9939278"", ""4.0956122""]"
Fortstraat,"[""51.0069921"", ""4.1318161""]"
Frans Verberckmoesstraat,"[""50.9933715"", ""4.1537767""]"
Fresiastraat,"[""50.9925848"", ""4.1416035""]"
Gehuchtveldstraat,"[""50.9802721"", ""4.1102239""]"
Groeneweg,"[""50.9804945"", ""4.085334""]"
Grote Plaats,"[""51.0007331"", ""4.1284721""]"
Grote Snijdersstraat,"[""51.0039698"", ""4.1464583""]"
Haagstraat,"[""51.0085096"", ""4.136704""]"
Halfveld,"[""50.9939473"", ""4.1468651""]"
Hannaerden,"[""50.9758043"", ""4.0948559""]"
Heesterstraat,"[""50.9873835"", ""4.1490514""]"
Heidebaan,"[""50.9989714"", ""4.1586009""]"
Heidekant,"[""50.998595"", ""4.1555046""]"
Heidepark,"[""50.998647"", ""4.147605""]"
Heizijdestraat,"[""50.9999798"", ""4.1502744""]"
Hemelstraat,"[""50.9975914"", ""4.1305169""]"
Herenhoutenstraatje,"[""FOUT, geen straat gevonden""]"
Heuvelstraat,"[""50.978505"", ""4.127355""]"
Hoeksken,"[""50.9865486"", ""4.1074361""]"
Hof ten Damme,"[""FOUT, geen straat gevonden""]"
Hof ter Gaet,"[""50.9820604"", ""4.1312434""]"
Hof ter Hert,"[""51.0055759"", ""4.1289673""]"
Hof-ter-Burstbaan,"[""50.9839466"", ""4.146863""]"
Hof-ter-Geertstraat,"[""50.9804633"", ""4.0976362""]"
Hof-ter-Hertstraat,"[""51.005072"", ""4.1285609""]"
Hof-ter-Varentstraat,"[""50.994788"", ""4.131267""]"
Hof-ter-Ventstraat,"[""51.0042676"", ""4.1474497""]"
Hofstraat,"[""50.9953981"", ""4.0983443""]"
Hogebrug,"[""51.0104738"", ""4.0935178""]"
Hogeweg,"[""50.9948771"", ""4.1474274""]"
Hoogstraat,"[""50.9890486"", ""4.089949""]"
Hulststraat,"[""50.9963509"", ""4.1541739""]"
Ijzerenwegstraat,"[""50.9954984"", ""4.1482486""]"
Irisstraat,"[""50.9933346"", ""4.1397969""]"
Jozef Cardijnstraat,"[""50.9949467"", ""4.1383389""]"
Jules De Buckstraat,"[""51.0000206"", ""4.1291846""]"
Kakemanstraat,"[""50.9960254"", ""4.1683056""]"
Kapellekensbaan,"[""51.0023545"", ""4.1289963""]"
Kapellenstraat,"[""51.0011873"", ""4.0905644""]"
Kapittelstraat,"[""50.9762341"", ""4.080484""]"
Kerkhofstraat,"[""50.980172"", ""4.0840818""]"
Kerkkouter,"[""50.9797439"", ""4.0815412""]"
Kerkplein,"[""51.0005383"", ""4.1301104""]"
Kerkstraat,"[""50.999569"", ""4.1295039""]"
Kerkwegel,"[""51.0021544"", ""4.0894253""]"
Klakbaan,"[""50.9990185"", ""4.14947""]"
Klein Gent,"[""50.9787453"", ""4.1268627""]"
Klein-Antwerpenstraat,"[""50.9926257"", ""4.1566569""]"
Kleine Snijdersstraat,"[""51.0051878"", ""4.1468637""]"
Kloosterstraat,"[""50.9841259"", ""4.0846416""]"
Koning Albert I-straat,"[""51.0001792"", ""4.1342012""]"
Koningin Astridplein,"[""51.000438"", ""4.1333031""]"
Konkelgoedstraat,"[""51.0004381"", ""4.1335727""]"
Korte Breestraat,"[""50.9741373"", ""4.1284727""]"
Korte Minnestraat,"[""50.9795583"", ""4.1362177""]"
Korte Varentstraat,"[""50.9952997"", ""4.1315839""]"
Korte Weversstraat,"[""50.9914691"", ""4.1343122""]"
Kouterbaan,"[""50.9958117"", ""4.1179096""]"
Kramwegel,"[""51.0009907"", ""4.0855619""]"
Kruisabeel,"[""50.970879"", ""4.0834087""]"
Kruisabeellos,"[""50.9719672"", ""4.0865816""]"
Kruisstraat,"[""51.0034186"", ""4.0927532""]"
Kruisveldbaan,"[""50.981403"", ""4.1014646""]"
Kwade Steekbaan,"[""FOUT, geen straat gevonden""]"
Lange Breestraat,"[""50.9797457"", ""4.1560215""]"
Lange Minnestraat,"[""50.981783"", ""4.1413282""]"
Lange Molenstraat,"[""50.9937775"", ""4.1217789""]"
Lange Weversstraat,"[""50.9880474"", ""4.1359495""]"
Langeroot,"[""50.971166"", ""4.1189366""]"
Langestraat,"[""50.9964352"", ""4.1432441""]"
Laurierstraat,"[""50.9982098"", ""4.1305235""]"
Leo Duboisstraat,"[""50.9987672"", ""4.1229314""]"
Lindekensstraat,"[""50.9982932"", ""4.1534047""]"
Lindelaan,"[""51.0040236"", ""4.1268727""]"
Macharisdreef,"[""51.0073762"", ""4.1208353""]"
Magnoliastraat,"[""50.9929196"", ""4.1390562""]"
Mandekensstraat,"[""51.0196435"", ""4.1520002""]"
Meerskant,"[""50.9985199"", ""4.088676""]"
Meidoornstraat,"[""51.0051684"", ""4.1317875""]"
Meysveld,"[""50.9896204"", ""4.1414904""]"
Meysveldbaan,"[""50.9880474"", ""4.1359495""]"
