Straat,Coordinaten
's Hertogenlaan,"[50.8862373, 4.684267]"
's Hertogenwijngaard,"[50.8881027, 4.6921832]"
's-Meiersstraat,"[50.8776616, 4.7022403]"
't Pachthof,"[""FOUT, straat in foute gemeente gevonden""]"
Aambeeldstraat,"[50.9315939, 4.7265975]"
Aapad,"[""FOUT, geen straat gevonden""]"
Aapark,"[""FOUT, geen straat gevonden""]"
Aarschotsesteenweg,"[50.9038736, 4.7088301]"
Abdij Vlierbeek,"[50.8913938, 4.736836091062164]"
Abdij van Park,"[50.864509749999996, 4.717744975558103]"
Abdijstraat,"[50.8609136, 4.7151898]"
Acaciaplein,"[50.9070596, 4.7211914]"
Acaciastraat,"[50.907079, 4.7207673]"
Acht-Meistraat,"[50.9249544, 4.7011678]"
Achter de Latten,"[50.8877237, 4.699524]"
Achttienaprillaan,"[50.8940268, 4.6979643]"
Achttienaprilpad,"[""FOUT, geen straat gevonden""]"
Achturenstraat,"[50.8888126, 4.7207028]"
Adjudant Harboortstraat,"[50.8709591, 4.7205]"
Adolphe Bastinstraat,"[50.8734901, 4.6909671]"
Alaudastraat,"[50.8595857, 4.7057035]"
Alberdingk Thijmlaan,"[""FOUT, geen straat gevonden""]"
Albert Dejonghestraat,"[50.8766473, 4.7292536]"
Albert Giraudstraat,"[50.8706, 4.7005757]"
Albert Stainierstraat,"[50.8707929, 4.7227652]"
Albert Woutersstraat,"[50.8897022, 4.6961413]"
Albrecht Rodenbachstraat,"[50.8905721, 4.7241884]"
Albrechtplein,"[50.87258865, 4.699342771334962]"
Alfons Fierensstraat,"[50.930757, 4.7242968]"
Alfons Roelandtsstraat,"[50.8900841, 4.7254627]"
Alfons Smetsplein,"[50.8773882, 4.704059762078652]"
Alfons Stesselstraat,"[50.8979649, 4.691132]"
Alfons Van Geelstraat,"[50.9000814, 4.6974575]"
Alfons Verbovenstraat,"[50.9049752, 4.697631]"
Alfred Delaunoislaan,"[50.8726886, 4.7167862]"
Alsembergstraat,"[50.869158, 4.651388]"
Ambachtenlaan,"[50.8508577, 4.7213508]"
Amerikalaan,"[50.8810635599958, 4.696649278541411]"
Andreas Vesaliusstraat,"[50.87547363605497, 4.708113261812379]"
André Emondstraat,"[50.9196586312029, 4.698780784762708]"
Ankerstraat,"[50.8878831509154, 4.70404308296978]"
Antonia van Roesmaelelaan,"[50.85863918473768, 4.65361643063226]"
Antonius Rodolphestraat,"[50.85903776588474, 4.648450066515998]"
Arendstraat,"[50.87823062365537, 4.707892835067238]"
Armand Meyswijk,"[50.909976145718254, 4.707381341871251]"
Armand Thiérylaan,"[50.86113799191236, 4.708035288033775]"
Arnould Nobelstraat,"[50.87750312214964, 4.7134749265552855]"
Arthur De Greefstraat,"[50.874939080643216, 4.689902085670625]"
Arthur Meulemanslaan,"[50.86883765, 4.6737607]"
Asstraat,"[50.88815931378901, 4.701268782668846]"
Atalantastraat,"[50.88999914445339, 4.738770271754262]"
Atelierstraat,"[50.88382722749628, 4.723593292622851]"
August Vermeylenlaan,"[50.87463780191514, 4.7260383513710975]"
