Straat,Coordinaten
't Goedtermeersweg,"[""51.00905839588174"", ""3.158583931838793""]"
A. Rodenbachlaan,"[""51.0315121"", ""3.137100772701104""]"
Albert Termotelaan,"[""51.027709400000006"", ""3.1294762""]"
Astridlaan,"[""51.0267904"", ""3.1437602""]"
Bellestraat,"[""51.0266594"", ""3.1563529""]"
Beukenlaan,"[""51.02197455"", ""3.13390965""]"
Beverenstraat,"[""51.000350486699254"", ""3.149519683610112""]"
Bollestraat,"[""51.047177745454334"", ""3.1179771685342264""]"
Bontenhondstraat,"[""51.027527791453686"", ""3.1589964101983736""]"
Bontensstraat,"[""51.02355795333441"", ""3.1420551648768993""]"
Boomgaardstraat,"[""51.0289554171906"", ""3.1425093119091225""]"
Brasstraat,"[""50.99573647648508"", ""3.1461013555529105""]"
Brugsebaan,"[""51.031524387284165"", ""3.1096946888615555""]"
Burgemeester Callewaertlaan,"[""51.025505599999995"", ""3.1292363499999998""]"
Burgemeesterstraat,"[""51.011710462518806"", ""3.1370486333381025""]"
Cardynlaan,"[""51.021447050000006"", ""3.1351675500000002""]"
Claeyskensstraat,"[""51.05079858468819"", ""3.1421887812672145""]"
Compernolleweg,"[""51.050571149999996"", ""3.1488033""]"
Daalderstraat,"[""51.02056937049926"", ""3.1743773965980164""]"
Damplasstraat,"[""51.040739450000004"", ""3.156494""]"
Damwegel,"[""51.02500388408332"", ""3.1440370955155403""]"
Depuydtsvoetweg,"[""51.039066500000004"", ""3.1548905""]"
Diksmuidseboterweg,"[""51.0142417098561"", ""3.1598736808554766""]"
Dokter Roelenslaan,"[""51.025929368896435"", ""3.1329864123961015""]"
Driekoningen,"[""51.02905257169159"", ""3.14542371222735""]"
Duifhoekstraat,"[""51.01594191855338"", ""3.127083101830774""]"
E. Claeslaan,"[""51.03276399678882"", ""3.1349282892799875""]"
Eikenlaan,"[""51.023437200000004"", ""3.13364655""]"
Essestraat,"[""51.032599246571664"", ""3.1316463560217445""]"
Europalaan,"[""51.02785595848323"", ""3.1263533520385924""]"
F. Timmermanslaan,"[""51.0310094"", ""3.1393877000000003""]"
Fonteinestraat,"[""51.0340492"", ""3.1590778""]"
François Blauweweg,"[""51.00779480349501"", ""3.1436285986835824""]"
Gaaipersstraat,"[""51.030974742084915"", ""3.1436400282927677""]"
Galgestraat,"[""51.01293588770955"", ""3.175453915408481""]"
Gentweg,"[""51.00364803875411"", ""3.1682609492563105""]"
Gezellelaan,"[""51.028966"", ""3.1418483999999998""]"
Gildhofweg,"[""51.026028353461136"", ""3.141822355121585""]"
Gitsevoetweg,"[""51.019379"", ""3.13509095""]"
Grietestraat,"[""51.06164538503008"", ""3.1377909713483856""]"
Groendalekapelleweg,"[""51.01679483797924"", ""3.173247419784229""]"
Groenstraat,"[""51.02568283956901"", ""3.141751153032366""]"
Haantjeshof,"[""51.02277087322505"", ""3.1240978902011274""]"
Hazelstraat,"[""51.0181405"", ""3.1129202""]"
Heistraat,"[""FOUT, straat in foute gemeente gevonden""]"
Hogelaanstraat,"[""51.06681168752036"", ""3.1501735092196586""]"
Hoogstraat,"[""51.02775754636244"", ""3.1412763529404235""]"
Hoogwielkestraat,"[""51.028405895326465"", ""3.1434916210752224""]"
Industrielaan,"[""51.03012612236483"", ""3.1161238716705935""]"
Jan Verzikkelstraat,"[""51.052445073157"", ""3.1461359309185144""]"
Jules Missinnelaan,"[""51.03039140556561"", ""3.1298969553216547""]"
Kapellestraat,"[""51.05433246824744"", ""3.141550539284375""]"
Kasteelstraat,"[""51.04778715659927"", ""3.1301284049132634""]"
Kattestraat,"[""51.039421165740485"", ""3.139663149166962""]"
Kauwentijnestraat,"[""51.02789122941846"", ""3.1472680511346405""]"
Kerkplein,"[""51.02732714527354"", ""3.140826008272319""]"
Kernemelkputstraat,"[""51.02021582111478"", ""3.1032686752625485""]"
Ketelbuiserstraat,"[""51.0378611"", ""3.1333238""]"
Kl.Kauwentijnestraat,"[""51.03061753772799"", ""3.1715411376947404""]"
Kleine Bruggeweg,"[""51.046653221228176"", ""3.154550907607772""]"
Kleine Essestraat,"[""51.03749213604971"", ""3.1274104977110273""]"
Kleine Zwevezelestraat,"[""51.04337790125175"", ""3.1631576474174063""]"
Klinkestraat,"[""51.00612135"", ""3.1399195499999997""]"
Klyseweg,"[""51.02487178213508"", ""3.1410304459719898""]"
Koning Boudewijnlaan,"[""51.02938317809509"", ""3.127053276489562""]"
Koolskampstraat,"[""51.008230999999995"", ""3.1736287499999998""]"
Kortemarkstraat,"[""51.02377361839469"", ""3.1053081624951084""]"
Kortestraat,"[""51.02114721265731"", ""3.142863566125302""]"
Kortrijkstraat,"[""51.01302420848562"", ""3.157636255742821""]"
Kruiseboomweg,"[""51.03153659537728"", ""3.1313208973710167""]"
Kruiseekstraat,"[""51.041511768791025"", ""3.118748371011834""]"
Kwakkelstraat,"[""51.03318728014432"", ""3.113991685482662""]"
Kwartierweg,"[""51.04598856190569"", ""3.1501399885374104""]"
Lange Vijverstraat,"[""51.05322702193871"", ""3.1323365990380143""]"
Leenstraat,"[""51.03402499728746"", ""3.1495169144298996""]"
Leeuwstraat,"[""51.0296024205749"", ""3.125952603238426""]"
Lerberghevoetweg,"[""51.02306763555339"", ""3.1159427037573093""]"
Leysafortstraat,"[""51.01726092867809"", ""3.155668288207727""]"
Margarethalaan,"[""51.025183126884166"", ""3.149060373211353""]"
Marktplaats,"[""51.027205111362846"", ""3.140203232120413""]"
Marktstraat,"[""51.0266045"", ""3.13825225""]"
Merelstraat,"[""51.04151350909244"", ""3.124589434933667""]"
Middenstraat,"[""51.026126346947265"", ""3.1363330664671527""]"
Moerplasstraat,"[""51.03094724114993"", ""3.165872145804227""]"
Molenbinnenweg,"[""51.035399086451605"", ""3.152840454314826""]"
Molenlaan,"[""51.02455097758649"", ""3.1496294343264255""]"
Mortelputstraat,"[""51.025904165942215"", ""3.117236048404389""]"
Mosselstraat,"[""51.030383"", ""3.1487839""]"
Neerstraat,"[""51.026723109758166"", ""3.141184703090971""]"
Nieuwe Veldstraat,"[""51.03210355"", ""3.14571205""]"
Nieuwstraat,"[""51.02196973641729"", ""3.140886900775304""]"
Olmenlaan,"[""51.023693442638205"", ""3.13598917341155""]"
Oude Bruggeweg,"[""51.05246765"", ""3.1522384""]"
Oude Heirweg,"[""51.0020368"", ""3.17289675""]"
Oude Kortemarkstraat,"[""51.02379307858775"", ""3.1023577505488937""]"
Ouderwijk,"[""51.021641953111256"", ""3.148554841937173""]"
Parkstraat,"[""51.050267384682"", ""3.1286653097049575""]"
