Straat,Coordinaten
10de Zijweg,"[""50.86907174253465"", ""4.09130062784444""]"
12de Zijweg,"[""50.86914685"", ""4.092162""]"
14de Zijweg,"[""50.868682906705935"", ""4.0939501548933945""]"
16de Zijweg,"[""50.868704653934905"", ""4.0943226505238615""]"
18de Zijweg,"[""50.8682867"", ""4.095156149999999""]"
20ste Zijweg,"[""50.868187795412176"", ""4.095393019577368""]"
5de Zijweg,"[""50.86834855"", ""4.091685549999999""]"
6de Zijweg,"[""50.86902106462347"", ""4.090449973739461""]"
7de Zijweg,"[""50.867483899999996"", ""4.09420575""]"
8ste Zijweg,"[""50.86923868505095"", ""4.090879569071555""]"
9de Zijweg,"[""50.867335999999995"", ""4.09463465""]"
Affligemsestraat,"[""50.8825563"", ""4.0949107""]"
Aldriezen,"[""50.85631072400897"", ""4.084477862160705""]"
Appelboomstraat,"[""50.88101813778113"", ""4.0911173695597265""]"
Bakkerijstraat,"[""50.868529"", ""4.0841441""]"
Begonialaan,"[""50.85737372785151"", ""4.113361866124215""]"
Beukenlaan,"[""50.86487545173447"", ""4.102471455110538""]"
Beukenplein,"[""FOUT, geen straat gevonden""]"
Beysstraat,"[""50.86754365978357"", ""4.084650039913871""]"
Boerenkrijglaan,"[""50.86105411455685"", ""4.115611923451889""]"
Bombardonstraat,"[""50.8647811132333"", ""4.09538185040365""]"
Bosbaan,"[""50.88306145"", ""4.1055398""]"
Bouchoutstraat,"[""FOUT, geen straat gevonden""]"
Bouchtweg,"[""50.858679002526664"", ""4.075637693868697""]"
Briefveld,"[""50.85706761942329"", ""4.0664875816436465""]"
Broekenbospad,"[""50.86317162708361"", ""4.07614625577063""]"
Bunderstraat,"[""50.87605891483945"", ""4.093317946473761""]"
Cathembaan,"[""50.86776135"", ""4.0934493""]"
Cathemlindeweg,"[""50.86657642185665"", ""4.093440665209928""]"
Dahlialaan,"[""50.87450411894765"", ""4.096824814291471""]"
Den Haesestraat,"[""50.87468337172094"", ""4.08745762958665""]"
Denderstraat,"[""50.85602220809175"", ""4.061384569219818""]"
Dennenlaan,"[""50.86221237026034"", ""4.10221429504441""]"
Dommelingenstraat,"[""50.865664328030334"", ""4.073456887743167""]"
Driesstraat,"[""50.85842336778414"", ""4.0675628485095725""]"
Ed. Schelfhoutstraat,"[""50.86582853329963"", ""4.099600130191312""]"
Eikenlaan,"[""50.86322642363924"", ""4.099788482826182""]"
Elzenlaan,"[""50.862817327401295"", ""4.101785590415905""]"
Esdoornlaan,"[""50.86315586865337"", ""4.102836786119683""]"
Fabrieksstraat,"[""50.86979032302332"", ""4.092794009958125""]"
Fazantenlaan,"[""50.85982377829848"", ""4.1173084798627535""]"
G. Mertensstraat,"[""FOUT, geen straat gevonden""]"
Gasthuisstraat,"[""FOUT, geen straat gevonden""]"
Gemeenteplein,"[""50.87080715"", ""4.0828161000000005""]"
Gladiolenlaan,"[""50.85929381654272"", ""4.110583445666377""]"
Graesbaan,"[""50.86133881237742"", ""4.082601924152881""]"
Gravenbosstraat,"[""50.85605622771943"", ""4.119804528405018""]"
Gravenplein,"[""50.858910367385675"", ""4.118476664121317""]"
Guldenstraat,"[""50.87597251447"", ""4.0893341109710475""]"
Heidestraat,"[""50.863000441631705"", ""4.090587906187951""]"
Heuvelkouterweg,"[""50.86752600557293"", ""4.080487306091998""]"
Hoefstraat,"[""50.86263147778564"", ""4.096562957130554""]"
Hoeksken,"[""50.8693296056099"", ""4.092235955704829""]"
Holstraat,"[""50.8567748"", ""4.0742""]"
Hortensialaan,"[""50.85907718308572"", ""4.113812486632011""]"
Houtmarktstraat,"[""50.8670280686396"", ""4.077617750019707""]"
Impegemstraat,"[""50.85812879105601"", ""4.068749914840829""]"
Jagerspad,"[""50.86083113370071"", ""4.0836728705928635""]"
Kapellebaan,"[""50.86799481717283"", ""4.0984228735452195""]"
Kapelstraat,"[""50.87421561425458"", ""4.0871486209854275""]"
Kastanjelaan,"[""50.861384871852245"", ""4.099374533017751""]"
Kasteelstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Kawaterstraat,"[""50.877020517395664"", ""4.0915505819250635""]"
Keirekenslos,"[""50.85729015"", ""4.0698207""]"
Kerkstraat,"[""50.86988265"", ""4.081561000000001""]"
Kerselarenlaan,"[""50.858135451715185"", ""4.120683354549586""]"
Kleemputtenstraat,"[""50.87137077570186"", ""4.09293728706748""]"
Kleistraat,"[""50.8552273"", ""4.1210687""]"
Korenbloemenlaan,"[""FOUT, geen straat gevonden""]"
Laan I,"[""50.8714411"", ""4.0996155""]"
Laan III,"[""50.86628575"", ""4.1005503""]"
Lijsterlaan,"[""50.85852081862149"", ""4.117442096029291""]"
Lindebergstraat,"[""50.86289928837538"", ""4.091573351196478""]"
Lindestraat,"[""50.87312532116151"", ""4.090907872797095""]"
Linthoutstraat,"[""50.864553099999995"", ""4.08843545""]"
Loddershoekstraat,"[""50.86771036849592"", ""4.087251861670638""]"
Meersstraat,"[""50.874784399999996"", ""4.086535722088238""]"
Meeuwenlaan,"[""50.85841432231308"", ""4.119321338159295""]"
Meidoornlaan,"[""50.86206643491907"", ""4.099823897619889""]"
Meregrachtstraat,"[""50.87238845640374"", ""4.093575027637571""]"
Mijnherenstraat,"[""50.87366778731925"", ""4.087874060689968""]"
Mimosalaan,"[""50.87664605"", ""4.1005555000000005""]"
Molenstraat,"[""50.872131412260636"", ""4.086127916087344""]"
Monniksbosstraat,"[""50.85742008267293"", ""4.099928664534014""]"
Monniksplein,"[""50.8586619"", ""4.1128141158415055""]"
Monnikveldstraat,"[""FOUT, geen straat gevonden""]"
Muilenstraat,"[""50.878024702810315"", ""4.0954459606615545""]"
Mulhofstraat,"[""50.863729592781574"", ""4.083903625590338""]"
Muurstraat,"[""50.8670849"", ""4.083576""]"
N 208,"[""50.8711313"", ""4.0860754""]"
Nieuwstraat,"[""50.86822397891142"", ""4.090169899931743""]"
Nijverheidszone 'Begijnenmeers',"[""50.885735800000006"", ""4.0897765""]"
Notelarenlaan,"[""50.8574533"", ""4.123382551831354""]"
Olmenlaan,"[""50.86258246620151"", ""4.10060924249515""]"
Ommegangsstraat,"[""FOUT, geen straat gevonden""]"
Opperstraat,"[""50.8711124"", ""4.08358875""]"
Oude Bombardonstraat,"[""50.868208249999995"", ""4.0892257999999995""]"
Oude Muilenstraat,"[""50.87831852181922"", ""4.095822605920471""]"
POSSCHIERWEG,"[""FOUT, geen straat gevonden""]"
Paardenputstraat,"[""FOUT, geen straat gevonden""]"
Palmenlaan,"[""50.864096140069385"", ""4.103112306870507""]"
Pamelsestraat,"[""50.8681776"", ""4.0869704""]"
Papenbergstraat,"[""50.87322857532632"", ""4.0867254484175515""]"
Pastoriesteeg,"[""FOUT, geen straat gevonden""]"
Peehoopstraat,"[""50.871514511754135"", ""4.093103633867148""]"
Pekenomensstraat,"[""50.87314975"", ""4.094343963898432""]"
Pijnegemstraat,"[""50.86065895"", ""4.0858641""]"
Pijpstraat,"[""50.87319862218398"", ""4.084374552941761""]"
Pioenenlaan,"[""50.8583744"", ""4.112019500000001""]"
Platanenlaan,"[""50.8565957490802"", ""4.121027624435932""]"
Poortstraat,"[""50.874121150681994"", ""4.085104318802995""]"
Populierenlaan,"[""50.8622541248647"", ""4.103610240915014""]"
Resedalaan,"[""FOUT, geen straat gevonden""]"
Rozemarijnlaan,"[""50.86177611005234"", ""4.090163037219306""]"
Rozenlaan,"[""50.87683766277607"", ""4.0992543572411195""]"
Salvialaan,"[""50.87314963473535"", ""4.097598098361479""]"
Schapenstraat,"[""50.86347653201825"", ""4.09208118673274""]"
Seringenlaan,"[""50.858188097351515"", ""4.113760729193142""]"
Slochtestraat,"[""50.85914965678947"", ""4.084841131322523""]"
Sparrenlaan,"[""FOUT, geen straat gevonden""]"
Sportlaan,"[""50.8624987"", ""4.0814887""]"
St-Gabriëlstraat,"[""50.864295111826074"", ""4.084926845007593""]"
Stationsstraat,"[""50.87353215"", ""4.085844""]"
Steinfurtdreef,"[""50.870228530481036"", ""4.083749035027073""]"
Toekomststraat,"[""50.866258650000006"", ""4.08377995""]"
Tulpenlaan,"[""50.858820189468624"", ""4.111229796191866""]"
Valierstraat,"[""50.87886812216803"", ""4.093983806826949""]"
Vandeveldelosweg,"[""FOUT, geen straat gevonden""]"
Velodroomplein,"[""50.86878640640144"", ""4.089262359938276""]"
Velodroomstraat,"[""50.865530208323584"", ""4.096919588135166""]"
Verlorenkoststraat,"[""50.87060853917908"", ""4.096234368976662""]"
Vijfhoekstraat,"[""50.86886106528495"", ""4.081268926766181""]"
Vinkenlaan,"[""50.858418047075716"", ""4.116894822703446""]"
Violetstraat,"[""50.867096178988916"", ""4.08724626140222""]"
Viooltjeslaan,"[""50.85769002514055"", ""4.112296635728506""]"
Visserveldstraat,"[""50.87959326961244"", ""4.091803118540991""]"
Vooruitgangsstraat,"[""50.86478900116354"", ""4.084925504675212""]"
Vrijheidsstraat,"[""50.86872273182921"", ""4.093319987546845""]"
Warandestraat,"[""50.8684"", ""4.08686""]"
Weidestraat,"[""50.863777137146634"", ""4.090263308559372""]"
Wilgenlaan,"[""50.856533497492"", ""4.123173900562959""]"
Zavelstraat,"[""50.88132385"", ""4.0923661""]"
Zilverberkenlaan,"[""FOUT, straat in foute gemeente gevonden""]"
Zilverenbosweg,"[""50.86180255741528"", ""4.0722121945136""]"
Zwaluwenlaan,"[""50.85935880450134"", ""4.118918710930935""]"
