Straat,Coordinaten
Aarschotsesteenweg,"[""51.1232626"", ""4.5776806""]"
Abtsherbergstraat,"[""51.1324042"", ""4.5726493""]"
Acaciaplein,"[""51.1260567"", ""4.5565968""]"
Akkerstraat,"[""51.123068"", ""4.5745553""]"
Amerstraat,"[""51.1466326"", ""4.5774399""]"
Anderstad,"[""51.1190186"", ""4.5660917""]"
Anton Bergmannlaan,"[""51.1363873"", ""4.5682094""]"
Antoon Thirystraat,"[""51.1340499"", ""4.5520383""]"
Antoon Van Dijcklaan,"[""51.1307411"", ""4.5560638""]"
Antwerpsesteenweg,"[""51.14636"", ""4.5401284""]"
Antwerpsestraat,"[""51.1345296"", ""4.5656474""]"
Aragonstraat,"[""51.1313181"", ""4.5727887""]"
Arbeidsstraat,"[""51.1416563"", ""4.5599968""]"
Arendbeek,"[""51.1400545"", ""4.5716688""]"
Arthur Vanderpoortenlaan,"[""51.1281352"", ""4.573355""]"
Ast,"[""51.1281802"", ""4.5891955""]"
Azalealaan,"[""51.1381607"", ""4.5546856""]"
Baanvelden,"[""51.1024371"", ""4.5093002""]"
Barbara-Vettersplein,"[""51.130210500000004"", ""4.576322698564361""]"
Bareelstraat,"[""51.1375561"", ""4.5673589""]"
Baron Carolylaan,"[""51.1412952"", ""4.5465573""]"
Baron Opsomerlaan,"[""51.1350155"", ""4.563854""]"
Beatrijslaan,"[""51.142841"", ""4.5930947""]"
Beekstraat,"[""51.09264"", ""4.6002155""]"
Beemdstraat,"[""51.1297121"", ""4.5871998""]"
Begijnhofstraat,"[""51.1295967"", ""4.5686872""]"
Belfortplein,"[""51.1418382"", ""4.5674524""]"
Benedenbaan,"[""51.1245551"", ""4.5739147""]"
Berlaarsesteenweg,"[""51.1257836"", ""4.598563""]"
Berlaarsestraat,"[""51.1292945"", ""4.5774477""]"
Berlarij,"[""51.1283692"", ""4.5814383""]"
Bernard Van Hoolstraat,"[""51.099401"", ""4.6136653""]"
Bernardijnenlaan,"[""51.1402898"", ""4.5755317""]"
Beukenlaan,"[""51.1256072"", ""4.5559828""]"
Beukheuvel,"[""51.0847891"", ""4.5720891""]"
Bist,"[""51.1479494"", ""4.6020238""]"
Bles,"[""51.1292568"", ""4.5682388""]"
Bloemenhof,"[""51.1630444"", ""4.5472257""]"
Blokstraat,"[""51.1337865"", ""4.572295""]"
Bodegemstraat,"[""51.1273851"", ""4.567636""]"
Boekweitlaan,"[""51.0904928"", ""4.6125679""]"
Boerenkrijglaan,"[""51.090031"", ""4.6086001""]"
Bollaarstraat,"[""51.1406544"", ""4.5548074""]"
Boogschutterstraat,"[""FOUT, geen straat gevonden""]"
Boomlaarstraat,"[""51.1306789"", ""4.5494368""]"
Bossen,"[""51.0941531"", ""4.5858363""]"
Bosstraat,"[""51.12971"", ""4.5528374""]"
Botertonstraat,"[""51.1440412"", ""4.5767297""]"
Brandestraat,"[""51.0894718"", ""4.6341385""]"
Bremstraat,"[""51.1082544"", ""4.513359""]"
Bril,"[""51.1292285"", ""4.5722576""]"
Broeksteeg,"[""51.1357167"", ""4.5716508""]"
Brouwerijstraat,"[""51.1308712"", ""4.5716282""]"
Burgemeester Hensstraat,"[""51.093009"", ""4.6194819""]"
Cadettenlaan,"[""FOUT, geen straat gevonden""]"
Ceciliastraat,"[""51.1200262"", ""4.5661648""]"
Cor de Klutsplein,"[""FOUT, geen straat gevonden""]"
Corenhemelstraat,"[""51.1205362"", ""4.56671""]"
Dageraadsstraat,"[""51.1382323"", ""4.5639065""]"
Dalialaan,"[""51.1375931"", ""4.5549389""]"
David Tenierslaan,"[""51.1296248"", ""4.5566652""]"
De Heyderstraat,"[""51.1318819"", ""4.5749262""]"
De Kozak,"[""51.139552"", ""4.5610855""]"
De Laag,"[""51.0942633"", ""4.6098838""]"
De Schom,"[""51.1397915"", ""4.5502659""]"
Deensestraat,"[""51.1290604"", ""4.5732521""]"
Dennenlaan,"[""51.1269001"", ""4.5559448""]"
Diepenbroekstraat,"[""51.1329816"", ""4.5537275""]"
Dijkje,"[""51.13034"", ""4.5729821""]"
Dolfijnenweg,"[""51.120046"", ""4.5675606""]"
Donderheide,"[""51.0800171"", ""4.5546908""]"
Donk,"[""51.1388529"", ""4.5493921""]"
Dorpsstraat,"[""51.0965187"", ""4.608341""]"
Dr. Laportalaan,"[""51.1436105"", ""4.5418508""]"
Driekoningenweg,"[""51.1210436"", ""4.5693992""]"
Dries,"[""51.1540993"", ""4.5487284""]"
