Straat,Coordinaten
Beekstraat,"[""50.82577672473169"", ""3.8354241706748793""]"
Bergstraat,"[""50.798256035042094"", ""3.8248991634915823""]"
Bonte,"[""50.81282648631207"", ""3.797818014323268""]"
Boshoekstraat,"[""50.788455811117245"", ""3.8186955938246636""]"
Bosveldstraat,"[""50.80566303398671"", ""3.833946503356987""]"
Breebijl,"[""50.7879953507156"", ""3.8260435827199917""]"
Broekstraat,"[""50.82705191048286"", ""3.833731899306671""]"
Brugstraat,"[""50.79535319632131"", ""3.8614724838237935""]"
Buurthuisplein,"[""50.78517237761878"", ""3.8438891799171815""]"
Caudenberg,"[""50.81723317269904"", ""3.822658936349519""]"
Doolaegstraat,"[""50.80664650498115"", ""3.7963467849117283""]"
Doorinckxkouter,"[""FOUT, geen straat gevonden""]"
Doornkouter,"[""50.81262680054806"", ""3.8745362134468144""]"
Dorpstraat,"[""50.82232538980653"", ""3.845177705868528""]"
Dreefstraat,"[""50.788243834411965"", ""3.841738470875472""]"
Drijhoek,"[""50.82257552392098"", ""3.830721383900831""]"
Eekhoutdries,"[""50.81583418775792"", ""3.845391935709096""]"
Eikenmolen,"[""50.8140238"", ""3.8087435""]"
Elleboogstraat,"[""50.794338246016785"", ""3.860604014653262""]"
Gemeenteplein,"[""50.81254187673816"", ""3.8247259831769824""]"
Gentse Steenweg,"[""50.81391795791169"", ""3.8798538201842385""]"
Geraardsbergsestraat,"[""50.77552809596582"", ""3.844431242210861""]"
Groene Weg,"[""50.80710765817114"", ""3.876377087060989""]"
Groenstraat,"[""50.81081573691584"", ""3.8244011863399625""]"
Haltbaan,"[""50.801800019860536"", ""3.8501636707513054""]"
Hekkouterstraat,"[""50.784938310148576"", ""3.843883484841883""]"
Holderbeke,"[""50.80313382587816"", ""3.7967075689407777""]"
Hollaarde,"[""50.826921187239726"", ""3.853130719851886""]"
Hoogstraat,"[""50.80886882404323"", ""3.807884815337428""]"
Kakebeke,"[""50.82452257417781"", ""3.8571076642880073""]"
Kapellestraat,"[""50.82397114429498"", ""3.8559524409695154""]"
Kardinaalshoek,"[""50.811034936303535"", ""3.8208337091826134""]"
Kartuizerstraat,"[""50.8047307133755"", ""3.8239959494813287""]"
Kasteelken,"[""50.78657083637708"", ""3.858158644953462""]"
Keiberg,"[""50.80215259309214"", ""3.848161198134982""]"
Keistraat,"[""50.80299976920192"", ""3.853446159652727""]"
Kerkstraat,"[""50.785354816542"", ""3.8419965587285794""]"
Kleinendries,"[""50.817348749999994"", ""3.8359894999999997""]"
Kloosterstraat,"[""50.80371464713633"", ""3.8248811177583217""]"
Kouterstraat,"[""50.79422307162719"", ""3.8591271287862683""]"
Kruisstraat,"[""50.78608780624063"", ""3.8339471186224054""]"
Kwaadstraat,"[""50.8016929"", ""3.8425279999999997""]"
Laerebeke,"[""50.80805930700134"", ""3.84016334986029""]"
Lammerbos,"[""50.77687005629891"", ""3.8327660823778182""]"
Langemunte,"[""50.81542918436848"", ""3.8477897756893387""]"
Langestraat,"[""50.8236939"", ""3.8430639500000003""]"
Lierenhoek,"[""50.80179327608347"", ""3.7849540017293486""]"
Lindekouter,"[""50.79007034542191"", ""3.8666423531756977""]"
Lindestraat,"[""50.78953363939535"", ""3.863212143511017""]"
Molenstraat,"[""50.80808065"", ""3.84667215""]"
Muizenholstraat,"[""50.778946121985484"", ""3.8393083141037403""]"
Nauw,"[""50.83644509350467"", ""3.8407962597181573""]"
Neerstraat,"[""50.817131741925934"", ""3.822628559551073""]"
Nieuwe Wijk,"[""50.812805617776135"", ""3.8285469666046863""]"
Nieuwstraat,"[""50.8131153"", ""3.82354295""]"
Opstaldries,"[""50.80250854712004"", ""3.8266140751675555""]"
Ottergemstraat,"[""50.783613689991604"", ""3.839842663472558""]"
Paepmunte,"[""50.8112218"", ""3.86801445""]"
Pikkelgemstraat,"[""50.788933575264295"", ""3.851753643377498""]"
Pluimbroek,"[""50.78295005"", ""3.82963545""]"
Polenak,"[""50.80805180968994"", ""3.846044460825959""]"
Populierenstraat,"[""50.79364887489945"", ""3.8398402867414223""]"
Putse,"[""50.80754487692184"", ""3.8577629439422667""]"
Roeskouter,"[""50.81302868323915"", ""3.8217192034981156""]"
Schoolstraat,"[""50.8157160678856"", ""3.8213555917714537""]"
Spende,"[""50.82282792648024"", ""3.815188793512558""]"
St.Jans-Plein,"[""50.80721348467248"", ""3.857093831110246""]"
Steenweg,"[""50.8159154"", ""3.82699""]"
Stratendries,"[""50.796474868100454"", ""3.7975468321519936""]"
Strichtstraat,"[""50.798416303662755"", ""3.8702195027125184""]"
Struntel,"[""50.819775587876"", ""3.8486015537557967""]"
Stuivenberg,"[""50.82492914404121"", ""3.844613349150514""]"
Tempel,"[""50.803366170086804"", ""3.819686749114575""]"
Triepstraat,"[""50.80498276605096"", ""3.870059815523811""]"
Waesberg,"[""50.83582782898237"", ""3.8398197649466335""]"
Waesbergdries,"[""50.82828206066861"", ""3.8504671231648544""]"
Wagenweg,"[""50.806299812548716"", ""3.817049369301813""]"
Wassegemstraat,"[""50.788748803377686"", ""3.8389656890741204""]"
Watermolenstraat,"[""50.7907442738419"", ""3.850001807210541""]"
Wolfsveld,"[""FOUT, geen straat gevonden""]"
