Straat,Coordinaten
't Akkerken,"[""51.160166"", ""3.6174161""]"
't Hand,"[""51.142551"", ""3.6340951""]"
't Lindeken,"[""51.1161391"", ""3.5719276""]"
Acaciastraat,"[""51.1079343"", ""3.6352904""]"
Adolf Lievensstraat,"[""51.1169928"", ""3.5558691""]"
Aerdekensstraat,"[""51.1450113"", ""3.543237""]"
Akkerstraat,"[""51.1570741"", ""3.6213072""]"
Alfons Sifferstraat,"[""51.1166875"", ""3.5584025""]"
Alonder,"[""51.0881451"", ""3.6371616""]"
André Claeys Park,"[""51.1135811"", ""3.5635998""]"
Appensvoordestraat,"[""51.0974279"", ""3.6301867""]"
Arisdonk,"[""51.1421374"", ""3.6194218""]"
Arisdonkstraatje,"[""51.1549001"", ""3.631593""]"
Arsène De Preststraat,"[""51.1523733"", ""3.5968825""]"
Asterstraat,"[""51.1058027"", ""3.6351999""]"
Azaleastraat,"[""51.1240329"", ""3.5640346""]"
BIERSTALBRUG,"[""51.0927348"", ""3.6374158""]"
BINNENRING - VINDERHOUTE,"[""51.082544"", ""3.6596426""]"
Baetsdreef,"[""51.1349844"", ""3.6378699""]"
Basketballstraat,"[""FOUT, geen straat gevonden""]"
Bauwerwaan,"[""51.124002"", ""3.528646""]"
Beekstraat,"[""51.1135888"", ""3.6289642""]"
Begonialaan,"[""51.1214148"", ""3.5617322""]"
Begoniastraat,"[""51.1032307"", ""3.6372801""]"
Beiaard,"[""51.0995706"", ""3.6324259""]"
Beirtje,"[""51.1387333"", ""3.6158014""]"
Beke,"[""51.1318949"", ""3.6027981""]"
Beke Tuinwijk,"[""51.1407876"", ""3.60326""]"
Bellebargie,"[""51.1638102"", ""3.6220577""]"
Bellemstraat,"[""51.1099194"", ""3.515623""]"
Berg,"[""51.1512244"", ""3.5967156""]"
Bergkouter,"[""51.1505255"", ""3.5960497""]"
Bergstraat,"[""51.0863893"", ""3.63369""]"
Berkenstraat,"[""51.1159994"", ""3.5142191""]"
Beukenpark,"[""51.1206886"", ""3.571358""]"
Bevrijdingstraat,"[""51.1166708"", ""3.5670222""]"
Bierstal,"[""51.0964049"", ""3.6418474""]"
Biesbilkske,"[""51.1195796"", ""3.5542277""]"
Bilksken,"[""51.0964234"", ""3.6388267""]"
Binnenslag,"[""51.1076629"", ""3.6203643""]"
Blauwersstraat,"[""51.1148748"", ""3.5595698""]"
Bliekput,"[""51.1494676"", ""3.6130348""]"
Bloemakkerwegel,"[""51.0835666"", ""3.6109234""]"
Bloemenlus,"[""51.1024348"", ""3.6403893""]"
Bosleentje,"[""51.1034546"", ""3.6136678""]"
Bosstraat,"[""51.1550495"", ""3.6418225""]"
Boterhoek,"[""51.1187695"", ""3.6395521""]"
Boven,"[""51.1143863"", ""3.5598713""]"
Bovenmeers,"[""51.1498866"", ""3.6089511""]"
Brandweerplein,"[""51.1508524"", ""3.6078473""]"
Bredestraat,"[""51.1113884"", ""3.62704""]"
Bredestraat Kouter,"[""51.1038543"", ""3.6161325""]"
Bremstraat,"[""51.1044698"", ""3.640348""]"
Broekenstraat,"[""51.1493865"", ""3.5432001""]"
Brouwerijstraat,"[""51.0873525"", ""3.609322""]"
Brouwerspad,"[""51.1529277"", ""3.6058168""]"
Brugstraat,"[""51.0878749"", ""3.6423987""]"
Burg. Henri Ryckaertstraat,"[""51.1277259"", ""3.5523074""]"
Calangebos,"[""51.1238712"", ""3.5530006""]"
Centrumstraat,"[""51.0945812"", ""3.6079137""]"
Chrysantenstraat,"[""51.1218736"", ""3.5656857""]"
Daalmen,"[""51.1290608"", ""3.5624188""]"
Daalmstraat,"[""51.1257543"", ""3.5475309""]"
Daasdonk,"[""FOUT, straat in foute gemeente gevonden""]"
Dahliastraat,"[""51.1025847"", ""3.6383079""]"
Dam,"[""51.1667473"", ""3.586002""]"
