Straat,Coordinaten
Alsembergsesteenweg,"[""50.7755656"", ""4.3261486""]"
Anjou Square,"[""50.769923"", ""4.334614""]"
Armandinepad,"[""FOUT, geen straat gevonden""]"
Arthur Van Dormaelstraat,"[""50.7729849"", ""4.3348003""]"
Bambos,"[""50.7648103"", ""4.3452435""]"
Bankveld,"[""50.7686228"", ""4.3468745""]"
Beukenstraat,"[""50.7725779"", ""4.3269763""]"
Bloemhof,"[""50.7716966"", ""4.3419248""]"
Boesdaal,"[""50.7632504"", ""4.3519282""]"
Bospad,"[""50.7616219"", ""4.3435714""]"
Boterberg,"[""50.7759386"", ""4.3255611""]"
Braambeziënlaan,"[""50.7743641"", ""4.335562""]"
Bremhof,"[""50.7688877"", ""4.3442816""]"
Brouwerijstraat,"[""50.7775059"", ""4.3284652""]"
Dapperensquare,"[""50.7738538"", ""4.3352262""]"
Dwersbos,"[""FOUT, straat in foute gemeente gevonden""]"
Edmond Theunissenlaan,"[""50.7776443"", ""4.32397""]"
Elsgatveld,"[""50.7633873"", ""4.3610542""]"
Esselaar,"[""50.7650191"", ""4.351473""]"
Fons Dehaesstraat,"[""50.7719561"", ""4.3346035""]"
Galgendries,"[""50.7654923"", ""4.3473783""]"
Gemeenteplein,"[""50.7731484"", ""4.3365721""]"
Grasmusdreef,"[""50.7675115"", ""4.3371829""]"
Grote Baan,"[""50.7741051"", ""4.3250067""]"
Haldorp,"[""50.7646436"", ""4.3537564""]"
Heidedreef,"[""50.7680127"", ""4.3332921""]"
Hess de Lilezlaan,"[""FOUT, geen straat gevonden""]"
Hoekstraat,"[""50.7706764"", ""4.3292513""]"
Hof Roger Thiéry,"[""50.7762128"", ""4.3235093""]"
Hof ten Bleutesquare,"[""50.7781799"", ""4.3248948""]"
Hofveld,"[""50.7704103"", ""4.32582""]"
Hollebeekstraat,"[""50.7644003"", ""4.3551173""]"
Hollekensweg,"[""50.7666376"", ""4.3497735""]"
Hongarijestraat,"[""50.7693991"", ""4.3219866""]"
J. en R. Wijtsmanpad,"[""50.7730303"", ""4.3443654""]"
Jef Van Lishoutstraat,"[""50.7730484"", ""4.3316996""]"
Karenveld,"[""50.7656842"", ""4.3402533""]"
Kasteeldreef,"[""50.7706675"", ""4.3339313""]"
Kasteelstraat,"[""50.7728731"", ""4.3393128""]"
Kautergat,"[""50.7721494"", ""4.3570967""]"
Kerkstraat,"[""50.7722264"", ""4.3360125""]"
Kerkveld,"[""50.770624"", ""4.3433294""]"
Kerkveldweg,"[""50.7702506"", ""4.3404556""]"
Klaprozenweg,"[""50.7722332"", ""4.3461321""]"
Kleindalpad,"[""50.7706704"", ""4.3484634""]"
Kleindalstraat,"[""50.7732305"", ""4.352173""]"
Kleiveld,"[""50.7706098"", ""4.3444008""]"
Koekoekpad,"[""50.771371"", ""4.3315079""]"
Komd. Romain Marissaldreef,"[""50.7720182"", ""4.3443885""]"
Krekelendries,"[""50.7686194"", ""4.3377433""]"
Lange Haagstraat,"[""50.7691367"", ""4.3491197""]"
Marcel en Robert Maassquare,"[""50.7736831"", ""4.3394231""]"
Mezenhof,"[""50.7683077"", ""4.3303643""]"
Molenhof,"[""50.7763765"", ""4.3274494""]"
Molenstraat,"[""50.7747089"", ""4.3266634""]"
Oplinkebeekpad,"[""50.7730642"", ""4.3434694""]"
Oude Weg,"[""50.7747876"", ""4.3323764""]"
Pastorijpad,"[""FOUT, geen straat gevonden""]"
Perkstraat,"[""50.7713206"", ""4.354871""]"
Rodestraat,"[""50.7593587"", ""4.3472334""]"
Schaveistraat,"[""50.7645691"", ""4.3437094""]"
Scheeweg,"[""50.7701689"", ""4.3375029""]"
Schouwendaal,"[""50.7631748"", ""4.3572863""]"
Sint Sebastiaanstraat,"[""50.7734714"", ""4.3352704""]"
Stationsstraat,"[""50.7741229"", ""4.3337979""]"
Ukkelsesteenweg,"[""50.7783809"", ""4.3235427""]"
Vijversdreef,"[""50.7697006"", ""4.3319997""]"
Villalaan,"[""50.7676282"", ""4.343744""]"
Wijnbrondal,"[""50.7707688"", ""4.3373566""]"
Woudpad,"[""50.7644758"", ""4.3585464""]"
Wouterbos,"[""50.7645214"", ""4.3429704""]"
Zavelstraat,"[""50.7732648"", ""4.3362963""]"
