Straat,Coordinaten
Acacialaan,"[""51.124811812649895"", ""4.4931291292019475""]"
Achterstraat,"[""51.13039256698953"", ""4.496079057043438""]"
Albrecht Rodenbachlaan,"[""51.122271641321426"", ""4.5106484927377055""]"
Beekhoekstraat,"[""51.1354985"", ""4.4861894""]"
Beekveld,"[""51.1243348"", ""4.49628665""]"
Bergstraat,"[""51.13281245"", ""4.4812987""]"
Bethaniëlaan,"[""51.12127283106574"", ""4.487631076110796""]"
Beukenlaan,"[""51.142312682804565"", ""4.474405246882108""]"
Bijllaan,"[""51.13163767994923"", ""4.483895316202677""]"
Binnenveldlaan,"[""51.13057875949652"", ""4.483663747307307""]"
Bossenstraat,"[""51.1192228"", ""4.4936852""]"
Bouwenstraat,"[""51.126432"", ""4.504322""]"
Brantsstraat,"[""51.1299841"", ""4.4796368""]"
Brouwerijstraat,"[""51.1272883"", ""4.4991379""]"
Crauwelshoeve,"[""51.12413936231581"", ""4.489745437935294""]"
Daalsveld,"[""51.1230419"", ""4.4971259""]"
Diamantstraat,"[""51.12538586662658"", ""4.494638197179005""]"
Diependaele,"[""FOUT, straat in foute gemeente gevonden""]"
Duffelsesteenweg,"[""51.118528566032985"", ""4.494165903860802""]"
Eikhof,"[""51.12576913813136"", ""4.491283938856607""]"
Elsbosken,"[""51.12117885"", ""4.4970440499999995""]"
Ernest Claeslaan,"[""51.123663699999994"", ""4.51189""]"
Fabriekstraat,"[""51.131712732178755"", ""4.478477061218219""]"
Falconlaan,"[""51.12902185"", ""4.5011657""]"
Felix Timmermanslaan,"[""51.12321900341354"", ""4.510212980719002""]"
Ganzenbol,"[""51.141107697177574"", ""4.472881882517377""]"
Groenstraat,"[""51.13264352040986"", ""4.478702743833608""]"
Guido Gezellelaan,"[""51.122961584214494"", ""4.512898251544554""]"
Haakveld,"[""51.1259849"", ""4.5147004""]"
Heidelaan,"[""51.12503070465495"", ""4.487205644575331""]"
Hendrik Consciencelaan,"[""51.1221956"", ""4.5115853""]"
Hinneneter,"[""51.123942650000004"", ""4.51445645""]"
Hoefveldstraat,"[""51.1284229"", ""4.4970922""]"
Hoog Heibos,"[""51.12072549545494"", ""4.489126198665845""]"
Hovenierstraat,"[""51.12382044464982"", ""4.500961564495846""]"
Ijzerenwegstraat,"[""51.1294325"", ""4.4919885""]"
Kapelstraat,"[""51.122952990745304"", ""4.4860101140585575""]"
Kapittellaan,"[""51.12620661308502"", ""4.487054302988903""]"
Kardinaal Cardijnlaan,"[""51.12520846465877"", ""4.490641266330157""]"
Kasteelplein,"[""51.1276577"", ""4.4880746""]"
Keerveld,"[""51.119824550000004"", ""4.49349345""]"
Kerkhofweg,"[""51.12609838619562"", ""4.502055348146286""]"
Kerkplein,"[""51.127799550918326"", ""4.496450815281975""]"
Kinderstraat,"[""51.116824199999996"", ""4.5057298""]"
Kleinmijlveld,"[""51.140705721559264"", ""4.474682082699885""]"
Koning Albertstraat,"[""51.12748751247345"", ""4.496011074928745""]"
Koningin Astridlaan,"[""51.1268643"", ""4.4957384000000005""]"
Kontichsesteenweg,"[""51.12842488448918"", ""4.481671110555512""]"
Kriekhof,"[""51.1211794"", ""4.4942157""]"
Laarbeemdeken,"[""51.128875180329345"", ""4.4880572960428085""]"
Leemput,"[""51.12319315"", ""4.484273099999999""]"
Lerenveld,"[""51.1264962"", ""4.51630025""]"
Liersesteenweg,"[""51.127063919829894"", ""4.500094397048846""]"
Lindelei,"[""51.12846193826648"", ""4.500308129146479""]"
Luitersheide,"[""51.12790545"", ""4.5131019768025915""]"
Magdalena Vermeeschlaan,"[""51.14215717522123"", ""4.475056527828403""]"
Meidreef,"[""51.121992867983906"", ""4.485491123903809""]"
Moederhoefstraat,"[""51.1236451"", ""4.4939875""]"
Molenstraat,"[""51.131352700746504"", ""4.479682085715742""]"
Molenveld,"[""51.13208127514571"", ""4.487740345468888""]"
Molenvoetweg,"[""51.13292290488724"", ""4.489435937815419""]"
Neerland,"[""51.1210751"", ""4.4956739""]"
Nieuwstraat,"[""51.1286437"", ""4.4811448""]"
Oud-strijdersplein,"[""FOUT, geen straat gevonden""]"
Papendonk,"[""51.12559355"", ""4.50916775""]"
Pastoor Eykenslaan,"[""51.1254419"", ""4.488204250000001""]"
Paul van Ostaijenlaan,"[""51.124633718870875"", ""4.5099915576991005""]"
Polderken,"[""51.121472447263535"", ""4.490661897059853""]"
Prieel,"[""51.12282375"", ""4.4883842""]"
Raaiblok,"[""51.1229025"", ""4.49582745""]"
Reynaertshof,"[""51.1286741"", ""4.4814131""]"
Reynaertsstraat,"[""51.12814979597178"", ""4.481702121385039""]"
