Straat,Coordinaten
2de Genielaan,"[""50.987870972366515"", ""2.7468361471671945""]"
Albert Dondeynestraat,"[""50.97944872914061"", ""2.7526875246618596""]"
Alfons Van Heelaan,"[""50.98214834114271"", ""2.743172427338065""]"
Ashoop,"[""50.99439667366525"", ""2.765499346658489""]"
Bernardplaatsstraat,"[""50.92260125"", ""2.82529615""]"
Blauwvoet,"[""50.98851118004886"", ""2.7654159012193937""]"
Boshoek,"[""50.91948698616446"", ""2.79054736494438""]"
Brabanthoek,"[""50.941970869904566"", ""2.763145807585781""]"
Breydelstraat,"[""50.98047403283114"", ""2.748264879358331""]"
Broekstraat,"[""50.94986730285654"", ""2.784513283610635""]"
Bulskampstraat,"[""50.930411575891036"", ""2.7654037013361057""]"
Burgemeester Pietersstraat,"[""50.94591879898219"", ""2.787882978366576""]"
Burgweg,"[""50.990545347118"", ""2.723662237119073""]"
Clamarastraat,"[""50.98792077230576"", ""2.726511651404377""]"
Collaertshillestraat,"[""50.97900368212178"", ""2.7111797939513202""]"
Doelweg,"[""50.971563849999995"", ""2.7296799""]"
Dorpplaats,"[""50.94748018366799"", ""2.79158085640615""]"
Drie Grachten,"[""50.95925363932804"", ""2.8226952887417616""]"
Fintele,"[""50.9576983"", ""2.7374125""]"
Gapaard,"[""50.97201075"", ""2.6993359""]"
Gasthuisstraat,"[""50.9781902"", ""2.75066465""]"
Gravestraat,"[""50.97890368206049"", ""2.746110281162622""]"
Groenendijkstraat,"[""50.961079556614365"", ""2.769453701296137""]"
Groenestraat,"[""50.92448466224652"", ""2.802088072817612""]"
Halve Reningestraat,"[""50.91724515929024"", ""2.7725317660747195""]"
Hazewind,"[""50.979698850000005"", ""2.79227275""]"
Hoflandstraat,"[""50.936325217935426"", ""2.7809456267573833""]"
Hogebrugstraat,"[""50.9801871"", ""2.7421227000000004""]"
Hullebrugweg,"[""50.96540048092744"", ""2.745790494019698""]"
Ieperstraat,"[""50.94600029388684"", ""2.7900750435100776""]"
Kapt. Fremaultstraat,"[""FOUT, geen straat gevonden""]"
Kasteelstraat,"[""50.9697806"", ""2.73232915""]"
Kerkstraat,"[""50.97046976579685"", ""2.733108964094081""]"
Ketsedijk,"[""50.95634712095821"", ""2.8268015721087463""]"
Kiviethoek,"[""50.97358136309057"", ""2.756073016930289""]"
Kloefhoek,"[""50.98644536002703"", ""2.7709013081609153""]"
Kloosterstraat,"[""50.95284101327321"", ""2.81249787356355""]"
Knokke,"[""50.98178395"", ""2.8058623""]"
Kruisstraat,"[""50.979414427002894"", ""2.768440763194066""]"
Lindesteenweg,"[""50.961848636261415"", ""2.724444520763585""]"
Lindestraat,"[""50.9638431"", ""2.7272768999999997""]"
Lobrug,"[""50.980196133677794"", ""2.741093412419686""]"
Lolege,"[""50.981527882599146"", ""2.742185250685593""]"
Lostraat,"[""50.96377030972316"", ""2.7853758150978014""]"
Mariastraat,"[""50.955573079756036"", ""2.7209017632560673""]"
Markt,"[""50.98025573810129"", ""2.7492913702261492""]"
Middelstraat,"[""50.93906408278538"", ""2.8216461784275992""]"
Molenhoek,"[""50.934657383551105"", ""2.7886577101889847""]"
Molenstraat,"[""50.93205757768953"", ""2.7913564971592946""]"
Nieuwstraat,"[""50.922497"", ""2.8162010000000004""]"
Noordhoek,"[""51.000458800000004"", ""2.7748859""]"
Noordooststraat,"[""50.94872661500672"", ""2.82284397640804""]"
Noordschoteplein,"[""50.95378880074759"", ""2.806476593839389""]"
Noordstraat,"[""50.98235250676446"", ""2.747019154176822""]"
Noordweststraat,"[""50.9367592490581"", ""2.813605183699093""]"
Omloop Noord,"[""50.918086309727656"", ""2.792038530827386""]"
Oostpoeselstraat,"[""50.94719883026522"", ""2.839029332081566""]"
Ooststraat,"[""50.98191389977817"", ""2.7532399595378""]"
Oostvleterenstraat,"[""50.94081162644215"", ""2.771601977154794""]"
Oude Pereboomstraat,"[""50.95870780609525"", ""2.7997691253454797""]"
Oude-eiermarkt,"[""50.98090880038563"", ""2.7475279135483186""]"
Peperstraat,"[""50.94571971820908"", ""2.7906745542534845""]"
Pereboom,"[""50.97836496775443"", ""2.789470585136478""]"
Pollinkhovestraat,"[""50.96732230163929"", ""2.7330759293449476""]"
