Straat,Coordinaten
't Jongestraat,"[51.13509664150176, 3.838292835928953]"
Abelenhof,"[51.084750273438935, 3.8190900225255366]"
Acacialaan,"[51.085905952796836, 3.822647266625604]"
Achterhoek,"[51.1874202, 3.8810265]"
Adelaarstraat,"[51.166839864958526, 3.845574868980978]"
Akkerstraat,"[51.19259503344637, 3.8467372311521775]"
Ambachtenlaan,"[51.10584942848031, 3.8735302773280003]"
Antwerpse Steenweg,"[51.08561165, 3.8000208]"
Arendstraat,"[""FOUT, geen straat gevonden""]"
Axelsvaardeken,"[51.1716886, 3.8772748]"
Azalealaan,"[51.0920954, 3.8183558]"
Azaleastraat,"[51.1354885, 3.8601453]"
Baljuwweg,"[51.08643860760062, 3.854717495331695]"
Bastelare,"[51.09579883029048, 3.885001866764569]"
Bedevaartlaan,"[51.0887546641118, 3.8463249375502584]"
Bedrijvenlaan,"[51.10425582248783, 3.8704377503302756]"
Beervelde-Dorp,"[51.08008840046332, 3.8800222693177675]"
Beerveldse Baan,"[51.10514797121313, 3.8692902883887332]"
Beeweg,"[51.125439692822845, 3.880721135067193]"
Begonialaan,"[51.0931135314898, 3.81707573963093]"
Begoniastraat,"[51.1345901, 3.86046795]"
Bennesteeg,"[51.07950211979822, 3.881269219866182]"
Berkenstraat,"[51.13433319146926, 3.858229214146243]"
Berluyck,"[51.0900734074777, 3.8167928029783305]"
Beukendreef,"[51.0843001, 3.8253585]"
Bevrijdingslaan,"[51.1061602, 3.8288499]"
Biezenhof,"[""FOUT, geen straat gevonden""]"
Bijlestraat,"[""FOUT, geen straat gevonden""]"
Bijlokelaan,"[51.09856578497706, 3.8232816036643333]"
Bisschop-Pieter-Damantlaan,"[51.08685632566871, 3.8504111756091497]"
Blaarstraat,"[51.202403188483885, 3.8485425532454873]"
Bloembollenlaan,"[51.085417899999996, 3.8038287]"
Bloemenweg,"[51.1752092, 3.8516178500000002]"
Bochtenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Boekweitlaan,"[51.09718855, 3.8225785500000002]"
Boerenkrijghof,"[""FOUT, geen straat gevonden""]"
Bommel,"[""FOUT, straat in foute gemeente gevonden""]"
Bommelslaan,"[51.0896666041223, 3.856328606187109]"
Bosakkers,"[51.0888442, 3.8444613]"
Bosdam,"[51.14471655, 3.8893486499999996]"
Bosdreef,"[51.0977121, 3.8384763]"
Boskapellaan,"[51.0879022, 3.8501303]"
Bosmansdreef,"[51.07581734515706, 3.8629014069282146]"
Bosstraat,"[51.1077895, 3.8480739]"
Bovenhoek,"[51.198878403729104, 3.9019035092145056]"
Braamstraat,"[51.09491040671045, 3.8214857745853155]"
Brandstraat,"[51.0701871, 3.8586462]"
Breestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Brugstokstraat,"[51.1769309, 3.8688906999999997]"
Brugstraat,"[51.06808290090749, 3.8987850024309743]"
Buizerdstraat,"[51.1671016, 3.8440393]"
Bunder,"[51.11123572079493, 3.821046758042607]"
Burg. Van Pottelberghestraat,"[51.16805584305906, 3.8609611385000333]"
Burgemeester De Schryverhof,"[51.08362550355743, 3.8317841171677594]"
Burgemeester Lippensstraat,"[51.1339438, 3.85438915]"
Burgemeester-Vermeulenlaan,"[51.097270897215125, 3.8366998874153158]"
Busstraat,"[51.133404369556324, 3.827646226132456]"
Canadastraat,"[51.13537220496368, 3.8590984248565356]"
Catharinastraat,"[51.1806367, 3.8755287]"
Catharinastraat-Zuid,"[51.18485270949709, 3.8694849310796897]"
Charles Vuylstekehof,"[51.09544526183848, 3.8351518329039473]"
Cijnsakkerweg,"[51.085677000000004, 3.81207325]"
Clivialaan,"[51.092537699999994, 3.82565285]"
Cootveld,"[""FOUT, straat in foute gemeente gevonden""]"
Cornilstraat,"[51.19878701906418, 3.8577064702375385]"
Craenendam,"[51.1517561, 3.8638699]"
Dahlialaan,"[51.08949435, 3.8054042]"
Dam,"[51.1469108, 3.86172645]"
De Cockshof,"[51.0883511, 3.8305864884801033]"
Dekenijstraat,"[51.09622095, 3.8330425999999997]"
Dendermondse Steenweg,"[51.05233716893399, 3.853745304200821]"
Denen,"[51.1024, 3.85821]"
Dennenhof,"[51.09081515, 3.82269495]"
Dennenlaan,"[51.180952600703186, 3.849994184949209]"
Dijkgracht,"[51.14316469732855, 3.891897067744726]"
Distelweg,"[51.13194584594473, 3.869825497861958]"
Dodemoerstraat,"[""FOUT, geen straat gevonden""]"
Doornikstraat,"[51.088336, 3.807983]"
Doornzelestraat,"[51.1103201, 3.8091164]"
Dorp,"[51.10749938538188, 3.9007699959021394]"
Dorp-Oost,"[51.0997474, 3.8440019]"
Dorp-West,"[51.095238714800765, 3.831392050448972]"
Dorpsstraat,"[51.1040869, 3.8407459]"
Dr.Jules Persynplein,"[51.170500591566224, 3.858811392635981]"
Draaiboomstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Duiventorenhof,"[51.092140780680054, 3.812681914876767]"
Eendenstraat,"[51.0984419, 3.84571985]"
Eethoek,"[51.069128250000006, 3.9020078]"
Eikendreef,"[51.08281062829854, 3.8308778222799096]"
Eikstraat,"[51.10660921409669, 3.880990538137873]"
Elf-Novemberlaan,"[51.103642885909004, 3.831641039902344]"
Ertbuerhoek,"[51.068741907935284, 3.8628396508074947]"
Esdoornlaan,"[51.08695985806208, 3.8225129060741705]"
Expressweg,"[""FOUT, geen straat gevonden""]"
Fazantenstraat,"[51.09529089850199, 3.8414282726717794]"
Ganzenhof,"[51.09412947965979, 3.8496837376067354]"
Gaverveld,"[51.0993063551447, 3.8947640295216237]"
Gebroeders Naudtslaan,"[51.1748, 3.84576]"
Gelei,"[51.12817012654029, 3.8279493828344653]"
Gemete,"[51.10321250898179, 3.833584367164305]"
Geraniumlaan,"[51.17559525630205, 3.853025227941416]"
Gladiolenlaan,"[51.17389335965439, 3.854723131657396]"
Gloxinialaan,"[51.0842086, 3.80125515]"
Godshuisstraat,"[51.169700025773146, 3.859477474552687]"
Goed ten Pauw,"[51.09558317234044, 3.8530365589872497]"
Graslaan,"[51.09681305, 3.82567295]"
Graspieperhof,"[51.09667034599037, 3.8452814033063603]"
Groenstraat,"[51.1689181, 3.847787]"
Haanhoutstraat,"[51.07984595, 3.8718647500000003]"
Halve Dreef,"[51.106077370432274, 3.8914663476957037]"
Hanselaarstraat,"[51.07569431696432, 3.9007079213383826]"
Heidegrond,"[51.090731773990655, 3.8075865297944826]"
Heidestraat,"[51.064886525541404, 3.885864559095761]"
Heistraat,"[51.08043873938884, 3.8937117889773485]"
Hellestraat,"[51.13262418649348, 3.867476924215311]"
Hendrikslaar,"[51.09863647675109, 3.832876833307598]"
Hettingestraat,"[51.20056013993176, 3.8897409754748375]"
Hijfte-Center,"[51.109799124438744, 3.8088135743732012]"
Hijftestraat,"[51.10528012438921, 3.8158163866086987]"
Hoekskensstraat,"[51.11465775211284, 3.8363877741016363]"
Hoekstraat,"[51.108803701665465, 3.9009884786067137]"
Hoge Akkerstraat,"[51.176124463361646, 3.8662470662789574]"
Hoge Landbilkstraat,"[51.177207100000004, 3.8717727]"
Hoogbastelare,"[51.098000299999995, 3.8951357]"
Hoogstraat,"[51.06924400497256, 3.8490941329594377]"
Hortensialaan,"[51.0928901, 3.82357125]"
Hospiceweg,"[""FOUT, geen straat gevonden""]"
Hospitaalstraat,"[51.078889256114806, 3.8760464570150774]"
Huringwegel,"[51.10012947312372, 3.839755640661683]"
Husseveldestraat,"[""FOUT, straat in foute gemeente gevonden""]"
IJskelderdreef,"[51.14949065026125, 3.867692065909161]"
Ijsvogelstraat,"[51.164194835786176, 3.8467754397048104]"
Irislaan,"[51.17579955, 3.85176415]"
Jasmijnhof,"[51.09586003446862, 3.8202832723286195]"
Kalkenweg,"[51.0629716, 3.89635455]"
Kallestraat,"[51.11014781371224, 3.8968724853126315]"
Kalve,"[51.1709865, 3.8833133]"
Kalvebrug,"[51.1665817, 3.8859551]"
Kantschoolweg,"[51.10934941303972, 3.899291879655609]"
Kanunnik Petrus Jozef Triestlaan,"[51.13445430612315, 3.861501667453939]"
Kapelaanwegel,"[51.085321729454265, 3.8517710832744942]"
Kapelleken,"[51.09552033736432, 3.8239701605883045]"
Kapelstraat,"[51.12021072459566, 3.855640311257004]"
Kapiteinsstraat,"[51.118648990462745, 3.832239909041412]"
Kasselstraat,"[51.13604758378324, 3.865169768775755]"
Kastanjedreef,"[51.0829698, 3.8279688]"
Kasteeldreef,"[51.0896631, 3.8311245]"
Kasteelstraat,"[51.07854730325411, 3.8809111219373285]"
Kerkstraat,"[51.1174965190299, 3.8962128134629817]"
Kerkwegelakker,"[51.09370727826442, 3.836031146637076]"
Kerrebroekstraat,"[51.07860817485556, 3.919414147164485]"
Kievithof,"[51.09501451323211, 3.844143849062999]"
Kievitstraat,"[51.16376902726205, 3.849277064730688]"
Kijkdorp,"[51.078439020486, 3.8738874749361503]"
Klein Gent,"[""FOUT, straat in foute gemeente gevonden""]"
Kleine Heidestraat,"[51.064886525541404, 3.885864559095761]"
Kleistraat,"[51.198315486501635, 3.8551585935511405]"
Kloefkensakker,"[51.0895805, 3.82959695]"
