Straat,Coordinaten
A. Lambertsstraat,"[""51.013552851291095"", ""4.302830905051131""]"
Acacialaan,"[""51.000963"", ""4.3096318""]"
Achter de Schuur,"[""FOUT, geen straat gevonden""]"
Achterheide,"[""51.0374788"", ""4.3005415""]"
Ambachtsstraat,"[""51.01616597112072"", ""4.321691174997012""]"
Arduinstraat,"[""51.00438775374171"", ""4.313686446484896""]"
Autostrade,"[""FOUT, geen straat gevonden""]"
Basaltstraat,"[""FOUT, geen straat gevonden""]"
Beekstraat,"[""51.011741416894445"", ""4.2672009155557316""]"
Beemden,"[""50.99720191491251"", ""4.310356474201739""]"
Begoniastraat,"[""51.009732859081744"", ""4.29664984556015""]"
Bergboslaan,"[""51.00807014967589"", ""4.3192936448638966""]"
Bergkapelstraat,"[""51.00803354332618"", ""4.325191681159558""]"
Bergstraat,"[""51.006095596638666"", ""4.322586751850761""]"
Berkenlaan,"[""50.99920405"", ""4.303763200000001""]"
Berreweide,"[""51.01353570326344"", ""4.309026522157661""]"
Bessembaan,"[""51.0288"", ""4.27821""]"
Bievelt,"[""FOUT, geen straat gevonden""]"
Biezenwei,"[""51.031812828544425"", ""4.295932253574378""]"
Blauwenhoek,"[""51.0199179"", ""4.2924486""]"
Bloemstraat,"[""51.0335722"", ""4.2907468""]"
Blokstraat,"[""51.017673932837184"", ""4.261271160118353""]"
Boeksheide,"[""51.01411709479295"", ""4.222907611043997""]"
Bogaarden,"[""50.998396436120565"", ""4.30988133555914""]"
Bontestraat,"[""50.981349800000004"", ""4.26400535""]"
Boskantstraat,"[""50.98776411436749"", ""4.243049323203954""]"
Bosweg,"[""51.00435236886479"", ""4.2945996126786685""]"
Bouw,"[""FOUT, straat in foute gemeente gevonden""]"
Bouwdreef,"[""51.011825064368104"", ""4.242453112753839""]"
Brandweerplein,"[""51.004405899999995"", ""4.30629185""]"
Breendonkstraat,"[""51.02640230366237"", ""4.30210057938613""]"
Broederminsteeg,"[""51.02634113744474"", ""4.29474103121019""]"
Broekstraat,"[""51.0249734031702"", ""4.258732899444831""]"
Broekveld,"[""51.02257555129594"", ""4.299970558312383""]"
Brouwerijstraat,"[""50.99710632440306"", ""4.267784535603247""]"
Brugstraat,"[""51.01194535"", ""4.243702470192307""]"
Brusselsestraat,"[""50.9971551"", ""4.3013176""]"
Burcht,"[""51.001061116570206"", ""4.300996315439669""]"
Burchtlaan,"[""51.001975099999996"", ""4.29854395""]"
Cattemansdreef,"[""50.99392611072419"", ""4.303763330213763""]"
Chrysantenlaan,"[""51.0062307"", ""4.3014893""]"
Clippel,"[""51.02891645691832"", ""4.294345550987673""]"
Daalkouter,"[""51.00283221924527"", ""4.309262392513169""]"
Damveld,"[""50.999549941920066"", ""4.299853570797723""]"
Deisels,"[""51.00890937623895"", ""4.306906147976443""]"
Diepensteyn,"[""51.0008656"", ""4.271145886568324""]"
