Straat,Coordinaten
Aan de Lievenheer,"[51.101972065516215, 5.7817895274650235]"
Aarheuvelstraat,"[51.08586520887955, 5.720858761831429]"
Abdissenstraat,"[51.08610072215632, 5.704940634481462]"
Acht Meilaan,"[51.0964617900331, 5.785784607308982]"
Achter Jeunenkapelke,"[51.09743337671527, 5.6961899993436615]"
Achter het Kerkhof,"[51.09503704707987, 5.702481548858737]"
Adelhardweg,"[51.10156010715654, 5.807419751911485]"
Akkerstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Albert Claessensweg,"[51.097825403556705, 5.789341682493086]"
Aldeneik,"[51.1025183, 5.8053624]"
Aldeneikerweg,"[51.09787130207698, 5.8013137799572485]"
Beemdstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Beesbosweg,"[51.08404581988267, 5.730953221285396]"
Begijnenstraat,"[51.09588788173365, 5.788300712568179]"
Bergeindestraat,"[51.05728847060392, 5.630294543632995]"
Bergerstraat,"[51.080789274610396, 5.688255867278684]"
Bergervenstraat,"[51.08098193542792, 5.693044199347212]"
Bergstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Berkendijk,"[51.061818424887356, 5.645659177084852]"
Berkenlaan,"[51.10414615026909, 5.787665636154776]"
Bernard Claessensstraat,"[51.10043031514846, 5.791620734542157]"
Beukenlaan,"[51.08283815362253, 5.7302187922627015]"
Bevrijdingsplein,"[""FOUT, geen straat gevonden""]"
Biezenstraat,"[51.09401193804439, 5.69447622043703]"
Bleumerhoven,"[51.09685953859868, 5.799940838425626]"
Bleumerpoort,"[51.09402400259877, 5.798955805268078]"
Bleumerstraat,"[51.09416549495045, 5.794132720198189]"
Bloesemweg,"[51.1031482810375, 5.799573281309249]"
Bokkerijdersweg,"[""FOUT, straat in foute gemeente gevonden""]"
Bollenstraatje,"[51.089357917771196, 5.697574930461289]"
Boomgaardstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Borglaan,"[51.0871177, 5.6988069]"
Bosbessenpleintje,"[51.06919291951419, 5.655220734108427]"
Bosmolenlaan,"[51.09757555425016, 5.780927865754164]"
Bospoort,"[51.0964468, 5.7868256]"
Bosstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Bovenleestraat,"[51.07379288353644, 5.642969632100948]"
Breeërweg,"[51.109313548357804, 5.680020972517399]"
Broekbergweg,"[51.10781646816521, 5.7521587112274535]"
Broekkempweg,"[51.10350406595365, 5.750611234281853]"
Broekstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Broekweg,"[51.08214205427487, 5.684729428135499]"
Broekziepenstraat,"[51.085602413220904, 5.693674121677391]"
Brugstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Burgemeester Philipslaan,"[51.0972023, 5.7917286]"
Calenbergerdijk,"[51.03706735, 5.614282749999999]"
Canadastraat,"[""FOUT, straat in foute gemeente gevonden""]"
Capucienenstraat,"[51.09581237566918, 5.791414393278582]"
Daalstraat,"[51.042655689099966, 5.640715668555951]"
David Teniersstraat,"[51.1008836, 5.7930859]"
De Akkers,"[51.08394785, 5.711363]"
De Fraipontweg,"[51.09854647341802, 5.762493417227491]"
De Hove,"[51.08732455982233, 5.694141938233369]"
De Zavel,"[51.059927859628615, 5.636003595457081]"
Dekenskamp,"[51.09733185812383, 5.797726980944429]"
Dennenstraat,"[51.085488299999994, 5.71481035]"
Derde Straat,"[51.08578100035399, 5.787441927839863]"
Diepbeekweg,"[51.08120781133519, 5.765764655589569]"
Diestersteenweg,"[51.1007745, 5.6981610499999995]"
Dijkweg,"[51.11065405, 5.6780878999999995]"
Dilserweg,"[51.068190779163665, 5.657853128919591]"
Dirk Boutsstraat,"[51.09976422619027, 5.794491670687422]"
Dokter Pergenslaan,"[51.10412095293896, 5.781216863846246]"
Dornerheidestraat,"[51.037139249999996, 5.64174165]"
Dornerkruisstraat,"[51.04488193763801, 5.6419234892558885]"
Dornermolenstraat,"[51.04729326289799, 5.625411948743271]"
Dornernieuwstraat,"[51.04519374209817, 5.634387121295365]"
Dornerstationsstraat,"[51.04274725355177, 5.62959952872497]"
Dornerveldweg,"[51.0449431, 5.63645245]"
Dornestraat,"[51.052440912472676, 5.6324694552229335]"
Dorperberg,"[51.06443657187372, 5.656582307828352]"
Dorperheideweg,"[51.06275141244171, 5.664341250551389]"
Dorpermolenstraat,"[51.06895404301393, 5.654026171158413]"
Dorperveldstraat,"[51.09445606895778, 5.695587508294342]"
Dorpsstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Drie-Eikenstraat,"[51.074377875000316, 5.648725582322381]"
Driebekenweg,"[51.1053128, 5.745987550000001]"
Driepaalweg,"[51.055299002507745, 5.663923143882162]"
Drietakstraat,"[51.096462350554816, 5.714306131484577]"
Drievekkenweg,"[51.090008516532656, 5.692031261381175]"
Duivelsbrugweg,"[51.078927050000004, 5.78687215]"
Eerste Straat,"[51.09069859668066, 5.778251263750288]"
Egelsbergweg,"[51.110386369340745, 5.77267987040517]"
Eggestraat,"[51.06060723707571, 5.652205540057069]"
Egidius De Vresestraat,"[51.10410344532543, 5.777789524497853]"
Eikerpoort,"[""FOUT, geen straat gevonden""]"
Eikerstraat,"[51.09593298294885, 5.792926198167822]"
Eindstraat,"[51.03818068815505, 5.616182405984952]"
Elerweg,"[51.087595049463296, 5.708025639750958]"
Endepoelweg,"[""FOUT, straat in foute gemeente gevonden""]"
Engerhoven,"[51.09150987643851, 5.766981287016105]"
Ervenstraat,"[51.11145835391697, 5.702023064973829]"
Everstraat,"[51.09335799605744, 5.792369042943202]"
Fabrieksweg,"[51.04715823315245, 5.657421357355512]"
Fortstraat,"[51.06881371080075, 5.655255442623251]"
Frederik Maldersstraat,"[51.10310716680724, 5.777995812289744]"
Gasthuisveld,"[51.096349849462975, 5.773879436466234]"
Gebroeders Crollstraat,"[51.099259836935744, 5.761506500245233]"
Geiboomstraat,"[51.099049167531376, 5.780676258077259]"
Genveurderweg,"[51.11903505922342, 5.752867793381534]"
Gerriskapelstraat,"[51.07236055548475, 5.6519803178732415]"
Gezusters Vliexsstraat,"[""FOUT, geen straat gevonden""]"
Glazentrapstraat,"[51.083180312652786, 5.756137941803817]"
Goyenspad,"[51.089658882823926, 5.704887896237023]"
Gremelsloweg,"[51.10308470311021, 5.747904956568419]"
Grenswachtstraat,"[51.09590143081828, 5.77402093198888]"
Grinaraweg,"[51.10101271440375, 5.806606765962125]"
Groen Wegje,"[51.091023321791035, 5.6812486600532734]"
Groenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Grootrootplein,"[51.095463949999996, 5.7017761]"
Grootrootstraat,"[51.09610599292283, 5.700450291811044]"
Grote Geerstraat,"[51.10289368904866, 5.694390503019663]"
Grote Kerkstraat,"[51.09484467949442, 5.793238514270737]"
Grotlaan,"[51.0861231, 5.729916299999999]"
Gruitroderlaan,"[51.06967888706794, 5.6541948911402775]"
H. Harlindisstraat,"[51.09920262013236, 5.798606710403602]"
H. Relindisweg,"[51.100526032001724, 5.7925042636626145]"
H. Wammesstraat,"[51.09349850737611, 5.78186525727166]"
Haagsteeg,"[51.10140430207002, 5.779632700693622]"
Hagedorenstraat,"[51.10234831892626, 5.694639994065054]"
Hagerweg,"[51.11014386627404, 5.688208961339133]"
Halstraat,"[51.09542902300459, 5.790324502155467]"
Hamontweg,"[51.10374724761113, 5.802845855745384]"
Handboogstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Hans Memlingstraat,"[51.10045814771763, 5.786315052409635]"
Hazenpadweg,"[51.10418994215967, 5.757499318282503]"
Heerbaan,"[51.096514010704986, 5.695960284544155]"
Heikantweg,"[51.100869783635744, 5.706308136368881]"
Heilekamp,"[51.098206040408, 5.798679724510517]"
Heirweg,"[51.09992626411269, 5.78244285066241]"
Heiweg,"[51.10086275307079, 5.709655373447764]"
Hekskensweg,"[51.10339405, 5.69559815]"
Hendrik Dreissensstraat,"[51.105033495616894, 5.780712975720567]"
Hendrik Van Veldekestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Heppeneert,"[51.0790503, 5.7945324]"
Hepperpoort,"[51.09341635, 5.790732071833345]"
Heppersteenweg,"[51.08844170479763, 5.79299078150955]"
Hepperstraat,"[51.094087099999996, 5.791595750000001]"
Herenlaakweg,"[51.10809289147117, 5.810544900432873]"
Hermesstraat,"[51.0636174760274, 5.63982418066224]"
Hertstraat,"[51.09593532371555, 5.7942009998901165]"
Hitselkamerweg,"[51.10594632470664, 5.768101574091793]"
Hoendersstraat,"[51.084434245629495, 5.705142253736044]"
