Straat,Coordinaten
Acacialaan,"[""50.9953867"", ""5.6984613""]"
Akkerstraat,"[""50.9599112"", ""5.6906365""]"
Alice Nahonstraat,"[""50.9836017"", ""5.7166517""]"
Ambachtsstraat,"[""50.9893506"", ""5.7016384""]"
Appelvinkstraat,"[""50.9783326"", ""5.6985685""]"
Azalealaan,"[""50.9751509"", ""5.6764642""]"
Bampstraat,"[""50.9439866"", ""5.7320561""]"
Baron Coppéelaan,"[""50.9961078"", ""5.6999688""]"
Beatrijsstraat,"[""50.9858455"", ""5.7182228""]"
Beekstraat,"[""50.9653667"", ""5.7012771""]"
Beerensheuvelstraat,"[""50.9802983"", ""5.6994535""]"
Bemdenstraat,"[""50.9459837"", ""5.6863502""]"
Berenshoeveweg,"[""50.9692586"", ""5.6943084""]"
Bergstraat,"[""50.9789015"", ""5.6615925""]"
Berkenlaan,"[""50.9955466"", ""5.6868012""]"
Bessenstraat,"[""50.9702435"", ""5.6844149""]"
Bevrijdingslaan,"[""50.9886596"", ""5.6834423""]"
Biestraat,"[""50.9803934"", ""5.6971565""]"
Binnenhof,"[""50.9630864"", ""5.6968563""]"
Bloemenlaan,"[""50.9821939"", ""5.6967173""]"
Boeienaarstraat,"[""50.9640241"", ""5.6939195""]"
Boogstraat,"[""50.9727913"", ""5.6873685""]"
Boorsemstraat,"[""50.9465341"", ""5.6937959""]"
Bosbesstraat,"[""50.961058"", ""5.6777613""]"
Bosgraaf,"[""50.9739779"", ""5.6929391""]"
Bosjesstraat,"[""50.9951934"", ""5.6953046""]"
Bostulpstraat,"[""50.9834456"", ""5.6837911""]"
Bosweg,"[""50.9688372"", ""5.6782412""]"
Botsebergweg,"[""50.986259"", ""5.7350532""]"
Botvinkstraat,"[""50.9792457"", ""5.6989709""]"
Boudewijnlaan,"[""50.9650393"", ""5.6837342""]"
Brandheide,"[""50.9816432"", ""5.6753406""]"
Bredeweg,"[""50.9498506"", ""5.6780748""]"
Breitwaterstraat,"[""50.9482175"", ""5.6971916""]"
Bremheuvel,"[""50.9823787"", ""5.6799884""]"
Bremstraat,"[""50.9910011"", ""5.6862203""]"
Broekhofstraat,"[""50.9858247"", ""5.713065""]"
Broekrootstraat,"[""50.9689447"", ""5.7013229""]"
Broekstraat,"[""50.9389821"", ""5.6783867""]"
Bruelensweg,"[""50.988472"", ""5.7138193""]"
Brugstraat,"[""50.9815676"", ""5.7072837""]"
Bundersweg,"[""50.9496955"", ""5.6616792""]"
Burg. Bovensstraat,"[""51.0006539"", ""5.7459427""]"
Burg.Ch.Ramakersstraat,"[""50.9875363"", ""5.681849""]"
Burg.G.Dextersstraat,"[""50.9878553"", ""5.6853915""]"
Burg.H.Jeurissenstraat,"[""50.9878692"", ""5.6834144""]"
Burg.Vinckenlaan,"[""50.9889847"", ""5.7402898""]"
Casinostraat,"[""50.9932653"", ""5.6955996""]"
Collegestraat,"[""50.9668155"", ""5.6966966""]"
Creemersweg,"[""50.968034"", ""5.6800733""]"
Creuderstraat,"[""50.9995067"", ""5.74875615""]"
Cyriel Buyssestraat,"[""50.9820402"", ""5.7162179""]"
Daalbroekstraat,"[""50.945038"", ""5.6692246""]"
Daalstraat,"[""50.9838347"", ""5.707245""]"
Dageraadstraat,"[""50.9819255"", ""5.7150799""]"
