Straat,Coordinaten
'T Ketske,"[50.98294765642662, 3.800270210212058]"
Abdissenweg,"[51.01045335, 3.7713458500000003]"
Abrikozenstraat,"[50.9880772, 3.7538679]"
Acaciastraat,"[50.9861801815906, 3.7391367927162467]"
Achterhof,"[""FOUT, geen straat gevonden""]"
Adolphe Hebbelynckplein,"[""FOUT, geen straat gevonden""]"
Akkerstraat,"[51.0100459, 3.7915092]"
Albrecht Rodenbachlaan,"[51.01490718506671, 3.7547222489885437]"
Aldegondisstraat,"[50.9781643, 3.7689563]"
Alina Vander Waerenstraat,"[51.021179534176625, 3.779357728766968]"
Ambachtsweg,"[50.99217999638416, 3.762176558586644]"
Anemonenstraat,"[""FOUT, geen straat gevonden""]"
Appelstraat,"[50.989214417854846, 3.7594256455624215]"
Appelwegel,"[51.00166182424571, 3.805453480042768]"
Asselkouter,"[50.94810365076981, 3.754639218117414]"
Augusta Van Den Mergelestraat,"[50.96579098888864, 3.751654134973248]"
Autostradeweg,"[50.9914189, 3.7993369]"
Avenskouter,"[51.01536159458335, 3.7642476869592048]"
Azaleastraat,"[51.01966683630691, 3.7765426008907785]"
Baron Arthur Verhaegenlaan,"[50.99878486578363, 3.751895172597925]"
Beekstraat,"[51.0007444, 3.7965854]"
Begijnegat,"[51.0109585817702, 3.7708439716603355]"
Begijnenwegel,"[51.00447306326765, 3.7817691627904426]"
Begoniastraat,"[51.01956703428615, 3.7740380428359708]"
Bekeriklos,"[50.93683116135653, 3.7368435861007034]"
Benedenstraat,"[50.99295185, 3.8275276]"
Bergbosstraat,"[50.98213874979169, 3.7267467032914494]"
Bergstraat,"[50.98419114033768, 3.7967257663701433]"
Bergwegel,"[50.9863357, 3.7294236]"
Berkboswegel,"[50.98281589083508, 3.7328731501001724]"
Berkenhof,"[50.98413287755196, 3.7298388317148867]"
Berkenlaan,"[50.99789392102611, 3.7984480707818697]"
Berrensstraat,"[50.96765438141674, 3.7454737862627905]"
Bessenhof,"[50.98621085, 3.75524475]"
Beukenstraat,"[50.98501262538541, 3.7376728268903716]"
Biest,"[50.944300185800785, 3.740661251912598]"
Binnenwijk,"[50.99620814883488, 3.7488548225858755]"
Blankaartstraat,"[50.956845, 3.7026438500000003]"
Blompark,"[51.01270475, 3.75239735]"
Bollaertstraat,"[50.95863743076206, 3.707868624625779]"
Boomgaardstraat,"[51.00511203244976, 3.7898729937605973]"
Borgt,"[50.985364957107755, 3.743096955519831]"
Bosdreef,"[51.00900149629159, 3.7643161986081606]"
Bosstraat,"[50.96109259124776, 3.7206708722121054]"
Boswegel,"[50.98738105175289, 3.8174077355857006]"
Boterbloemstraat,"[51.0038137273614, 3.78392465992031]"
Boterhoekstraat,"[50.955795297827514, 3.7029495765196754]"
Bottelaarse-Vijverwegel,"[""FOUT, geen straat gevonden""]"
Bottelaredries,"[50.96070031016737, 3.7589918308663095]"
Braambos,"[51.011367849554716, 3.7774692755871024]"
Braamboslaan,"[51.0109485, 3.7755556]"
Brandegems Ham,"[50.98081758461541, 3.724559527999916]"
Bremweg,"[51.007281873936556, 3.765420841011718]"
Bromeliastraat,"[51.01678547987921, 3.7815738915666204]"
Brugstraat,"[51.00228829881833, 3.806668550824614]"
Brusselsesteenweg,"[51.000487, 3.8053087]"
Bundervijver,"[50.98141543241786, 3.7468864068577568]"
Bunkerwegel,"[50.938764290833205, 3.737689615399692]"
Burg. Carl Plissartstraat,"[50.973057298034256, 3.720343964053343]"
Burg. De Guchteneerelaan,"[50.97562494329678, 3.7487316266022064]"
Burg. Edmond Ronsestraat,"[50.9555364047823, 3.695986774013014]"
Burg. Maenhautstraat,"[50.98759284993854, 3.7655524816729935]"
Burg. Van Cauwenberghestraat,"[50.96949445, 3.72491685]"
Burg. Van Gansberghelaan,"[50.9825645, 3.7797657499999997]"
Camille Melloyhof,"[51.01808673251796, 3.7763247038964196]"
Campagnestraat,"[50.958372874250564, 3.7003701872035553]"
Caritasstraat,"[50.99516218137232, 3.7776625946434015]"
Christophoruswegel,"[""FOUT, geen straat gevonden""]"
Chrysantenstraat,"[51.00233183167627, 3.752660500081007]"
Cliviastraat,"[51.020727903472824, 3.781510026668411]"
Collegebaan,"[50.9946845, 3.8207532]"
Conversatieweg,"[50.99077377452457, 3.747414257933106]"
Cornelius Sneyssenslaan,"[50.98598470363653, 3.7405773025549207]"
Cottemwegel,"[50.98132710124394, 3.726326001828022]"
Crookstraat,"[50.98531683213402, 3.7588668331620023]"
Cyriel Buyssestraat,"[51.01197865331494, 3.752960136226555]"
Dageraadstraat,"[51.00420878648681, 3.803887740082328]"
Dieperik,"[50.94252758527157, 3.7502923784424316]"
Diepestraat,"[50.95658978837755, 3.7562683624862707]"
Dijsegem,"[50.99298304511333, 3.749575872843915]"
Dikke Linde,"[50.99859083062113, 3.787478319912017]"
Doelwegel,"[50.95708046693921, 3.753696472828481]"
Dokter Callaertstraat,"[""FOUT, geen straat gevonden""]"
Dokter Dhaenenslaan,"[51.00951342587662, 3.7584733581734717]"
Dokter Jean Vercouilliestraat,"[51.02154214298243, 3.768431268496086]"
Dokterswegel,"[50.961807164473726, 3.7564624818829135]"
Doktor O. De Gruyterstraat,"[""FOUT, geen straat gevonden""]"
Doornlaan,"[51.0122129, 3.7695323]"
Dorpsplein,"[51.005279099999996, 3.8031698]"
Dorpsstraat,"[50.96574415069483, 3.7584707401455595]"
Dotterbloemweg,"[51.0182791, 3.7475012000000003]"
Driebunderputlaan,"[50.99407157709977, 3.797768452950519]"
Driebunderputwegel,"[50.994315267150874, 3.798540392245037]"
Driekoningenplein,"[50.99304565, 3.747026900548396]"
Driesstraat,"[51.006268236532094, 3.786615540645273]"
Drieswegel,"[50.98182986675016, 3.7933670964934314]"
Edelarendries,"[50.96449000616848, 3.7436201456163305]"
Eikenmolenwijk,"[51.01958765428185, 3.7495767054130344]"
Eikenstraat,"[50.98427425, 3.7382923999999997]"
Eikerwegel,"[51.002281670500025, 3.798462175962415]"
Elzenbroek,"[50.979962771401404, 3.742158818633943]"
Emiel Hullebroeckstraat,"[51.02073123985861, 3.767362435213542]"
Esdreef,"[50.98155672305916, 3.7420145286676094]"
Ettingen,"[50.98588539767583, 3.745180505676246]"
F. Nève de Mévergniesstraat,"[50.96387014133065, 3.754800505211273]"
Fazantenstraat,"[50.96627705, 3.71500215]"
Fazantstraat,"[50.99571100519977, 3.7946248111769214]"
Floraplein,"[51.017840584067116, 3.759422940874212]"
Florastraat,"[51.02144083710495, 3.7583951634015804]"
Franciscuswegel,"[""FOUT, geen straat gevonden""]"
François Spaestraat,"[51.022457336498256, 3.7729492012608534]"
Fraterstraat,"[51.00574655, 3.7611505]"
Galgeveldstraat,"[50.964278440787965, 3.702072156938398]"
Gaversesteenweg,"[50.9539167350997, 3.6902366219472067]"
Gebroeders De Mulderstraat,"[50.96434872455065, 3.754297336505557]"
Gebroeders Dechampsstraat,"[51.02265941961681, 3.7681179985726123]"
Geerbos,"[50.988848, 3.8242497792796954]"
Geerbosstraat,"[50.98632945, 3.8199769999999997]"
Gemeenteplein,"[51.0038099, 3.8000777]"
Gentbos,"[50.974154049999996, 3.751298307196161]"
Geraardsbergsesteenweg,"[50.99563755661854, 3.80213869234562]"
Geraardsbergsevoetweg,"[50.99951112661658, 3.758504643545331]"
Ginstdreef,"[51.0107586, 3.7613808]"
Gontrode Heirweg,"[50.9996999, 3.7869429]"
Grasklokjesweg,"[51.00691946328318, 3.7641168604892523]"
Grepstraat,"[50.96891973022308, 3.7173509586440083]"
Groenlingstraat,"[50.99539337764179, 3.7957621917326585]"
Groenstraat,"[50.954834893709574, 3.7406194589097583]"
Grote Elsdries,"[51.00349525625941, 3.7885184966921477]"
Guido Gezellelaan,"[51.0164809758006, 3.750304143136271]"
Guido Gezellestraat,"[51.02039228928526, 3.768439105338132]"
Guldensporenlaan,"[51.003904298126294, 3.763455282183703]"
Guldensporenpark,"[51.005593713899856, 3.754421792215959]"
Haerlinckstraat,"[50.96119745928114, 3.703897305496302]"
Hazelaardreef,"[50.981274134395356, 3.7393154743519874]"
Heidestraat,"[50.99093903289839, 3.7776871420504947]"
Heiwegel,"[50.9662533242425, 3.7658396032117323]"
Heiwijkstraat,"[51.007641007933756, 3.7653060846753483]"
Hendrik Consciencestraat,"[51.020532149712814, 3.7597104673140813]"
Herdenkingswijk,"[51.022011533715876, 3.7579667777400005]"
Herderstraat,"[50.99503403265889, 3.799649137033243]"
Herfstlaan,"[51.01644235168571, 3.7572122483715105]"
Herman Teirlinckstraat,"[50.99020906895513, 3.7494504711036214]"
Heusdenbaan,"[51.0247231, 3.7727331]"
Hof Resselaar,"[50.98385334600217, 3.7352231449178324]"
Hof ten Dries,"[51.0031066, 3.7901447]"
Hof ter Beuken,"[51.016582339320465, 3.7665794684987484]"
Hof ter Eeken,"[51.003044905898584, 3.7936997831950716]"
Hof ter Wallenlaan,"[50.99389912827129, 3.740974503006959]"
Hogenbos,"[50.964442764323415, 3.7379613957457662]"
Hollebeekpark,"[50.97759861434772, 3.743852779281644]"
Hollebeekstraat,"[50.976072196131774, 3.746095848759741]"
Hoogstraat,"[50.97614354595926, 3.726516976041071]"
Hoorndriesstraat,"[50.9768168, 3.721841]"
Houtenmolenwegel,"[50.94171212750393, 3.7397854322316335]"
Hoveniershof,"[51.0240108, 3.7692977]"
Hovenierstraat,"[51.02377501283525, 3.7709821112775974]"
Hukkelgemwegel,"[51.00089446145902, 3.7480552947538275]"
Hullewegel,"[50.98619728929248, 3.794376383269128]"
Hundelgemsesteenweg,"[50.93809479260654, 3.7351050241808066]"
Ijsvogelstraat,"[50.9767483192488, 3.732028747618906]"
Industriepark,"[50.9877752, 3.7653509]"
Jan De Lichte,"[50.9957553, 3.78820835]"
