Straat,Coordinaten
Armentierssteenweg,"[""50.7609366"", ""2.8957638""]"
Armentiersstraat,"[""50.76341189111484"", ""2.896480126903274""]"
Daalstraat,"[""50.76315767467347"", ""2.898223916522299""]"
François Deleustraat,"[""50.76482405165617"", ""2.8988670844876587""]"
Gentstraat,"[""50.76430831435678"", ""2.897281777391277""]"
Ieperstraat,"[""50.76635630383853"", ""2.8964934352388463""]"
Kerkstraat,"[""50.7640902"", ""2.89865835""]"
Ketelstraat,"[""50.766054100000005"", ""2.8978514""]"
Klaprozenwijk,"[""50.764792312400694"", ""2.895140212052087""]"
Korte Mooiestraat,"[""50.764444294218784"", ""2.898522599955534""]"
Maarschalk Plumerplein,"[""50.764659449999996"", ""2.895484489474388""]"
Markt,"[""50.7650223"", ""2.8970331""]"
Nieuw Zeelandersstraat,"[""50.7605776"", ""2.89043515""]"
Nieuwkerkestraat,"[""50.7662030102776"", ""2.8953411780310523""]"
Omtrek Kerk,"[""50.764310781757956"", ""2.8996284154096594""]"
Oud Kerkhofstraat,"[""50.76469002327061"", ""2.899429461126682""]"
Rijselstraat,"[""50.76311546778164"", ""2.9038019843315053""]"
Slijpstraat,"[""50.76634217411317"", ""2.899447755099361""]"
Steenstraat,"[""50.7668225263064"", ""2.8987111024317787""]"
Vier Koningenstraat,"[""50.76696355399793"", ""2.902148076302139""]"
Vredestraat,"[""50.76601286587987"", ""2.9011280775682833""]"
Waastenstraat,"[""50.7625250637947"", ""2.911446316138571""]"
Wulvergemstraat,"[""50.763453419734816"", ""2.894759738211744""]"
Zwijnemarkt,"[""50.764079249999995"", ""2.89814025""]"
