Straat,Coordinaten
9de-Linielaan,"[""51.1485403475842"", ""2.76076890835584""]"
Abdisweg,"[""51.1760393"", ""2.8128346""]"
Akkerstraat,"[""51.1858113"", ""2.8242943""]"
Albertstraat,"[""51.18362428109983"", ""2.8066187823866438""]"
Alexandre Ponchonstraat,"[""51.1858099302102"", ""2.8101403371348637""]"
Alfred Madouxstraat,"[""FOUT, geen straat gevonden""]"
Amaat Van Walleghemstraat,"[""51.18543713040246"", ""2.8312290883396303""]"
Andreas Inghelramstraat,"[""51.17385417052419"", ""2.870524033811092""]"
André Titecastraat,"[""51.1868382"", ""2.8328418500000003""]"
Antoine Van Cailliestraat,"[""51.18715623171843"", ""2.813324222136949""]"
Arendlaan,"[""51.16962488985834"", ""2.7747042821140067""]"
Arthur De Greefplein,"[""FOUT, geen straat gevonden""]"
Arthur Meynneplein,"[""51.159046599999996"", ""2.7689979""]"
August Vermeylenstraat,"[""FOUT, geen straat gevonden""]"
Azaleastraat,"[""51.15282845"", ""2.76955975""]"
Badenlaan,"[""51.166561178132156"", ""2.7777202349088457""]"
Bamburgstraat,"[""51.145234300000006"", ""2.77509645""]"
Bargestraat,"[""51.17748735"", ""2.8807853""]"
Baronstraat,"[""51.150506699999994"", ""2.7610262""]"
Bassevillestraat,"[""51.15193537559679"", ""2.759251630452877""]"
Bazelarestraat,"[""51.12868478267225"", ""2.8828180530130503""]"
Begoniastraat,"[""51.1530999731074"", ""2.768226258277298""]"
Bergenstraat,"[""51.18548197704543"", ""2.811627678873636""]"
Berkenlaan,"[""51.16745626810839"", ""2.773718115138092""]"
Beukenstraat,"[""51.153886888949884"", ""2.7611804559073825""]"
Biezenstraat,"[""51.19218697168133"", ""2.8428403621679554""]"
Blarenuitweg,"[""51.14660365126261"", ""2.8662190450547604""]"
Boesjerplein,"[""51.18660595"", ""2.8269435453005283""]"
Bonte Pierstraat,"[""51.176727487719646"", ""2.8789885566311755""]"
Boterbloemstraat,"[""51.153681482672035"", ""2.7669018945669297""]"
Boterdijk,"[""51.13909114683246"", ""2.765411303360187""]"
Breidelareweg,"[""51.17315409492234"", ""2.9078534359314117""]"
Brempad,"[""51.15499960042565"", ""2.762409366637975""]"
Bremweg,"[""51.17766320174883"", ""2.7979943088186827""]"
Britselaan,"[""51.167540754867275"", ""2.769201895092152""]"
Brouwerijhofstraat,"[""51.16633406420732"", ""2.823003385916958""]"
Brugsesteenweg,"[""51.1270504"", ""2.8029124999999997""]"
Busbruggestraat,"[""51.13131878636048"", ""2.837318339369911""]"
Büchenbeurenplein,"[""51.1105715"", ""2.8390008630999013""]"
Cabinestraat,"[""51.16024725"", ""2.902489""]"
Camerlinckstraat,"[""51.18612786094864"", ""2.821658696238437""]"
Camieltje,"[""51.17886986446528"", ""2.879291513042788""]"
Cayepolder,"[""51.14737035157627"", ""2.7599772081014007""]"
Charles de Broquevillelaan,"[""51.17219815554918"", ""2.7822610576477356""]"
Cleyemeereweg,"[""51.18172475"", ""2.88512085""]"
Cottagelaan,"[""51.168231629794754"", ""2.774970720769709""]"
Cuyleweg,"[""51.16107661025759"", ""2.870255709155722""]"
Cyriel De Grootelaan,"[""51.190111747573674"", ""2.8237615340996087""]"
Dahliastraat,"[""51.151987636620674"", ""2.7697494794078663""]"
De Dreve,"[""FOUT, geen straat gevonden""]"
De Kalkaart,"[""FOUT, geen straat gevonden""]"
De Middelpolder,"[""51.18847655103387"", ""2.8397057726337382""]"
De Schaatse,"[""51.16984695"", ""2.8778466500000004""]"
Denis Verhaeghe-Baelestraat,"[""FOUT, geen straat gevonden""]"
Dennenlaan,"[""51.18712939522182"", ""2.8249592342206107""]"
Desiré De Ruytterstraat,"[""51.1782301"", ""2.87430875""]"
Diksmuidestraat,"[""51.11777139125255"", ""2.887248107859284""]"
Dimmereieweg,"[""51.162981809009956"", ""2.8895798835322433""]"
Distellaan,"[""51.1697365114622"", ""2.7731402247484858""]"
Donkermaneschijnweg,"[""51.1581214209425"", ""2.8472442882082256""]"
Doornemaatsweg,"[""51.17868771935676"", ""2.902745554309376""]"
Doornstraat,"[""51.16251736984042"", ""2.7660352108106165""]"
Dorpsmolenstraat,"[""51.17367997235015"", ""2.877057037792237""]"
Dorpsplein,"[""51.149569422395864"", ""2.756870783856647""]"
Dorpsstraat,"[""51.17474742612359"", ""2.8778600795848694""]"
Duindistelweg,"[""51.17479126722517"", ""2.7988107523582437""]"
Duinenlaan,"[""51.16197285"", ""2.7679460999999996""]"
Duinenweg,"[""51.18489778297761"", ""2.812750577408002""]"
Edouard Otletplein,"[""FOUT, geen straat gevonden""]"
Eglantierlaan,"[""51.18583485082132"", ""2.8151650514830404""]"
Elisabethlaan,"[""51.1558661594091"", ""2.7527330896192472""]"
Emiel Raeckestraat,"[""51.15512953375262"", ""2.7729361455780968""]"
Epernayplein,"[""51.187334"", ""2.8137639802273893""]"
Essex Scottishlaan,"[""51.15787347894064"", ""2.765553892028215""]"
Ettlingenstraat,"[""51.188420919577176"", ""2.8316206201850718""]"
Flandrialaan,"[""51.16869339269439"", ""2.771030545079223""]"
Fleriskotstraat,"[""51.18519593749175"", ""2.8681471662902993""]"
Franciscus Dierendonckstraat,"[""51.187149492795065"", ""2.829687739584141""]"
Franselaan,"[""51.16806219428621"", ""2.7695690513200844""]"
Gasstraat,"[""51.184435587239975"", ""2.8224603028464563""]"
