Straat,Coordinaten
11 Julilaan,"[""51.185459380529025"", ""5.105962436878939""]"
15 Kapellekens,"[""51.1974052"", ""5.10015275""]"
Aardbemden,"[""51.20674102480702"", ""5.137172828094267""]"
Abdijlaan,"[""51.28741194266599"", ""5.191530556000949""]"
Acaciastraat,"[""51.19741876592074"", ""5.135459763229672""]"
Achterbos,"[""51.2016295"", ""5.0994229""]"
Achterdonken,"[""51.212741099577634"", ""5.12810588910372""]"
Achterpad,"[""51.18660448214973"", ""5.116739382884832""]"
Adolf Reydamslaan,"[""51.18892785"", ""5.11504605""]"
Akkerstraat,"[""51.20295468717473"", ""5.098222419681103""]"
Albertlaan,"[""51.19029970280433"", ""5.204168337248422""]"
Alfons Megensplein,"[""51.188356420284364"", ""5.1088709647393244""]"
Ambachtsstraat,"[""51.190423902892285"", ""5.100052307207524""]"
Anemonenstraat,"[""51.19411373374021"", ""5.120610842605149""]"
Arendonkseweg,"[""51.30729132115589"", ""5.142518371601679""]"
Arendstraat,"[""51.18455048530822"", ""5.072918688702714""]"
Asberg,"[""51.16579453424403"", ""5.0814757320831765""]"
Asstraat,"[""51.18588393291434"", ""5.110724489065746""]"
Astridlaan,"[""51.19059166788955"", ""5.211102646125818""]"
Azaleastraat,"[""51.19489733522867"", ""5.119933410152035""]"
Balen-Neetlaan,"[""FOUT, straat in foute gemeente gevonden""]"
Barcelonalei,"[""51.19242188939506"", ""5.161842928116205""]"
Baron van Eetveldeplein,"[""51.1855182897804"", ""5.117583368806007""]"
Beekstraat,"[""51.179702875534744"", ""5.106697469243776""]"
Beeldekenslaan,"[""51.18651559190251"", ""5.104194060742495""]"
Beemdenstraat,"[""51.18065401623704"", ""5.108181723678086""]"
Begonialaan,"[""51.19381024434529"", ""5.1214161478222""]"
Belgiëlaan,"[""51.2168624"", ""5.1086833""]"
Bellekensstraat,"[""51.176635544739334"", ""5.082627903188451""]"
Belsebaan,"[""FOUT, straat in foute gemeente gevonden""]"
Beneluxplein,"[""51.21597079451607"", ""5.110854694176446""]"
Bergeyksedijk,"[""51.306887089180435"", ""5.216208362435795""]"
Bergstraat,"[""51.1896469"", ""5.1215915""]"
Berkebossenlaan,"[""51.2057817"", ""5.1618215""]"
Berkenstraat,"[""51.198612066183486"", ""5.123818100912753""]"
Berkvenstraat,"[""51.201949778557534"", ""5.111581846745926""]"
Beukenbosstraat,"[""51.2047731"", ""5.1153003""]"
Beukenhoflaan,"[""51.17632196731893"", ""5.130152128118515""]"
Bietenstraat,"[""51.194028254835736"", ""5.088158183298025""]"
Binnenvelden,"[""51.2135182603738"", ""5.136038776541233""]"
Binnenweg,"[""51.189019571505824"", ""5.22120456319556""]"
Bladelseweg,"[""51.303906659669934"", ""5.199399409562527""]"
Blauwe Keidreef,"[""51.222491500000004"", ""5.2147855""]"
Blekestraat,"[""51.2147532"", ""5.2136817""]"
Blokstraat,"[""51.19753938051029"", ""5.105885747983946""]"
Boekweitstraat,"[""51.1812004021586"", ""5.092895184466117""]"
Boelsdijk,"[""51.21319045736983"", ""5.1387626235473025""]"
Boerenkrijgstraat,"[""51.186381501749324"", ""5.118122276748699""]"
Boerestraat,"[""51.2097509"", ""5.1355407""]"
Boeretang,"[""51.21696053709927"", ""5.070418859191446""]"
Boeretangsedreef,"[""51.209126420638086"", ""5.099859542891841""]"
Boomgaardstraat,"[""51.1894779163523"", ""5.117181313549886""]"
Boonakker,"[""51.19773395303164"", ""5.129444882524779""]"
Borgerhoutsendijk,"[""51.1684984"", ""5.1053094""]"
Bosbessenstraat,"[""51.170761541000495"", ""5.113216571088555""]"
Bosdreef,"[""51.19686236984791"", ""5.09195602014285""]"
Bosduifstraat,"[""51.18487790006506"", ""5.075363207868023""]"
Boshoek,"[""51.19574201231873"", ""5.106676779263671""]"
Boslaan,"[""51.1941358"", ""5.21873275""]"
