Straat,Coordinaten
Albert Hubertyweg,"[""51.14706318793285"", ""2.718747244655846""]"
Albert I laan,"[""51.13941835429948"", ""2.7383637241664625""]"
Albert Pinotweg,"[""51.14591659266455"", ""2.7269094287219757""]"
Alexisstraat,"[""51.149990155103325"", ""2.742767777812582""]"
Ambachtstraat,"[""51.127264600000004"", ""2.77010765""]"
André De Zaeyerstraat,"[""51.1287011"", ""2.7575036500000003""]"
Ankerstraat,"[""51.1306357"", ""2.7539171500000004""]"
Arsenaalstraat,"[""51.13049148724536"", ""2.754469636412276""]"
Artanlaan,"[""51.14760414578678"", ""2.7222489830827303""]"
Astridlaan,"[""51.13203440261993"", ""2.7477051293839434""]"
Astridpark,"[""51.132842249999996"", ""2.7446827085728156""]"
August Oleffelaan,"[""51.142848228530355"", ""2.722697445762444""]"
Bastienweg,"[""51.14689515877803"", ""2.7226641310634068""]"
Benjaminstraat,"[""51.146965685813264"", ""2.7157710554406163""]"
Blekerijdreef,"[""51.14017170707922"", ""2.724430842231018""]"
Boterbloemdreef,"[""51.1359128"", ""2.71682235""]"
Boterdijk,"[""51.13779294414265"", ""2.7611531716677242""]"
Brabantstraat,"[""51.14701836045512"", ""2.711962167985339""]"
Brugse Steenweg,"[""51.129932035222005"", ""2.7813858108995415""]"
Brugsevaart,"[""51.13715995373092"", ""2.771372069339234""]"
Canadalaan,"[""51.12846767377253"", ""2.7473492523115373""]"
Charles Decosterlaan,"[""51.14197781405463"", ""2.7187852783970157""]"
Constant Permekelaan,"[""51.14579555"", ""2.7164819""]"
Coupe Gorgestraat,"[""51.12655179929517"", ""2.7457217044594944""]"
Defalquestraat,"[""51.155927000000005"", ""2.7469309""]"
Dennenweg,"[""51.145430990718125"", ""2.7198996761018703""]"
Dienstweg Havengeul,"[""51.15029303230631"", ""2.7225650638698196""]"
Diksmuidse Weg,"[""51.11116819909662"", ""2.7559125511521554""]"
Dockaertstraat,"[""51.124947199999994"", ""2.7494715000000003""]"
Dudenhofenlaan,"[""51.13676810980838"", ""2.731771238238118""]"
Duinkerkestraat,"[""51.127819308197445"", ""2.748981674038373""]"
