Straat,Coordinaten
Aardbruggestraat,"[""51.15333373551299"", ""4.676076951427915""]"
Aardstraat,"[""51.15366753458896"", ""4.615667226765271""]"
Acacialaan,"[""51.14714600998479"", ""4.609270116185429""]"
Achterbist,"[""51.1698925"", ""4.6462334""]"
Akendoren,"[""51.1394504"", ""4.6788464""]"
Akkerstraat,"[""51.15535218113442"", ""4.674951079074525""]"
Albert Kanaalstraat,"[""51.161117475324424"", ""4.670004046769134""]"
Asterlaan,"[""51.16172015"", ""4.661568900000001""]"
August Hermansplein,"[""51.1603247156493"", ""4.672467106873821""]"
Azalealaan,"[""51.15309823948589"", ""4.6614527764671205""]"
Bartstraat,"[""51.13582998281809"", ""4.61261447393596""]"
Beekstraat,"[""51.1632876169188"", ""4.6734593430402205""]"
Beemdweg,"[""51.15193157327581"", ""4.604534589946219""]"
Beenderstraat,"[""51.16503"", ""4.6940593""]"
Begoniastraat,"[""51.161650388541624"", ""4.665538436819067""]"
Bergsgoorstraat,"[""51.16607750157739"", ""4.685105955241657""]"
Berkemeistraat,"[""51.166910050536615"", ""4.654064987848375""]"
Berkendal,"[""51.13893535"", ""4.616743""]"
Berkenlaan,"[""51.149486445799695"", ""4.605932581109298""]"
Berlaarsesteenweg,"[""51.137641322377945"", ""4.633682532194217""]"
Beukenlaan,"[""51.14614345"", ""4.6037207""]"
Bevel-Dorp,"[""51.13621158699942"", ""4.683902035550401""]"
Bevels Heerdplein,"[""51.137224149999994"", ""4.68131165""]"
Bevelse Dreef,"[""51.145950517195324"", ""4.675506282216956""]"
Bevelsesteenweg,"[""51.15928670139151"", ""4.671489150729042""]"
Binnenhof,"[""51.141138999999995"", ""4.68245635""]"
Bist,"[""51.17179791279521"", ""4.662219989332347""]"
Blauwenhoek,"[""51.144213362258945"", ""4.636024914934151""]"
Bloemenstraat,"[""51.1405833539668"", ""4.621126679878551""]"
Bloesemhof,"[""51.14196424355088"", ""4.682523248212628""]"
Boekweitstraat,"[""51.1637315"", ""4.6481338""]"
Boerderijstraat,"[""51.15931795"", ""4.6539655""]"
Boerke Naasweg,"[""51.16813595997084"", ""4.662588107152067""]"
Bogaertsheide,"[""51.135009734139274"", ""4.654101151921031""]"
Boonhofstraat,"[""51.15369457199345"", ""4.686257783409591""]"
Boshoek,"[""51.1547994"", ""4.700499199999999""]"
Bouwelsesteenweg,"[""51.16508973318235"", ""4.6934149824723805""]"
Bovenstraat,"[""51.163707"", ""4.6780929""]"
Brabantshof,"[""51.169773176258595"", ""4.688517746475558""]"
Bremweg,"[""51.1688241"", ""4.6798551609458725""]"
Breugelhoevestraat,"[""51.1652904"", ""4.6548623""]"
Broechemsesteenweg,"[""51.17108396738973"", ""4.643484883424243""]"
Carolusberg,"[""51.14738698763119"", ""4.676779949019884""]"
Centraleweg,"[""51.165888022685635"", ""4.703216611128489""]"
Dalstraat,"[""51.14056542352443"", ""4.641159434651985""]"
De Heide,"[""51.15745639630432"", ""4.636217653683375""]"
De Hollekens,"[""FOUT, geen straat gevonden""]"
De Wip,"[""51.16789232922367"", ""4.684210828202331""]"
Dennenlaan,"[""51.167417"", ""4.7012332""]"
Diamantlaan,"[""51.16322569699684"", ""4.659755442471011""]"
Diepevoortstraat,"[""51.1422058"", ""4.6767729""]"
