Straat,Coordinaten
't Angereelstraat,"[""50.813333549999996"", ""3.97410935""]"
Aalstersesteenweg,"[""50.82010555004114"", ""3.936217528536371""]"
Aardeweg,"[""50.82977198182823"", ""3.9893129641133815""]"
Abdijstraat,"[""50.839452"", ""4.020784000000001""]"
Abtenstraat,"[""50.84723618317056"", ""4.02017541827477""]"
Acaciastraat,"[""50.84322326722273"", ""4.022803209665478""]"
Achturenstraat,"[""50.828822101227495"", ""4.0275541083245745""]"
Albertlaan,"[""50.83738345578124"", ""4.008810623711202""]"
Ameiveld,"[""50.83569581708592"", ""4.012882802515903""]"
André Vanderlindenstraat,"[""FOUT, geen straat gevonden""]"
Antoon de Vlaeminckstraat,"[""50.83788491772008"", ""4.022632961211229""]"
Appelterre-Dorp,"[""50.81881358046267"", ""3.967048788002911""]"
Arbeidstraat,"[""50.82849743721972"", ""4.020182296730486""]"
Armand De Riemaeckerstraat,"[""FOUT, geen straat gevonden""]"
Astridlaan,"[""50.8401185"", ""4.0316039""]"
Atletiekweg,"[""50.82933611315812"", ""4.013113092239798""]"
Azaleastraat,"[""50.8441981420596"", ""4.0237071646147875""]"
Beekstraat,"[""50.84631887038119"", ""3.974940213169964""]"
Bekstraat,"[""50.82636170500699"", ""3.944921993039455""]"
Beneden-Hemelrijk,"[""50.81897726274988"", ""4.026028018005981""]"
Bergstraat,"[""50.8594589"", ""3.9795246""]"
Berkenhof,"[""50.83925984061235"", ""4.031503454747936""]"
Berrebroeckstraat,"[""50.82478840805538"", ""3.980900330634927""]"
Bertstraat,"[""50.85445576282436"", ""3.9566190738425564""]"
Beukendreef,"[""50.81586452912062"", ""3.9967731817286025""]"
Beverbeek,"[""50.84291485"", ""3.95748855""]"
Beversteeg,"[""50.83571539133283"", ""4.0213172378694395""]"
Beverstraat,"[""50.83606830869479"", ""4.021930749148902""]"
Bevingen,"[""50.80933340160201"", ""4.059149170407835""]"
Bevrijdingslaan,"[""50.83296538526519"", ""4.019291352786732""]"
Biezenstraat,"[""50.83689157266944"", ""4.021671345258646""]"
Bleekstraat,"[""50.83726086191085"", ""4.018127866599543""]"
Bodemstraat,"[""50.82700742876192"", ""4.062609448182327""]"
Bokkendries,"[""50.80081971795943"", ""4.028559691300685""]"
Bonteveldweg,"[""FOUT, geen straat gevonden""]"
Borrekensveldweg,"[""50.84178478605426"", ""3.936105513442411""]"
Borreweg,"[""50.85651785"", ""4.0563845999999995""]"
Bosstraat,"[""50.838245035195094"", ""3.9578815390354865""]"
Bosveld,"[""50.80711340430277"", ""4.027846490642876""]"
Boterbloemweg,"[""FOUT, geen straat gevonden""]"
Boterdael,"[""50.78188126886024"", ""4.00499558020989""]"
Botermelkstraat,"[""50.81534708879172"", ""3.972498261326602""]"
Bovenhoekstraat,"[""50.836681174475984"", ""3.9988840879652887""]"
Brabandersweg,"[""50.85693202491539"", ""4.0499637833823865""]"
Brakelsesteenweg,"[""50.83435883721413"", ""3.9933421650126335""]"
Breeweg,"[""50.809836341507626"", ""3.9628322516480416""]"
Brevierweg,"[""50.84371166251611"", ""4.020017118182836""]"
Brielstraat,"[""50.80982638543533"", ""4.024128339788623""]"
Broekstraat,"[""50.85501609429073"", ""4.052376084764961""]"
Bronstraat,"[""50.815199715790584"", ""3.9768784582635317""]"
Bruggeweg,"[""50.85876301240733"", ""4.061288581110892""]"
Brusselseheerweg,"[""50.80236099416337"", ""4.058843206823066""]"
Brusselsesteenweg,"[""50.82967742753016"", ""4.053359181150351""]"
Brusselstraat,"[""50.8275412"", ""4.0258791""]"
Buisveldstraat,"[""50.84083574679243"", ""3.9871205301658517""]"
Bultkets,"[""50.81869612674616"", ""4.073435591714395""]"
Burchtdam,"[""50.8331241"", ""4.02421325""]"
Burchtstraat,"[""50.83437894255273"", ""4.023086213640766""]"
Burgemeester Berlengéestraat,"[""50.83943787644388"", ""3.9636413596203464""]"
Burgemeester Couckstraat,"[""50.855345990039126"", ""4.052944442637602""]"
Camberg,"[""50.822724650000005"", ""3.9456022""]"
Cauterdreef,"[""50.8260723412503"", ""3.9845315521456635""]"
Centrumlaan,"[""50.83276525901541"", ""4.0150725038666755""]"
Chrysantenweg,"[""FOUT, geen straat gevonden""]"
Clément Behnplein,"[""50.83613621074799"", ""4.026599183430492""]"
Cyriel Prieëlsstraat,"[""50.84737731184391"", ""3.935413183173158""]"
Daalstraat,"[""50.83518113566279"", ""3.9543393040572647""]"
Dam,"[""50.83749616777649"", ""4.019599495211298""]"
Damstraat,"[""50.78000295854563"", ""3.997793789781978""]"
Damweg,"[""50.8427778145798"", ""3.959113170182372""]"
Dasselt,"[""50.78877588684655"", ""4.024178813858266""]"
De Kloef,"[""50.81723437384385"", ""4.0157673215225715""]"
Dekenijstraat,"[""50.83753375"", ""4.021821""]"
