Straat,Coordinaten
Aalmoezenijestraat,"[""50.970456560675665"", ""3.7932891664592585""]"
Aardeweg,"[""50.948053914704325"", ""3.784141664748381""]"
Acacialaan,"[""50.939205132927725"", ""3.7822258510656437""]"
Achterdries,"[""50.95108834299562"", ""3.800245539143868""]"
Apostelstraat,"[""50.9099927517287"", ""3.8055023935543364""]"
Bakkerstraat,"[""50.96518304238742"", ""3.7875779783466936""]"
Balegemstraat,"[""50.92453932159111"", ""3.7915884320509408""]"
Bavegemstraat,"[""50.95306141398833"", ""3.836307812264004""]"
Beekstraat,"[""50.95766912611376"", ""3.7808411428299613""]"
Begijnenweide,"[""50.936541798536155"", ""3.769566110604825""]"
Berg,"[""50.92189721737474"", ""3.8021602011290496""]"
Berkenlaan,"[""50.940553449999996"", ""3.7825683""]"
Beukenlaan,"[""50.940810590265485"", ""3.780555226782986""]"
Bierman,"[""50.90582477769794"", ""3.7894418871805575""]"
Binnenweg,"[""50.934172763831114"", ""3.7537370458355492""]"
Boekhoutstraat,"[""50.9382058"", ""3.8272064""]"
Boerestraat,"[""50.90728022091982"", ""3.7989601906366572""]"
Boonakker,"[""50.96068019191683"", ""3.7956545275978257""]"
Bosstraat,"[""50.973547322674435"", ""3.816701878606645""]"
Boterbloemstraat,"[""50.93383524893905"", ""3.7762224642866133""]"
Boterhoek,"[""50.9536882804329"", ""3.7570868608647796""]"
Botsewegel,"[""50.92927525434782"", ""3.749566707192577""]"
Bottelweg,"[""50.90287905385037"", ""3.7964655949796215""]"
Brielstraat,"[""50.97277434186043"", ""3.811022140229545""]"
Broek,"[""50.90528706983725"", ""3.816167199820378""]"
Cijnsweg,"[""50.91175890171831"", ""3.782906860227285""]"
Dennenlaan,"[""50.942667376155654"", ""3.781863980097276""]"
Diepestraat,"[""50.91890927077236"", ""3.803963641360181""]"
Dorp,"[""50.9459543"", ""3.8032283""]"
Dreef,"[""50.93911891425839"", ""3.7851454299237393""]"
Driesstraat,"[""50.91904407210036"", ""3.7826005793931596""]"
Drooghout,"[""50.94539863581143"", ""3.7715822701213733""]"
Duivelskapelweg,"[""50.93059946898752"", ""3.793821134274242""]"
Eendenweg,"[""50.94732075"", ""3.8122899500000003""]"
Eksterstraat,"[""50.9709863"", ""3.8125462""]"
Ellemeers,"[""FOUT, geen straat gevonden""]"
Esdoornlaan,"[""50.93908644773845"", ""3.7783277556204484""]"
Evelandweg,"[""50.909389506464834"", ""3.787205976136974""]"
Fazantenstraat,"[""50.947971018839304"", ""3.8121996559985156""]"
Frankenbos,"[""50.92157139586502"", ""3.7746494199174183""]"
Gaverse steenweg,"[""50.93485120016278"", ""3.7557389261434393""]"
Gentweg,"[""50.96282116373148"", ""3.780516830083789""]"
Geraardsbergse steenweg,"[""50.9572127"", ""3.8089846""]"
Gijzenzelestraat,"[""50.97057813278702"", ""3.816588615248357""]"
Ginstberg,"[""50.95268685830559"", ""3.7845070388134867""]"
Gootje,"[""50.919054665771064"", ""3.7948842766839888""]"
Goudsbloemstraat,"[""FOUT, geen straat gevonden""]"
Gravelos,"[""50.96648984137306"", ""3.7799694234009196""]"
Groenweg,"[""50.9499069"", ""3.8116612""]"
Groot Bewijk,"[""50.93342708960098"", ""3.775963972336147""]"
Hauwsestraat,"[""50.93029535320018"", ""3.7530077580871497""]"
Hazenwegel,"[""50.94667677659522"", ""3.810886392612866""]"
Heet,"[""50.93708690138932"", ""3.757101684516601""]"
Heide,"[""50.9149691"", ""3.81809625""]"
Heistraat,"[""50.9424173"", ""3.822827""]"
Hemelstraat,"[""50.936518773151015"", ""3.789076112164479""]"
Hettingen,"[""50.93868087574284"", ""3.7929736123773754""]"
Hoek ter Hulst,"[""50.9518598"", ""3.7984493""]"
Hoeksken,"[""50.92378866958911"", ""3.734865892576361""]"
Hofkouter,"[""50.9401730478726"", ""3.779200867019853""]"
Hogeveld,"[""50.94566508233253"", ""3.7942270579408195""]"
Hoogstraat,"[""50.970230397372944"", ""3.81979422956171""]"
Houte,"[""50.911739749999995"", ""3.7831440499999998""]"
Houtemstraat,"[""50.93915896489714"", ""3.8256460908686565""]"
Huckerstraat,"[""50.92154401074756"", ""3.7959881846085763""]"
Hundelgemse steenweg,"[""50.92276460061963"", ""3.7306432261197484""]"
Issegem,"[""50.9286322"", ""3.8039548""]"
Kalle,"[""50.91217282238015"", ""3.796934585550826""]"
Kapelweg,"[""50.924922678547446"", ""3.8050410787130695""]"
Kasteelstraat,"[""50.95302539022631"", ""3.7756136205365567""]"
Kattenberg,"[""50.92382365306536"", ""3.7946122287792092""]"
Keerken,"[""50.92011821705204"", ""3.7316774444373557""]"
Keiberg,"[""50.945479961970086"", ""3.8138326027498524""]"
Kerkstraat,"[""50.97095989330058"", ""3.8160135255473446""]"
Klaproosstraat,"[""50.933458604797764"", ""3.775179116634502""]"
Kleistraat,"[""50.966298"", ""3.8391959""]"
Kloosterstraat,"[""50.963997619034764"", ""3.7855138640893413""]"
Kluizestraat,"[""50.9402844476739"", ""3.7925563186369553""]"
Koekebroodstraat,"[""50.90893982476823"", ""3.810481203500692""]"
Korenbloemstraat,"[""50.93566786194974"", ""3.7761637262825496""]"
Korte Ambachtstraat,"[""50.95182837738882"", ""3.8139900156817856""]"
Korte Brielstraat,"[""50.97045264998756"", ""3.8159459720583624""]"
Korte Lembergestraat,"[""50.9685819705156"", ""3.791720419982689""]"
Korte Streekt,"[""50.934885231092984"", ""3.7702787370870783""]"
Kouterweg,"[""50.945231243792435"", ""3.8052636065894254""]"
Kraaienveldstraat,"[""FOUT, geen straat gevonden""]"
Krekelberg,"[""50.92639103759153"", ""3.7917085951404665""]"
Kwaadbeek,"[""50.96097963043139"", ""3.8301708990138534""]"
Lange Ambachtstraat,"[""50.9468874"", ""3.815502""]"
Lange Munte,"[""50.91555400861488"", ""3.7347708026655244""]"
Langestraat,"[""50.97281376111332"", ""3.8226933542041057""]"
Leeg Bracht,"[""50.92657619644998"", ""3.828218411551888""]"
Leenstraat,"[""50.89727452833282"", ""3.8050424552665127""]"
Leeuwerikstraat,"[""50.92141321186454"", ""3.7987754980065302""]"
Lembergestraat,"[""50.971430969613394"", ""3.787697849935425""]"
Letterhoutemstraat,"[""50.9400226635216"", ""3.8465011277233963""]"
Lijsterstraat,"[""50.921280573374084"", ""3.7976030470115183""]"
Lindenlaan,"[""50.94222155"", ""3.7810036""]"
Lusbekestraat,"[""50.96202950799477"", ""3.7770222681265415""]"
Marktplein,"[""50.9382860245636"", ""3.7848120878205522""]"
Marktwegel,"[""50.93722472923242"", ""3.7847170000191444""]"
Maudeweg,"[""50.9479748"", ""3.8335509""]"
Meerlaanstraat,"[""50.920542560701804"", ""3.7860128841250953""]"
Meerstraat,"[""50.949389964858476"", ""3.7919775088941896""]"
Merebaaistraat,"[""50.9552547"", ""3.8212926""]"
Molenbeekstraat,"[""50.92204118285641"", ""3.791608098388681""]"
Molenstraat,"[""50.92245223242608"", ""3.795528034634607""]"
Mollekens,"[""50.93415534649894"", ""3.7827096509974645""]"
Moortelbosstraat,"[""50.9611508"", ""3.8325306""]"
Moortselestraat,"[""50.95544429516575"", ""3.7798222644399253""]"
Morestraat,"[""50.925445859693774"", ""3.7575795146519377""]"
Muldershof,"[""50.924633216865196"", ""3.7907841442401153""]"
Munckbos,"[""50.91841187207469"", ""3.751550494536477""]"
Muntestraat,"[""50.936232772187424"", ""3.7538834415569067""]"
Mussestraat,"[""50.9640578040057"", ""3.8089255292805686""]"
Nachtegaalstraat,"[""50.9211392064366"", ""3.7964378749281638""]"
Nederstenberg,"[""50.9218908"", ""3.79503845""]"
Nieuwstraat,"[""50.95265050049795"", ""3.819590269848193""]"
Oude Heirbaan,"[""50.938542106831875"", ""3.7900877057324216""]"
Oude Wetterse steenweg,"[""50.96089569172937"", ""3.815150010871958""]"
Oudenaardse steenweg,"[""50.89616905"", ""3.8086354""]"
Palingstraat,"[""50.96061235"", ""3.77904135""]"
Pastoor Wackensstraat,"[""50.93569918167505"", ""3.7854815974765983""]"
Pastoor de Vosstraat,"[""50.93811683354793"", ""3.7858125194279704""]"
Pastorieberg,"[""50.92522012654248"", ""3.7890618271741356""]"
Patrijzenstraat,"[""50.94714425544496"", ""3.813017243992608""]"
Pelgrim,"[""50.938422278928954"", ""3.7856117568448084""]"
Peperstraat,"[""50.93802714085764"", ""3.770597605761699""]"
Pontslag,"[""50.91466168855241"", ""3.776599175330047""]"
Poststraat,"[""50.92536116341625"", ""3.7862733280668825""]"
Rattepas,"[""50.95113823085138"", ""3.767202100497982""]"
Ravenstraat,"[""50.97013880638392"", ""3.813702582157514""]"
Reigerstraat,"[""50.95656975642044"", ""3.825044801908131""]"
Rollebaan,"[""50.95815594185255"", ""3.777366827029228""]"
Rooberg,"[""50.963453469585886"", ""3.804429892841607""]"
Rooigemstraat,"[""50.91536507910543"", ""3.798733338342219""]"
Roosbloemstraat,"[""50.95147086868523"", ""3.826762511209333""]"
Roosbroekstraat,"[""50.94104135060146"", ""3.7772406777296688""]"
Schaperstraat,"[""50.92020149226532"", ""3.741163475834879""]"
Schellartweg,"[""50.95826612163243"", ""3.7886081461763177""]"
Scheurbroek,"[""50.939441656516195"", ""3.8217901884055903""]"
Schildershoek,"[""50.96805615"", ""3.7903044""]"
Schoolstraat,"[""50.971487362122716"", ""3.824509618106382""]"
Sint-Antoniusplein,"[""50.959095830354805"", ""3.7797835892152047""]"
Sint-Bavoplein,"[""50.97100894465432"", ""3.8165235473548513""]"
Sint-Kristoffelstraat,"[""50.93623273695587"", ""3.7850042249004257""]"
Sint-Lievensstraat,"[""50.96923805169406"", ""3.8114819862173785""]"
Sint-Martensdries,"[""50.92594903520554"", ""3.786324539007014""]"
Slangenwegel,"[""50.971963189098624"", ""3.7994055150327966""]"
Smalleweg,"[""50.92465781871443"", ""3.755899315154051""]"
Smeyersveld,"[""50.96973175767502"", ""3.7910217284224954""]"
Smissenbroek,"[""50.945781747619385"", ""3.814111286251792""]"
Spiegel,"[""50.94245854809985"", ""3.7883772121061186""]"
Spiegeldries,"[""50.92024431011942"", ""3.7641549230541584""]"
Spoorwegwegel,"[""50.95364653696892"", ""3.7817274775706906""]"
Sportstraat,"[""50.94133470995323"", ""3.793470586756268""]"
Staalland,"[""FOUT, geen straat gevonden""]"
Stationsstraat,"[""50.9381698"", ""3.7840546""]"
Steenstraat,"[""50.9519882"", ""3.8407984""]"
Stekelbaarsstraat,"[""50.961092881754766"", ""3.7770022987461327""]"
Streekt,"[""50.93569360698598"", ""3.770840328369129""]"
Stuivenberg,"[""50.96938036071525"", ""3.8012442566054556""]"
Terstraeten,"[""50.909489684233975"", ""3.7984545026923393""]"
Tramplein,"[""50.95661408938696"", ""3.7790766278629477""]"
Tramstraat,"[""50.955555644536844"", ""3.775135661514107""]"
Turkenhoek,"[""50.93215359520309"", ""3.7770788988923254""]"
Uilhoek,"[""50.967891495731465"", ""3.7871139475406648""]"
Van Thorenburghlaan,"[""50.94675781773065"", ""3.786789767931897""]"
Veldstraat,"[""50.95759116532309"", ""3.8385337737786807""]"
Verbindingsweg,"[""50.93684662431345"", ""3.7689057343634884""]"
Vierbunderstraat,"[""50.93956194555701"", ""3.791606477683576""]"
Vijverhoek,"[""50.955484576398206"", ""3.769368615886078""]"
Vijverstraat,"[""50.9592466961697"", ""3.7788121995626707""]"
Vinkemolenstraat,"[""50.95119273987495"", ""3.809244255755673""]"
Vlierstraat,"[""FOUT, geen straat gevonden""]"
Voordries,"[""50.95079696645361"", ""3.8068015074491384""]"
Vosbroekstraat,"[""50.92056517559057"", ""3.7949885447529246""]"
Vrijhem,"[""50.927210792251145"", ""3.789362977924492""]"
Walzegem,"[""50.905006549999996"", ""3.8028847""]"
