Straat,Coordinaten
't Kintstraat,"[""50.9505725250333"", ""4.163901131662615""]"
't Luik,"[""50.96952016264056"", ""4.148891115074296""]"
Asbeekweg,"[""50.97094002157977"", ""4.198802914945242""]"
Averbeekstraat,"[""50.972834678261414"", ""4.181145278248895""]"
Baardegemstraat,"[""50.952394129446375"", ""4.158447756121504""]"
Beekveldstraat,"[""50.96986598964829"", ""4.1954793754635125""]"
Beiaardlaan,"[""50.945097943108216"", ""4.170882110537034""]"
Blocksweide,"[""50.96608002538385"", ""4.186087019595711""]"
Bolstraat,"[""50.9820188"", ""4.1714144""]"
Boogstraat,"[""50.97409390670448"", ""4.193696202684362""]"
Bosstraat,"[""50.93598675"", ""4.16945775""]"
Broeckehof,"[""50.970248049999995"", ""4.19868185""]"
Broekstraat,"[""50.9709665"", ""4.2008444""]"
Broevink,"[""50.96580466924417"", ""4.21665538757404""]"
Bruggeveld,"[""50.966689576203905"", ""4.198656635925082""]"
Bunderstraat,"[""50.97614426729784"", ""4.177095070278023""]"
Chrysantenveld,"[""50.983889605284446"", ""4.172678029213712""]"
Coenstraat,"[""50.97918142026574"", ""4.156080315649759""]"
Costershof,"[""50.96911169089195"", ""4.18371688158072""]"
Cravaal,"[""FOUT, geen straat gevonden""]"
Dageraadweg,"[""50.96682"", ""4.1625901""]"
De Vlaamse Staak,"[""50.97171101149279"", ""4.150135538051407""]"
Den Bogaard,"[""50.9657183730438"", ""4.187840507575346""]"
Diepenbroek,"[""50.96161413235893"", ""4.177374194979603""]"
Doortstraat,"[""50.9764635"", ""4.19295""]"
Dorp,"[""50.94289593276399"", ""4.172414420251014""]"
Dorpssteeg,"[""FOUT, geen straat gevonden""]"
Dries,"[""50.941662269066335"", ""4.175827524620797""]"
Droeshoutstraat,"[""50.95760540285755"", ""4.17757307331441""]"
Eeksken,"[""50.98797590966934"", ""4.167854326882284""]"
Esp,"[""50.97129575208926"", ""4.181231461503046""]"
Eyckstraat,"[""50.96620585105426"", ""4.221826776884433""]"
Fabriekstraat,"[""50.9714405"", ""4.1902""]"
Foksveldstraat,"[""50.976073912683816"", ""4.1847679227478105""]"
Gasthuisstraat,"[""50.96829015"", ""4.1916253999999995""]"
Gildelaan,"[""50.94314358602406"", ""4.173580381205043""]"
Graanakker,"[""50.97385075175295"", ""4.180801732983852""]"
