Straat,Coordinaten
Aastraat,"[""51.35343104076842"", ""4.9875086715208505""]"
Albert Sohiestraat,"[""51.32223910969631"", ""4.983192295163126""]"
Alois Peetersstraat,"[""51.31908263777971"", ""4.990090512765284""]"
Ambachtstraat,"[""51.32587357001553"", ""4.96875976859796""]"
Appelstraat,"[""51.31390565873653"", ""4.981136895855397""]"
Arendonkse Liniedijk,"[""51.34188560275144"", ""5.033710934368382""]"
Arselt,"[""51.299528263064886"", ""5.031366643448901""]"
Augustijnenstraat,"[""51.31039296756576"", ""4.9928746567648""]"
Begijnenhoefstraat,"[""51.319030539519716"", ""5.004879884243024""]"
Bemdstraatje,"[""51.3387044"", ""4.98498719081855""]"
Bergstraat,"[""51.324059322845436"", ""5.005261411913106""]"
Berkendreef,"[""51.31603493117567"", ""5.023461789743727""]"
Beukenlaan,"[""51.31285685"", ""5.0207466""]"
Beukennotendreef,"[""51.34647250770686"", ""4.982472364097817""]"
Beyntel,"[""51.32576276642281"", ""4.970874964052262""]"
Beyntellus,"[""51.32722160411523"", ""4.9727006362202""]"
Beyntelpad,"[""FOUT, geen straat gevonden""]"
Biesveld,"[""51.317743510624545"", ""5.012531103469469""]"
Bietenstraat,"[""51.31472886908305"", ""4.98589658332496""]"
Binnenheide,"[""51.2985187"", ""5.0269469""]"
Blekerijstraat,"[""51.320798"", ""4.97054""]"
Blijkerstraat,"[""51.30384030397422"", ""5.0070357297509585""]"
Bloesemstraat,"[""51.31397529860103"", ""4.9836144761221775""]"
Boomgaardstraat,"[""51.30963170690542"", ""4.9788137488192135""]"
Bosdreef,"[""51.30421043872943"", ""5.010622269507256""]"
Bosduivenlaan,"[""51.31373645"", ""5.027892""]"
Bosrand,"[""51.3117072"", ""5.00956825""]"
Bramenpad,"[""51.31392475"", ""4.9822381""]"
Broederspleinpad,"[""51.325902264244995"", ""5.001150599545101""]"
Brooseinde,"[""51.317113002360145"", ""4.992546540978712""]"
Brouwerstraat,"[""51.32019689258651"", ""4.978811934900046""]"
Bruno'sstraat,"[""51.33190145566974"", ""4.990112248861597""]"
Buizerdweg,"[""51.322078000000005"", ""5.02290575""]"
Burg. Luytenstraat,"[""51.309980319945026"", ""4.979943535292302""]"
Burg. Van Loonstraat,"[""51.341219572622094"", ""4.974265566772169""]"
Corn. Mertenslaan,"[""51.31687991928913"", ""4.969124664053105""]"
Corsendonk,"[""51.28826018593965"", ""5.006938880547285""]"
Corsendonkse Dreef,"[""51.299866381222955"", ""5.014783208777044""]"
De Blokken,"[""51.32301603711464"", ""4.986115910814433""]"
De Brembergh Dreve,"[""51.32417051180617"", ""4.990586561090875""]"
De Hoogt,"[""51.3266182"", ""4.9754648""]"
