Straat,Coordinaten
's Gravenmolenpad,"[""51.18354405139069"", ""3.0135930255280985""]"
't Hogepad,"[""51.183395760482604"", ""2.9978087991240865""]"
Abdijlaan,"[""51.1861895"", ""3.01356247166065""]"
Aernoudstraat,"[""51.180000171303064"", ""3.014045029355852""]"
Akkerstraat,"[""51.18518932849868"", ""2.9955409351391316""]"
Anjelierenstraat,"[""51.18460807674279"", ""3.0177367382631073""]"
Baarsstraat,"[""51.18833895"", ""3.00359625""]"
Bargeweg,"[""51.18688725184193"", ""2.995854480630787""]"
Bekestraat,"[""51.18015855883936"", ""3.009948800553775""]"
Berkenlaan,"[""51.16358428180308"", ""3.0097561621587388""]"
Bilkstraat,"[""51.1853236"", ""2.9966377499999997""]"
Blekerijstraat,"[""51.163995206204156"", ""3.014536117755731""]"
Bloemenlaan,"[""51.18474962159268"", ""3.0189199694808946""]"
Boljewistenplein,"[""FOUT, geen straat gevonden""]"
Bourgognestraat,"[""51.151080842980626"", ""3.0227210177266706""]"
Bredevoorde,"[""51.193511617992854"", ""2.9838398391284233""]"
Bredeweghe,"[""51.191564867388294"", ""2.9892004345590197""]"
Bremstraat,"[""51.17626325"", ""3.04029245""]"
Brouwerijstraat,"[""51.183773099999996"", ""3.0009765""]"
Brugsesteenweg,"[""51.167099932052096"", ""3.0264012400040237""]"
Burgstraat,"[""51.18330799536003"", ""3.000412075632339""]"
Caelfstraat,"[""51.1947045"", ""2.9842667""]"
Castellumstraat,"[""51.18524620855531"", ""3.0050453660804894""]"
Chrysantenpad,"[""FOUT, geen straat gevonden""]"
Clemensheulestraat,"[""51.22255580938003"", ""3.0089551021707224""]"
Cono van Einelaan,"[""51.1856266"", ""3.01210535""]"
Cotidianenstraat,"[""51.20485268940923"", ""3.0221417351758304""]"
Cottemweg,"[""51.19185206666834"", ""3.007950759976458""]"
Couterhoekpad,"[""51.17662024035287"", ""3.039515780282383""]"
Cyriel Astaesstraat,"[""51.16664240152654"", ""3.012179525624687""]"
Dahliastraat,"[""51.185517950000005"", ""3.0157837""]"
Demoniemolenstraat,"[""51.1815792385145"", ""3.025955140521676""]"
Dietkirchenpad,"[""51.18427160230995"", ""3.003486039914646""]"
Dispad,"[""51.162328349999996"", ""3.00717005""]"
Dobberpad,"[""FOUT, geen straat gevonden""]"
Doornhoek,"[""FOUT, geen straat gevonden""]"
Dorpsbeekpad,"[""FOUT, geen straat gevonden""]"
Dorpsstraat,"[""51.1787517"", ""3.0324979499999998""]"
Duinenweg,"[""FOUT, straat in foute gemeente gevonden""]"
Eendenstraat,"[""51.19041858424405"", ""2.996959998839383""]"
Eernegemsestraat,"[""51.15090655"", ""3.0239014500000003""]"
Eikenlaan,"[""51.16254150939405"", ""3.009816183410448""]"
Elzenbroek,"[""51.18250407863386"", ""3.0114135433169094""]"
Essenlaan,"[""51.18639015"", ""3.0166348999999997""]"
Essenthoplein,"[""51.178498114767386"", ""3.0336185239224305""]"
Ettelgemsestraat,"[""51.18438856443781"", ""3.0108158096840416""]"
Felixplein,"[""51.170424586459646"", ""3.031670175369824""]"
Ganzenstraat,"[""51.19014017016959"", ""2.99803240012586""]"
Garnaalstraat,"[""51.190946350000004"", ""3.0039569""]"
Geleedstraat,"[""51.187565686404945"", ""2.9684031591235245""]"
