Straat,Coordinaten
Aerebeekstraat,"[50.72817605946926, 4.038447501225321]"
Altenberge Plein,"[50.79395438666314, 4.118599284462224]"
Asseveldstraat,"[50.757468678960855, 4.1001181075290605]"
Aubrakendries,"[50.73031102426693, 4.02886066818602]"
Avondvrede,"[50.760652647182525, 3.9740627970498457]"
Bakkerstraat,"[50.75918637208876, 4.021522569233785]"
Ballingsstraat,"[50.76495937261412, 4.02259252191395]"
Barakkenbergstraat,"[50.728545187893985, 4.084684087449543]"
Barakkendries,"[50.710904903770384, 4.032296993097029]"
Beekstraat,"[50.75954842235029, 4.025758258225895]"
Beeldekensstraat,"[50.73358312794578, 4.080307213602505]"
Begijnhofstraat,"[50.73690222735645, 4.005743296553283]"
Bekeveldstraat,"[50.756367560917916, 4.066190025448318]"
Berg Van Eynde,"[50.7541194, 3.9535539]"
Bergenbroekstraat,"[50.80011130248426, 4.095731384044891]"
Berghomstraat,"[50.76902284682769, 4.101319708406473]"
Bergstraat,"[50.75217777802367, 3.9678456897959107]"
Bertelbeek,"[50.74734495, 3.97099225]"
Bettestraat,"[50.80908681513644, 4.078381172835037]"
Beukenlaan,"[50.76731080044945, 4.02203176750909]"
Beverstraat,"[50.70926798484165, 3.974901982089979]"
Blijkheerstraat,"[50.77440241557355, 4.046705444226148]"
Bloemendaelstraat,"[50.735554598471026, 4.028501319431235]"
Blokstraat,"[50.791977847855094, 4.107242447888869]"
Boesmolenstraat,"[50.734584737360876, 4.025160537913689]"
Bollekesweg,"[""FOUT, geen straat gevonden""]"
Bolwerkstraat,"[50.754593333591075, 3.9688467450299862]"
Bontestraat,"[50.7553516, 4.0574772]"
Boomgaardstraat,"[50.78108238643565, 4.04882198060776]"
Bosstraat,"[50.75555951526592, 3.939789746384956]"
Boulevardstraat,"[""FOUT, geen straat gevonden""]"
Breedveldstraat,"[50.78497019726454, 4.10358689309452]"
Breemstraat,"[50.724262, 4.0136814]"
Brikstraat,"[50.709457123218876, 3.9948153873221357]"
Broekstraat,"[50.71118740005433, 4.067328986451757]"
Bronnenweg,"[50.79439527417106, 4.118889525579651]"
Bruinsbroekstraat,"[50.7676784561495, 3.9512745110859124]"
Bruneaustraat,"[50.76400265770053, 4.119187018206286]"
Brusselstraat,"[50.753602570735524, 3.974265935169066]"
Burgemeester De Leenerstraat,"[50.77802598958376, 4.12171400419137]"
Cache Debacker,"[50.692130802713145, 3.97088654701722]"
Cardoenlaan,"[50.75542679546393, 3.973985377195778]"
Carlierhoeve,"[50.73915597872805, 4.001374814182867]"
Centrum,"[50.72465373784014, 4.029942293816293]"
Condijstraat,"[50.77545406819497, 4.0785717721696155]"
Congobergstraat,"[50.77154727748836, 3.998760196244711]"
Coppenslaan,"[50.763104831076845, 4.023265715140974]"
Crijnemstraat,"[50.75677680872761, 4.0089713356452785]"
Cypriaan Verhavertstraat,"[50.7657852461183, 4.114118884372127]"
Daalstraat,"[50.76824601010178, 4.088331808661675]"
Daelstraat,"[50.70957487778864, 4.0267095876302035]"
Dagwandenbaan,"[""FOUT, geen straat gevonden""]"
Damstraat,"[50.763618318932046, 3.976503005638053]"
De Ham,"[50.763500256307026, 4.116429956018774]"
De Motte,"[50.752357847739546, 4.056993660147687]"
De Roen,"[50.740473398962045, 3.964106337662057]"
Donkerstraat,"[50.70254355946509, 4.0033591429719495]"
Dorekensstraat,"[50.773991846223545, 3.951641127783865]"
Dorpsstraat,"[50.79602026358133, 4.11242307961907]"
Dreefstraat,"[50.8044807, 4.12194705]"
Drie Egyptenbaan,"[50.80630087287259, 4.092406041029965]"
Driekapellenstraat,"[50.70595162490997, 3.985485702935807]"
Driesweg,"[50.758561084350056, 3.944565677896303]"
