Straat,Coordinaten
Aardstraat,"[""51.15584801306431"", ""5.5265369313015675""]"
Acacialaan,"[""51.1357821448013"", ""5.398072297177798""]"
Achelmansstraat,"[""51.11566540482509"", ""5.41606489940908""]"
Achterstraat,"[""51.107088250000004"", ""5.4194231""]"
Achtzalighedenstraat,"[""51.12967532433516"", ""5.406257166557173""]"
Albertus Morrenstraat,"[""51.1356601449695"", ""5.464105095782862""]"
Ambachtslaan,"[""51.13331674161993"", ""5.4672527050896935""]"
Anjerlaan,"[""51.14258507138002"", ""5.469648752744303""]"
Apotheker Hendrixstraat,"[""51.1294836500853"", ""5.450627416998598""]"
Armand Preud'hommeplein,"[""51.13217815"", ""5.45094375""]"
Azalealaan,"[""51.142471400000005"", ""5.468279757642761""]"
Baan naar Bree,"[""51.13572681745428"", ""5.505794788903062""]"
Baan naar Helchteren,"[""51.077456600000005"", ""5.4423551""]"
Barreelstraat,"[""51.133534608427475"", ""5.402880159976548""]"
Beckershofweg,"[""51.147607173210815"", ""5.528395070302506""]"
Bedrijfsstraat,"[""51.13616005121644"", ""5.50676145815003""]"
Bergskenstraat,"[""51.11155647340806"", ""5.459541345888865""]"
Beukenbosstraat,"[""51.12937677666763"", ""5.46311424442873""]"
Binnenhofweg,"[""51.15296024027861"", ""5.505853863846719""]"
Blauwe Kielsteegje,"[""FOUT, geen straat gevonden""]"
Blekerijsteeg,"[""51.131481809551566"", ""5.453933085997665""]"
Blijlever,"[""51.13566839123566"", ""5.424746446656808""]"
Bocholterweg,"[""51.15520163653941"", ""5.5109820804665945""]"
Boekweitveld,"[""51.14973487383041"", ""5.503862408162829""]"
Bokterstraat,"[""51.1363383"", ""5.45374""]"
Bollisstraat,"[""51.134927069988365"", ""5.411967159014399""]"
Bomerstraat,"[""51.13045911108188"", ""5.4455620920532795""]"
Bosbeemdstraat,"[""51.12659307805914"", ""5.467268442821178""]"
Boshoeve,"[""51.151739484461466"", ""5.512923495220891""]"
Bosschel,"[""51.088058047154476"", ""5.451842687093364""]"
Bosstraat,"[""51.18093142035888"", ""5.458457903086899""]"
Bovenlinde,"[""51.0775226"", ""5.4429486""]"
Bovenmeel,"[""51.13297120657907"", ""5.4638203666475675""]"
Bovenstestraat,"[""51.12291030013237"", ""5.428376892869875""]"
Braamsnijdersstraat,"[""51.15085664375495"", ""5.508037195898848""]"
Bremstraat,"[""51.158485999999996"", ""5.509982753237826""]"
Brigittaplein,"[""51.17158025181938"", ""5.449577104887068""]"
Broekkantstraat,"[""51.154650281286436"", ""5.501072878271729""]"
Broekstraat,"[""51.11412731363584"", ""5.454306956255861""]"
Brouwershof,"[""51.133428300000006"", ""5.4538262500000005""]"
Bunderstraat,"[""FOUT, geen straat gevonden""]"
Burgemeester Dupontplein,"[""51.13261248409408"", ""5.442429070622352""]"
Burgemeester Esserslaan,"[""51.176732787610206"", ""5.4542274261117765""]"
Burgemeester Schrijversstraat,"[""51.13647095"", ""5.448579945935298""]"
Burgemeester Voetslaan,"[""51.17105905"", ""5.4495199""]"
Burkel,"[""51.13100310695397"", ""5.458865100979433""]"
Coenenhofweg,"[""51.13820836935739"", ""5.511912237206528""]"
Collegelaan,"[""51.13438650476079"", ""5.460282378748845""]"
Cremerdijk,"[""51.09769612784014"", ""5.450748523366529""]"
Cromsstraat,"[""51.09569284384216"", ""5.442591115010306""]"
Croxdijk,"[""FOUT, geen straat gevonden""]"
De Bogaerd,"[""51.13182845"", ""5.456685704631761""]"
Dennenstraat,"[""51.184078900316294"", ""5.458105776037676""]"
Deusterstraat,"[""51.1171757"", ""5.4928162""]"
Diestersedijk,"[""51.11705461266648"", ""5.397014733611075""]"
Dieweg,"[""51.10253486658096"", ""5.42996848667143""]"
Dijkerstraat,"[""51.133908950000006"", ""5.4285697""]"
Dillestraat,"[""51.0858002597378"", ""5.46701392465894""]"
Dokter Vanderdonckstraat,"[""51.13346715"", ""5.448205850000001""]"
Dommellaan,"[""51.179547134490136"", ""5.443718808790254""]"
Donkshofweg,"[""51.14998189480994"", ""5.532918443151916""]"
Dorpsstraat,"[""51.15393041830375"", ""5.504916276176522""]"
Driehoevenstraat,"[""51.124228900378746"", ""5.422288482763367""]"
Driekoningenplein,"[""51.0977604104671"", ""5.44482688599758""]"
Drieskenshofweg,"[""51.1536290731527"", ""5.493911092761314""]"
Drossaardplein,"[""51.13161405"", ""5.454709""]"
Eggebekstraat,"[""51.12877249734886"", ""5.419802708039942""]"
Eikenbosstraat,"[""51.12814993129215"", ""5.464799578258309""]"
Eilandsweg,"[""51.152740050000006"", ""5.5043742""]"
Ekselsebaan,"[""51.17103321874215"", ""5.44813981635112""]"
Ellikommerdijk,"[""51.1248249"", ""5.5114358""]"
Elsevaart,"[""51.10085975"", ""5.40770605""]"
Elvenweg,"[""51.16902569754968"", ""5.524772821906226""]"
Erfkensstraat,"[""51.09496527135259"", ""5.43499379426284""]"
Erpekommerweg,"[""51.125030777104186"", ""5.493993942380028""]"
