Straat,Coordinaten
't Weike,"[""51.20840931128405"", ""5.412808965248962""]"
A Lapidestraat,"[""51.21519087371833"", ""5.428853545833922""]"
Aambeeldstraat,"[""51.227079700000004"", ""5.39100875""]"
Aangelag,"[""51.23101943831658"", ""5.4498841349653375""]"
Acaciastraat,"[""51.22332771925554"", ""5.44570174256862""]"
Achelsendijk,"[""51.24579771180291"", ""5.442211658071764""]"
Achter de Heuf,"[""51.210662781479144"", ""5.420988707606705""]"
Akkerstraat,"[""51.20578264501801"", ""5.429966980191728""]"
Albert Quintinlaan,"[""51.22421898049616"", ""5.382226457128648""]"
Amandusstraat,"[""51.24733551737903"", ""5.440061280166936""]"
Ambachtsstraat,"[""51.20860546772086"", ""5.422243342266124""]"
Anjerstraat,"[""51.22523404673003"", ""5.454114634542495""]"
Ankerweg,"[""51.23063484091415"", ""5.440346341479231""]"
Appelboomstraat,"[""51.22777945"", ""5.4537328""]"
Astridlaan,"[""51.215068160113304"", ""5.374997720415075""]"
Atalantaweg,"[""51.209044246706156"", ""5.43344231079191""]"
Azalealaan,"[""51.22284671867329"", ""5.4472295453271835""]"
Bakenhofweg,"[""51.19535390773558"", ""5.405508884886405""]"
Bakkersstraatje,"[""51.24543010698151"", ""5.437721572870716""]"
Ballaststraat,"[""51.19492339631951"", ""5.427929534331198""]"
Beekstraat,"[""51.20921101805745"", ""5.401856121867429""]"
Beemdstraat,"[""51.22989556842097"", ""5.490985968240225""]"
Begijnenbroek,"[""51.214731139707524"", ""5.432241546281793""]"
Begonialaan,"[""51.226626930489545"", ""5.454572767531553""]"
Bemvaartstraat,"[""51.21345093136962"", ""5.431760159588696""]"
Bergeiksendijk,"[""51.239630453572694"", ""5.416464513121638""]"
Bergeykseweg,"[""51.229037864718464"", ""5.416639622915981""]"
Berghei,"[""51.218498898539195"", ""5.502600567944341""]"
Berkenlaan,"[""51.232131392593566"", ""5.403013934882199""]"
Bermstraat,"[""51.232688334323"", ""5.430251799526146""]"
Bettebos,"[""51.20105605"", ""5.44628115""]"
Bettemiserf,"[""51.20093452345874"", ""5.44210634096188""]"
Bettemishoeve,"[""51.20152721974196"", ""5.442542997034018""]"
Beugelstraat,"[""51.18663081919861"", ""5.405297261188246""]"
Beukenlaan,"[""51.21650869183028"", ""5.443827984480237""]"
Bevrijdingsweg,"[""51.23705201931943"", ""5.440803079165242""]"
Bienderstraat,"[""51.23899767335721"", ""5.4637398659694005""]"
Biezenweg,"[""51.22567986823359"", ""5.438836494233078""]"
Bikkelstraat,"[""51.18874128381688"", ""5.406484660984511""]"
Binnenweg,"[""51.2451345399419"", ""5.4443794398924314""]"
Blaasstraat,"[""51.19507251620591"", ""5.410283114090599""]"
Bleekveldstraat,"[""51.205326491276416"", ""5.433469606637082""]"
Bloesemstraat,"[""51.2310155"", ""5.44783325""]"
Boegstraat,"[""51.231083033796786"", ""5.440928208408582""]"
Boekweitstraat,"[""51.21818094996158"", ""5.423232125494432""]"
Boelehoef,"[""51.244140010203886"", ""5.445359601250081""]"
Boelenstraat,"[""51.20681891759667"", ""5.420675873587494""]"
Boemerangstraat,"[""51.191687088348985"", ""5.389203111094169""]"
Boerenkrijgstraat,"[""51.18928427242973"", ""5.391907294195265""]"
Bokkerijdersweg,"[""51.19150885"", ""5.3922609999999995""]"
Bolakkerstraat,"[""51.20393903673965"", ""5.410935768142134""]"
Bolknak,"[""51.20513965"", ""5.4172114""]"
Boomgaardstraat,"[""51.23241145"", ""5.4329236000000005""]"
Boonskuilstraat,"[""51.23137432711774"", ""5.4383083084302175""]"
Bosbessenlaan,"[""51.223649747622154"", ""5.448772967760969""]"
Boseind,"[""51.2204436"", ""5.4439066""]"
Boskantstraat,"[""51.22334698011535"", ""5.442993818020495""]"
Bosstraat,"[""51.19318605"", ""5.37029595""]"
Bosuilstraat,"[""51.22409182411128"", ""5.494666887820023""]"
Bosvlinderstraat,"[""51.217799664167806"", ""5.440272854925553""]"
Breugelweg,"[""51.185568142835464"", ""5.431104884893521""]"
Broekkant,"[""51.22931122027128"", ""5.498369747351826""]"
Broekstraat,"[""51.22291429012199"", ""5.43228039316149""]"
Broeseinderdijk,"[""51.23738620273468"", ""5.4274635311272155""]"
Broesveldstraat,"[""51.239351828225914"", ""5.427287536967845""]"
Bronweg,"[""51.196887731756824"", ""5.393640372030899""]"
Brouwersstraat,"[""51.22916424018302"", ""5.427821801333769""]"
Buizerdstraat,"[""51.25446825"", ""5.4290869""]"
Buntgrasstraat,"[""51.211505970013235"", ""5.381053059372457""]"
Burgemeester Laenenstraat,"[""51.213263294684786"", ""5.417905377141885""]"
Burgemeester Missottenstraat,"[""51.21321290321323"", ""5.421725872880757""]"
Burgemeester Smetsstraat,"[""51.21131755"", ""5.42028365""]"
Burgemeester Valentijnsstraat,"[""51.2122486145841"", ""5.420451393733893""]"
Burgemeester Van Gaalstraat,"[""51.2121451"", ""5.421383949999999""]"
Burgemeester Van Lindtstraat,"[""51.213605090253665"", ""5.420243696917363""]"
Cederlaan,"[""51.21702108146964"", ""5.44808328655145""]"
Cijnsweg,"[""51.214188878120765"", ""5.428975055580801""]"
Citroenvlinderstraat,"[""51.20828728715785"", ""5.4331355160519195""]"
Clercxhoevestraat,"[""51.23026763290777"", ""5.436702988664421""]"
Dahliastraat,"[""51.206219474602236"", ""5.369757330318983""]"
Dalakkerstraat,"[""51.2016703257645"", ""5.430067454315845""]"
Damsheide,"[""51.23450767852786"", ""5.460818221857701""]"
De Beerten,"[""51.23716066690508"", ""5.485215417735638""]"
De Bemmert,"[""51.216754307155384"", ""5.444828500749209""]"
De Hagen,"[""51.25436379413726"", ""5.431300926079808""]"
De Heuf,"[""51.2119729"", ""5.42278245""]"
De Kentings,"[""51.22071831230521"", ""5.444603798413506""]"
De Koel,"[""51.218511775872045"", ""5.428903149773285""]"
De Nulenstraat,"[""51.2327421583625"", ""5.470385464784968""]"
De Roosen,"[""51.214347162035395"", ""5.451039082643955""]"
De Vaart,"[""51.227754375943114"", ""5.484796074351264""]"
De Vakschool,"[""FOUT, geen straat gevonden""]"
De Vrundenweg,"[""51.203887826733244"", ""5.4535576868402975""]"
De Zandberg,"[""51.2310937"", ""5.4369060000000005""]"
Den Akker,"[""51.2273530395336"", ""5.437035612178226""]"
Dennenstraat,"[""51.22740728767876"", ""5.407813878785519""]"
Dijkstraat,"[""51.201950320889594"", ""5.441653468563299""]"
Distelstraat,"[""51.22936650591648"", ""5.446632058014198""]"
Dommelhoflaan,"[""51.231347952507676"", ""5.425734786272929""]"
