Straat,Coordinaten
Aarschotbaan,"[""51.08054804429546"", ""4.673342944448854""]"
Abeelenhoekpad,"[""51.054494864422814"", ""4.608789966987575""]"
Abeelstraat,"[""51.047975033966516"", ""4.604322899551659""]"
Acaciavelden,"[""51.0605087950788"", ""4.624109753532525""]"
Acaciaweg,"[""51.060761954981345"", ""4.623431671127244""]"
Albert Gysbrechtsstraat,"[""51.055355393994326"", ""4.668342285952423""]"
Alice Nahonstraat,"[""51.05616295476183"", ""4.629818167515149""]"
Apolloniaweg,"[""51.0382154980655"", ""4.595579052821151""]"
Apothekerspad,"[""51.06321380910677"", ""4.669646947221119""]"
Astridlaan,"[""51.05204571019678"", ""4.631945009534235""]"
August Van Eyckdreef,"[""51.02252904601676"", ""4.647854088826374""]"
Augustijnenlei,"[""51.05326531768551"", ""4.652088861719856""]"
Bakkerijweg,"[""51.03708674575133"", ""4.5863708151530025""]"
Balveldstraat,"[""51.06016160134066"", ""4.66741291481437""]"
Bareelstraat,"[""51.053407677059774"", ""4.668496921321724""]"
Beekstraat,"[""51.048340086313004"", ""4.59606038155038""]"
Beemortelpad,"[""51.02482931539369"", ""4.650528959178819""]"
Beerzelhof,"[""51.06443765124097"", ""4.676747643800359""]"
Beerzelplein,"[""51.05717667493508"", ""4.671617351046615""]"
Beerzelstraat,"[""51.050044564751985"", ""4.676996476572057""]"
Berglaan,"[""51.06437514079745"", ""4.681238488850606""]"
Bergstraatje,"[""51.05881700113109"", ""4.6715641294591475""]"
Berkenlei,"[""51.02662851442922"", ""4.655060064254994""]"
Berkenstraat,"[""51.064837178398"", ""4.665117338638514""]"
Berlaarbaan,"[""51.07303865"", ""4.655915650000001""]"
Berthoutstraat,"[""51.02658319898723"", ""4.641171765024143""]"
Beukenstraat,"[""51.0500738"", ""4.6153831499999995""]"
Beversluisweg,"[""51.02313357207259"", ""4.65826011447662""]"
Beverweg,"[""51.02304456705616"", ""4.674452204670068""]"
Biezenstraat,"[""51.052762850659335"", ""4.6727896847757835""]"
Biezenvelden,"[""51.054445831556414"", ""4.672104331218177""]"
Bijenstraat,"[""51.05925222135389"", ""4.659829679779161""]"
Binnenweg,"[""51.05648142315901"", ""4.667765354073312""]"
Bloemenweg,"[""51.0568806"", ""4.62544575""]"
Bogaardenstraat,"[""51.06093746860964"", ""4.682231472714684""]"
Bogaertslaan,"[""51.052956474007466"", ""4.633652416834496""]"
Booischotbaan,"[""FOUT, straat in foute gemeente gevonden""]"
Borgstraat,"[""51.06359317730127"", ""4.673332789258673""]"
Bossevelden,"[""51.06266423880085"", ""4.657760177798365""]"
Bosstraat,"[""51.06220945460214"", ""4.6616501586983095""]"
Bosweg,"[""51.3668159"", ""4.394404041523673""]"
Boterhoek,"[""51.061273870658276"", ""4.6499002243849175""]"
Brandleike,"[""51.05921724526723"", ""4.632459670005457""]"
Brandstraat,"[""51.0260738678438"", ""4.634307213403577""]"
Bredestraat,"[""51.06897812312982"", ""4.648387841604686""]"
Bremweg,"[""51.02799905941984"", ""4.658309281981929""]"
Broekstraat,"[""51.07541148829331"", ""4.667658257274087""]"
Brouwershof,"[""51.05428119428621"", ""4.674889371367502""]"
Bunderpad,"[""51.0433361"", ""4.643667949999999""]"
Bunkerpad,"[""51.03597181314749"", ""4.572164300887446""]"
Cardijnlaan,"[""51.05327471844754"", ""4.632183828949327""]"
Carolushof,"[""51.059432452552834"", ""4.63118739237504""]"
Clemensstraat,"[""51.0638641"", ""4.6287453""]"
Corsicastraat,"[""51.076874719647634"", ""4.668047758219037""]"
Daliastraat,"[""51.05882343860381"", ""4.6230178907425135""]"
De Boefkens,"[""51.0744266"", ""4.6209626""]"
De Bunders,"[""51.0416326"", ""4.6118715""]"
De Hinde,"[""51.06402698258012"", ""4.6555955542054965""]"
De Preterij,"[""51.0427584256146"", ""4.652314106777531""]"
Dennenlaan,"[""51.367632589373166"", ""4.399258299010257""]"
Diepestraat,"[""51.06050657544568"", ""4.669863930968216""]"
Dokter Cornilstraat,"[""51.0392060719264"", ""4.577290936657112""]"
Dokter Laenenstraat,"[""51.05784602230883"", ""4.623277439138563""]"
Draplei,"[""51.0815047"", ""4.6162668""]"
Draspad,"[""51.03729601262127"", ""4.581579949940597""]"
Driesstraat,"[""51.06225794542942"", ""4.653264864850916""]"
Duivenstraat,"[""51.05767299264718"", ""4.664861558989236""]"
Eekhoornweg,"[""51.02284864126399"", ""4.671139224286924""]"
