Straat,Coordinaten
A. Coolsstraat,"[""51.07339605"", ""4.282723422736215""]"
A. Meersmansdreef,"[""51.070120327387976"", ""4.305955370225824""]"
A. Tersagostraat,"[""51.07861352218084"", ""4.277011903881698""]"
Abeelestraat,"[""51.05972345"", ""4.2191130999999995""]"
Achterheide,"[""51.055465615366074"", ""4.261361063973104""]"
Achterhoefweg,"[""51.08135142037262"", ""4.326921051618835""]"
Alfons De Saegherstraat,"[""51.05741984619599"", ""4.275610968871505""]"
Alfons Piessensstraat,"[""51.053039040575115"", ""4.274610175790514""]"
Anjerlaan,"[""51.047016748026536"", ""4.323815304109192""]"
Arthur Borghijsstraat,"[""51.07850188681148"", ""4.3266243286308885""]"
Aspergevelden,"[""51.0719057"", ""4.296705742475037""]"
Aspot,"[""51.06322090327034"", ""4.303041976640755""]"
Azaleahof,"[""51.04713757918441"", ""4.32657108206171""]"
Baroniestraat,"[""51.06542781257986"", ""4.2432009585263595""]"
Baukel,"[""FOUT, geen straat gevonden""]"
Beemdstraat,"[""51.08452221527171"", ""4.321185740070993""]"
Beenhouwerstraat,"[""51.04313266344138"", ""4.322239949475873""]"
Begijnhofstraat,"[""51.07573005069095"", ""4.274613475303751""]"
Begonialaan,"[""51.076690593827344"", ""4.322720901385033""]"
Beiaardhof,"[""FOUT, geen straat gevonden""]"
Berkenkant,"[""51.071456100000006"", ""4.30557325""]"
Bessemstraat,"[""51.02976936245852"", ""4.3224668742444035""]"
Bieshuizen,"[""51.06365805"", ""4.2412715""]"
Bloemenlaan,"[""51.04837163634424"", ""4.210236871070735""]"
Bloemhof,"[""51.0858585"", ""4.3344775""]"
Boonhof,"[""51.04388409686757"", ""4.2087831732741865""]"
Borgstraat,"[""51.05277315"", ""4.2059051""]"
Bosdreef,"[""51.078128577875965"", ""4.281910444241893""]"
Bosweg,"[""51.06332865377821"", ""4.240054825406384""]"
Botermarkt,"[""51.07614248767337"", ""4.276172133416986""]"
Boudewijnhof,"[""51.07198905855699"", ""4.278233948178722""]"
Brabantstraat,"[""51.064420456662916"", ""4.322415107192179""]"
Branderveld,"[""51.07011641147007"", ""4.2758458259112695""]"
Brandstraat,"[""51.06918978678141"", ""4.277259644597755""]"
Breendonk-Dorp,"[""51.042472661665684"", ""4.325994692043395""]"
Breutheide,"[""51.041986165708956"", ""4.24065153163897""]"
Broekstraat,"[""51.04220632481733"", ""4.262984433520467""]"
Brouwersstraat,"[""51.05414541235516"", ""4.208841066191296""]"
Buisstraat,"[""51.05554357346165"", ""4.2076858166229485""]"
Buitenveld,"[""51.0503566"", ""4.2113283500000005""]"
Bundersgracht,"[""51.048604813741896"", ""4.21109215237721""]"
Calleboutstraat,"[""51.044464857210194"", ""4.20839317794126""]"
Coolhemdreef,"[""51.073239595596355"", ""4.3061045444511326""]"
Coolhemstraat,"[""51.07369985"", ""4.30350655""]"
Coolhemveldstraat,"[""51.072185170915745"", ""4.3000070343267405""]"
Dahlialaan,"[""51.0471147950583"", ""4.325798962351982""]"
Dam,"[""51.05225544400551"", ""4.20150175170566""]"
Dendermondsesteenweg,"[""51.05825695319432"", ""4.330163223713191""]"
Doelstraat,"[""51.044135280381205"", ""4.263053267221101""]"
Donkstraat,"[""51.092901265972145"", ""4.319899427389722""]"
Dorekensstraat,"[""51.042612760646556"", ""4.220215207532748""]"
Dorpshart,"[""51.07614976062318"", ""4.278931188277133""]"
Dr.F. De Wachterlaan,"[""51.08040707905335"", ""4.332565865326308""]"
Dullaard,"[""51.0702862"", ""4.2771782499999995""]"
Eeuwfeeststraat,"[""51.07462458039833"", ""4.281420769958298""]"
Eigenaarstraat,"[""51.056618840882926"", ""4.33053150387797""]"
Eikerlandstraat,"[""51.076398473918495"", ""4.332199784453299""]"
Eikevlietbaan,"[""51.081733840050624"", ""4.287482920584853""]"
Eikse Amer,"[""51.08561672216798"", ""4.307948069436984""]"
Emile Verhaerenstraat,"[""51.05810369281726"", ""4.2024634883867895""]"
Emmanuel Rollierstraat,"[""51.05562285130768"", ""4.204415580979527""]"
Engelse hoek,"[""51.09191849568393"", ""4.323802217965884""]"
Esdoorndreef,"[""51.057127428135814"", ""4.270785722442683""]"
Essendries,"[""51.06231350491215"", ""4.3015018584038485""]"
Europastraat,"[""51.073937348523785"", ""4.2819853925336036""]"
F. De Bondtstraat,"[""51.07724551772302"", ""4.280591582783855""]"
Fabiolapark,"[""51.071377167716925"", ""4.2945626069078715""]"
Fierkensstraat,"[""51.0475710826142"", ""4.218128523686716""]"
Flierke,"[""51.077758781846676"", ""4.285303163244518""]"
Fok,"[""51.0370531331714"", ""4.212792920579459""]"
Fortbaan,"[""51.069189"", ""4.2792110999999995""]"
Forum,"[""51.07456698696151"", ""4.274293223164356""]"
