Straat,Coordinaten
Aarle,"[""51.47875602535046"", ""5.022051954046324""]"
Aarledijk,"[""51.45853295"", ""5.0298377""]"
Achterlaar,"[""51.41450834707581"", ""4.985028351123311""]"
Akkerstraat,"[""FOUT, geen straat gevonden""]"
Arendonksesteenweg,"[""51.3871094"", ""5.0147314""]"
Baetenheide,"[""51.421397443812985"", ""4.983374508731566""]"
Beatrijs van Nazarethlaan,"[""51.445248269008616"", ""5.040678016855201""]"
Beekseweg,"[""51.47015661713953"", ""5.076277877590986""]"
Berkenlaan,"[""51.3654137"", ""4.9917061""]"
Beukenlaan,"[""51.45053242306815"", ""5.0276822439854945""]"
Bigalstraat,"[""51.38006609123178"", ""5.00558560589647""]"
Blauwe Kei,"[""51.37766106317984"", ""4.981173360645406""]"
Boomgaardstraat,"[""51.361516612912766"", ""4.988330342081955""]"
Bosduifstraat,"[""51.38165048050904"", ""5.006252159163957""]"
Bosstraat,"[""51.39774888939727"", ""5.027921374776692""]"
Bosvenstraat,"[""51.394832214022635"", ""4.945797924275611""]"
Bovenheide,"[""51.36800675837843"", ""4.98834623602363""]"
Bredaseweg,"[""51.39518789506517"", ""4.937752740836629""]"
Bremberg,"[""51.455612897203274"", ""5.063683833524801""]"
Bremstraat,"[""51.36991058524023"", ""4.9876263566127""]"
Broekstraat,"[""51.39797449254851"", ""5.019190080443651""]"
Brouwersakker,"[""51.4139091"", ""5.01766985""]"
Burgemeester Biemansstraat,"[""51.44272884662295"", ""5.043284421853413""]"
Buurtjesweg,"[""51.364727978393596"", ""4.99284151752396""]"
De Braak,"[""51.374133019744384"", ""4.99070041940845""]"
De Buskens,"[""51.38537996991065"", ""5.014588004932447""]"
De Hoek,"[""51.420861506460724"", ""5.034150989741594""]"
De Lei,"[""51.426901900849025"", ""5.07375940296466""]"
De Linieweg,"[""51.363364035795705"", ""4.9967120338018525""]"
De Meerkens,"[""51.45500705208032"", ""5.046497494103809""]"
De Oude Eik,"[""51.383918954879086"", ""5.015802397803054""]"
De Vijf Kuilen,"[""51.38279516995887"", ""5.015507621479388""]"
De Wilders,"[""51.453493699999996"", ""5.04498045""]"
Deenakkers,"[""51.405451782999286"", ""4.993040629730397""]"
Deken Adamsstraat,"[""51.36947318187949"", ""4.998827243767388""]"
Dennenlaan,"[""51.4672372782525"", ""5.0264029364647715""]"
Dijkstraat,"[""51.410299300000005"", ""5.0014947""]"
Dorp,"[""51.44689684556438"", ""5.041662614801615""]"
Dr.A. Van Baelenstraat,"[""51.409642803906166"", ""5.004211285090828""]"
Dreef,"[""51.40801941346858"", ""4.995549807144594""]"
Driebos,"[""51.41083535536337"", ""5.010578078433276""]"
Dries,"[""51.389311"", ""5.01766035""]"
Eelstraat,"[""51.390700599721114"", ""5.023645821359626""]"
Eigenaarsstraat,"[""51.36832544695194"", ""4.987177294630664""]"
Eikendreef,"[""51.36280813854413"", ""4.98424257663525""]"
