Straat,Coordinaten
18de Liniestraat,"[""FOUT, geen straat gevonden""]"
Abrahamstraat,"[""50.79386980814194"", ""5.621035194216116""]"
Achter de hoven,"[""50.8115870284431"", ""5.676006589422966""]"
Achterhofname,"[""50.78176315373988"", ""5.559695981620456""]"
Agnetendries,"[""50.7918411479958"", ""5.558246802370499""]"
Albertlaan,"[""50.8029960453174"", ""5.5732278286535415""]"
Aldenbergweg,"[""50.832365879986625"", ""5.600485077222373""]"
Allewijstraat,"[""50.82267180095773"", ""5.575541917610873""]"
Arthur Meulemansstraat,"[""50.79543879787679"", ""5.636364544425313""]"
Avergat,"[""50.807766886339934"", ""5.670470823088277""]"
Bampstraat,"[""50.78668361334381"", ""5.595392471217397""]"
Bejats,"[""50.81356518836721"", ""5.671085704465327""]"
Bergstraat,"[""50.79069072682362"", ""5.589990663694842""]"
Berkenlaan,"[""50.8143055"", ""5.671859250000001""]"
Biesenakkers,"[""50.815605717107175"", ""5.600528173275668""]"
Bieslanderweg,"[""50.826003"", ""5.6484333499999995""]"
Bijsstraat,"[""50.83776979503906"", ""5.603031131769789""]"
Billerweg,"[""50.79623050262074"", ""5.559789518112927""]"
Bilzersteenweg,"[""50.8167664453956"", ""5.591718467734406""]"
Bitsingerweg,"[""50.776266979021266"", ""5.597738015062972""]"
Bloemenstraat,"[""50.82821569659504"", ""5.585213577850606""]"
Bloesemstraat,"[""50.827769201138715"", ""5.642076585618973""]"
Bodemstraat,"[""50.79309336382707"", ""5.591420584934918""]"
Bolderstraat,"[""50.78970430314309"", ""5.5981254771507185""]"
Bonderstraat,"[""50.833749446822594"", ""5.606071731509593""]"
Bongaertshof,"[""50.78297531854013"", ""5.55810014064988""]"
Boostveld,"[""50.81597115571222"", ""5.598968961012455""]"
Bosstraat,"[""50.826466"", ""5.5886021""]"
Boudewijnstraat,"[""50.79481269463832"", ""5.530056477447782""]"
Bovenstraat,"[""50.8135902"", ""5.67429245""]"
Boys,"[""50.816247867872846"", ""5.669665174541486""]"
Brugstraat,"[""50.81305383767625"", ""5.670271507887362""]"
Bukersmoult,"[""50.81156776955529"", ""5.577954072846732""]"
Burchtstraat,"[""50.79374347437983"", ""5.631527383358585""]"
Burgemeester Coenegrachtslaan,"[""50.83122227492125"", ""5.586318430075894""]"
Burgemeester Dewalquestraat,"[""50.796763150000004"", ""5.613347200000003""]"
Burgemeester Marresbaan,"[""50.82854205"", ""5.6256569""]"
Burgemeester Scheperslaan,"[""50.82704878949125"", ""5.641902666746094""]"
Burgemeester Schiepersstraat,"[""50.807880049999994"", ""5.6088848""]"
Burgemeester Wiricus Vosplein,"[""50.79684836842721"", ""5.638932642662532""]"
Castertweg,"[""50.808699694435845"", ""5.676636673068435""]"
