Straat,Coordinaten
1-2-3-pianopad,"[""51.34194531398797"", ""4.763079604724854""]"
Aardbolweg,"[""51.3555579461433"", ""4.78538213182444""]"
Achtel,"[""51.3792079"", ""4.7689591""]"
Achtelsestraat,"[""51.384537531558024"", ""4.768747488830132""]"
Achterstede,"[""51.34905460447129"", ""4.767170377112011""]"
Akkerhuisjespad,"[""51.35400185"", ""4.75627525""]"
Akkerstraat,"[""51.3372467"", ""4.7516195""]"
Akkerveken,"[""51.3442803"", ""4.7665098""]"
Ambachtsweg,"[""51.34650515"", ""4.78366215""]"
Angelicadreef,"[""51.3711333"", ""4.7573752""]"
Appelstraat,"[""51.34775410815821"", ""4.770491138613407""]"
Asterweg,"[""51.34501681510076"", ""4.75333781555979""]"
Auwelijn,"[""51.35802681738536"", ""4.743642647234176""]"
Banmolenweg,"[""51.35079497123013"", ""4.757251496272172""]"
Bavelstraat,"[""51.352157887956736"", ""4.762899487056553""]"
Beemd,"[""51.38165598815075"", ""4.807211250731885""]"
Beersebaan,"[""51.33814333590902"", ""4.792271095320125""]"
Berenjagerspad,"[""51.3558324212492"", ""4.764169189083621""]"
Bergsken,"[""51.354836410345015"", ""4.748814743677453""]"
Berkenlaan,"[""51.353694437271926"", ""4.761038356696105""]"
Berkenrijs,"[""51.34634667831052"", ""4.733876672820478""]"
Beukendreef,"[""51.34573227174539"", ""4.79808973470278""]"
Biekorfweg,"[""51.35061230133202"", ""4.76624951594719""]"
Bieshoven,"[""51.3557316"", ""4.767676""]"
Bikkelpad,"[""51.33060148714511"", ""4.785221320611736""]"
Binnengeleg,"[""51.34186850084694"", ""4.756466601115653""]"
Bochtenstraat,"[""51.34785444446614"", ""4.762593616837758""]"
Bolk,"[""51.3761969"", ""4.8041353""]"
Bolksedijk,"[""51.361092492399735"", ""4.789248031591556""]"
Borgerhoutstraat,"[""51.34923662681608"", ""4.759264338014743""]"
Boshoevenweg,"[""51.3438467"", ""4.7569004""]"
Brandakkers,"[""51.36307871212646"", ""4.798279273086494""]"
Brandgravenweg,"[""51.32490567192958"", ""4.740864713255437""]"
Brechtsedreef,"[""51.37358498978505"", ""4.719151739218789""]"
Bremstraat,"[""51.355142374747885"", ""4.761890415025894""]"
Bussels,"[""51.34063945"", ""4.76293435""]"
De Lezzies,"[""FOUT, geen straat gevonden""]"
De Parre,"[""51.3379541"", ""4.7706786""]"
De Sluis,"[""51.380437770857235"", ""4.771941182797708""]"
De klampoven,"[""FOUT, geen straat gevonden""]"
De roet,"[""51.33216691749403"", ""4.792302698243111""]"
Dellenweg,"[""51.33107237285116"", ""4.783837118658802""]"
Denstraat,"[""51.33019082253852"", ""4.778961112123445""]"
Dijkbeemd,"[""51.35521904185467"", ""4.767638358952625""]"
Dikke Berthapad,"[""51.34837824719416"", ""4.751643700267369""]"
Doelenpad,"[""51.34957263577436"", ""4.761972572753488""]"
Donk,"[""51.344290311485544"", ""4.765512896046189""]"
Dorp,"[""51.34987081994182"", ""4.760235849318892""]"
Drijhoek,"[""51.34610415"", ""4.767766098348957""]"
Duinenpad,"[""51.33062017679402"", ""4.781912714172916""]"
Eekhofstraat,"[""51.35009413048707"", ""4.765219647771794""]"
Eikendreef,"[""51.334438691356226"", ""4.793424427290275""]"
Eksterstraat,"[""51.3460577"", ""4.764281199999999""]"
Elzenweg,"[""51.331276244366805"", ""4.77961596792835""]"
Emiel van Roeystraat,"[""51.34787355787498"", ""4.759162275538187""]"
Essenweg,"[""51.32879625"", ""4.7808262""]"
Gammel,"[""51.3660038"", ""4.7578621""]"
Gammersplein,"[""FOUT, geen straat gevonden""]"
Gansheideweg,"[""51.3212"", ""4.77335""]"
Gaston Lambrechtsstraat,"[""51.345543"", ""4.76104045""]"
Gebuerstraat,"[""51.34490285825226"", ""4.737849855964768""]"
