Straat,Coordinaten
's Gravenstraat,"[50.9387049, 3.1232003]"
't Hoog Stuk,"[50.9516621, 3.1103864]"
't Motje,"[50.9360018, 3.132815]"
Aakstraat,"[50.9400297, 3.1527415]"
Aardappelhoekstraat,"[50.9522915, 3.1628988]"
Aardbeienstraat,"[50.9493055, 3.1443536]"
Abeelstraat,"[50.9426374, 3.1107629]"
Abraham Hansstraat,"[50.9416491, 3.1002807]"
Acaciastraat,"[50.9369084, 3.1133906]"
Achiel Denysstraat,"[50.95095829501638, 3.1249656723186576]"
Achiel Lauwersstraat,"[50.9472953, 3.1092395]"
Adriaen Willaertstraat,"[50.950120463138774, 3.1216790543241144]"
Albert Allemanstraat,"[50.9231356, 3.1598787]"
Albert Biesbrouckstraat,"[50.9679239, 3.1132246]"
Albert Sercustraat,"[50.9291742, 3.1542052]"
Albrecht Rodenbachstraat,"[50.9460725, 3.1215878]"
Alfons Carlierstraat,"[50.945421639633025, 3.116287868074422]"
Ange Angillisstraat,"[50.933523, 3.1363689]"
Anna Bijnsstraat,"[50.9687345, 3.1330969]"
Appelaarstraat,"[50.9482663, 3.1440634]"
Ardooisesteenweg,"[50.953545, 3.1459106]"
Ardooisewegel,"[50.9486099, 3.1608433]"
Arme-Klarenstraat,"[50.94381558176547, 3.1203949556998225]"
Armoedestraat,"[50.9214574, 3.1645197]"
Astenstraat,"[50.8993545, 3.1297909]"
Autosnelweg E403 Oost,"[""FOUT, geen straat gevonden""]"
Azalealaan,"[50.9404099, 3.1371767]"
Baasrodestraat,"[50.9504621, 3.1418834]"
Babilliestraat,"[50.9189433, 3.1329278]"
Baertsdreef,"[50.986632, 3.1639022]"
Bakkersstraat,"[50.94167472942054, 3.1184959519940314]"
Baliestraat,"[50.9551039, 3.1401314]"
Barnumerf,"[50.956002632305754, 3.1257237934225017]"
Batavialaan,"[50.9524, 3.14213]"
Beatrijsstraat,"[50.9608769, 3.1301526]"
Beekstraat,"[50.9566791, 3.1085261]"
Beekwegel,"[50.9571015, 3.110532]"
Begijnestraat,"[50.8986825, 3.1277483]"
Begoniastraat,"[50.9390184, 3.1389043]"
Beheytstraat,"[50.8922522, 3.1120131]"
Bergeikenstraat,"[50.9251447, 3.1338615]"
Bergmolenstraat,"[50.9369343, 3.1275348]"
Bergstraat,"[50.9203741, 3.1294517]"
Berkenstraat,"[50.9339143, 3.1134609]"
Beukenstraat,"[50.9340455, 3.1038928]"
Beursgoed,"[50.9474238, 3.1510969]"
Beurtkaai,"[50.9461245, 3.1513269]"
Beverseaardeweg,"[50.9559421, 3.1388023]"
Beversesteenweg,"[50.9583419, 3.1314986]"
Bevrijdingsstraat,"[50.9676657, 3.1490205]"
Bietstraat,"[50.9524957, 3.0899644]"
Biezenhof A,"[50.96463875, 3.111562532768801]"
Biezenhof B,"[50.96497125, 3.1106570893504535]"
Biezenhof C,"[50.96448685, 3.1109227703752578]"
Biezenhof D,"[50.9637088, 3.1113695907264747]"
Biezenhof E,"[50.963468500000005, 3.1108105749175485]"
Biezenhof F,"[50.964135, 3.1102183714373393]"
Biezenhof G,"[50.9646992, 3.10978951895165]"
Biezenhof H,"[50.96416825, 3.109064631253748]"
Biezenhof I,"[50.96320355, 3.1098778475174034]"
Biezenhof J,"[50.963084800000004, 3.1088930197963274]"
Biezenhof K,"[50.96361075, 3.108384011576306]"
Biezenhof L,"[50.964316499999995, 3.107966718977706]"
Biezenhof M,"[50.964372, 3.107194310340464]"
Biezenhof N,"[50.9638631, 3.106650941532262]"
Biezenhof O,"[50.96357195, 3.1071501995660786]"
Biezenhof P,"[50.96296305, 3.1082067230004373]"
Biezenhof R,"[50.962691500000005, 3.1073009066526565]"
Biezenhof S,"[50.963081900000006, 3.106709817730476]"
Biezenstraat,"[50.9593186, 3.1038091]"
Bilkwegel,"[50.958588, 3.1117614]"
Blauwvoetstraat,"[50.9412599, 3.1043526]"
Blekerijstraat,"[50.9422913, 3.1197711]"
Blinde-Rodenbachstraat,"[50.9320096, 3.1386128]"
Bloemkoolstraat,"[50.9558816, 3.1579715]"
Blommestraat,"[50.9313872, 3.1432478]"
Bobijnstraat,"[50.9675886, 3.1156277]"
Boerenkrijglaan,"[50.9111448, 3.1587341]"
Boeversstraat,"[50.9162327, 3.1581749]"
Bollaardstraat,"[50.9651591, 3.1348754]"
