Straat,Coordinaten
Aatstraat,"[""50.74170362196006"", ""3.6075809174232343""]"
Abeelstraat,"[""50.745925198131424"", ""3.5998469419055854""]"
Abel Regibostraat,"[""50.76040514330929"", ""3.597727240640885""]"
Achturenstraat,"[""50.73868066729849"", ""3.612543214867089""]"
Adolf Demetsstraat,"[""50.74903071348355"", ""3.606768921407372""]"
Adolphe Hullebroeckstraat,"[""50.7383187898213"", ""3.619753370807098""]"
Aimé Delhayeplein,"[""50.74993887011886"", ""3.5960970299938224""]"
Albert Demanezstraat,"[""50.7295308"", ""3.6244546""]"
Albert Massezstraat,"[""50.748931871238085"", ""3.6080959822703234""]"
Albert Vandeputtestraat,"[""50.74090087584499"", ""3.5910521361015673""]"
Alexandre-Louis Vanhovestraat,"[""50.74620130146641"", ""3.593620488784967""]"
Alphonse Renardlaan,"[""50.752907199999996"", ""3.5949184""]"
Antonia Depoorterplein,"[""FOUT, geen straat gevonden""]"
Armand Demeulemeesterstr.,"[""50.74093410095405"", ""3.60435322185536""]"
Arthur Van Schamelhoutstraat,"[""50.756830579510186"", ""3.58719664712804""]"
Auguste Delfossestraat,"[""50.75525377470633"", ""3.6164366557215115""]"
Auguste Payenstraat,"[""50.740920700000004"", ""3.6023848000000003""]"
Bakkereel,"[""50.7434416796176"", ""3.5725198103526""]"
Barasteegje,"[""50.74566584729156"", ""3.604733108084036""]"
Baremeers,"[""50.737308049999996"", ""3.5490273500000002""]"
Barreelstraat,"[""FOUT, geen straat gevonden""]"
Beekstraat,"[""50.7560576"", ""3.6192185""]"
Begijnhofstraat,"[""50.74896478827272"", ""3.5981545528668293""]"
Berchemsesteenweg,"[""50.76280457555444"", ""3.5578593936967002""]"
Bereidersstraat,"[""50.75089765"", ""3.5937019""]"
Beukenlaan,"[""50.743049733600984"", ""3.607316449731677""]"
Bierinkstraat,"[""50.754467274381945"", ""3.5754147517852126""]"
Biest,"[""50.73364517209639"", ""3.580881416630423""]"
Blauwesteen,"[""50.743931059413505"", ""3.619221229118809""]"
Blokstraat,"[""50.74991626212959"", ""3.5773061944607525""]"
Boekzitting,"[""50.7660388"", ""3.6483541""]"
Boontjesstraat,"[""50.74508776123076"", ""3.6338387228713653""]"
Borrekens,"[""50.75410258175724"", ""3.6209067681112703""]"
Bosrede,"[""50.763173227866396"", ""3.6445009500998307""]"
Bossenberg,"[""50.746182148536306"", ""3.6465229643495034""]"
Bosweg,"[""50.763243597916734"", ""3.668175721707127""]"
Braambos,"[""50.754737820850025"", ""3.635400939828682""]"
Bredestraat,"[""50.74672815673971"", ""3.6068667443630673""]"
Bremstraat,"[""50.757342571432986"", ""3.543638013140344""]"
Breucq,"[""FOUT, straat in foute gemeente gevonden""]"
Broeke,"[""50.75446240959837"", ""3.5968927707453893""]"
Brokelaerestraat,"[""50.723096835998795"", ""3.636363440992362""]"
Bruul,"[""50.74996212546985"", ""3.6037757060476143""]"
Cachette Pierrette,"[""50.73038975344318"", ""3.614881083666421""]"
Camille Lemonnierlaan,"[""50.73365851993891"", ""3.5899999352848226""]"
Charles Vandendoorenstraat,"[""50.745712582342534"", ""3.6023794673245964""]"
Charles de Gaullestraat,"[""50.74346074096318"", ""3.599387280208109""]"
Clariststeegje,"[""50.74341828643896"", ""3.602977056330157""]"
Clementine De Niestraat,"[""50.75057985279279"", ""3.6200134498207444""]"
Collegestraat,"[""50.74288896317755"", ""3.600308180746724""]"
Constantin Meunierstraat,"[""50.736053"", ""3.5984899""]"
Coolstraat,"[""50.738044879442825"", ""3.559742284926162""]"
Coq Battant,"[""50.73265013690886"", ""3.638924026953883""]"
Coupl'Voie,"[""50.74346163128102"", ""3.594609158759588""]"
Cypriaan de Rorestraat,"[""50.74851036445478"", ""3.5989045411683134""]"
Cyriel Buyssestraat,"[""50.755364231219986"", ""3.589542058510995""]"
César Snoecklaan,"[""50.7442599"", ""3.585889""]"
Dammekensstraat,"[""50.7558447"", ""3.6103588""]"
David Teniersstraat,"[""50.74038907904745"", ""3.6009923395417363""]"
De Biesestraat,"[""50.74941404982506"", ""3.603234883264317""]"
Decrolykoer,"[""FOUT, geen straat gevonden""]"
Dejonghekoer,"[""50.7518176"", ""3.59613115""]"
Delplanquettestraat,"[""50.742158560241535"", ""3.547181708824825""]"
Deurnemeers,"[""50.73310408187991"", ""3.612407065610647""]"
Deurnestraat,"[""50.72547081386252"", ""3.622788102016986""]"
Devoskoer,"[""FOUT, geen straat gevonden""]"
Doorniksesteenweg,"[""50.73542578985359"", ""3.56113697874896""]"
Drieborrebeekstraat,"[""50.75253085867115"", ""3.6241730888607777""]"
Drielindenstraat,"[""50.75762819373996"", ""3.53996840146786""]"
Edmond Picardlaan,"[""50.7334216114389"", ""3.603142515861134""]"
Edmond Puissantstraat,"[""50.746161471002125"", ""3.5891555041870005""]"
Edmond Van Beverenplein,"[""50.75515406314651"", ""3.6101752725891214""]"
Edouard Anseelestraat,"[""50.74715845"", ""3.6017258500000002""]"
Edouard Jolystraat,"[""50.75907217392036"", ""3.5964998879373145""]"
Eikelstraat,"[""50.75651255507662"", ""3.5830590284424537""]"
Eisdale,"[""50.76362913382253"", ""3.5454473765417163""]"
Eksterstraat,"[""50.7543166"", ""3.6514614""]"
Elfnovemberstraat,"[""50.7500086"", ""3.5889396""]"
Elzeelsesteenweg,"[""50.7404823"", ""3.6143676""]"
Elzelestraat,"[""50.746525949054245"", ""3.6069448615131767""]"
Emmanuel Hielstraat,"[""FOUT, geen straat gevonden""]"
Engelsenlaan,"[""50.74429401753364"", ""3.5862304482574903""]"
Ephrem De Malanderplein,"[""50.74445274630163"", ""3.6048405859072874""]"
Ephrem Delmottestraat,"[""50.747860136403844"", ""3.6081405609202575""]"
Ernest Solvaystraat,"[""50.7355737"", ""3.6039134500000003""]"
Ernestine de Lignestraat,"[""50.757226450000005"", ""3.5964726000000002""]"
Etienne Verschuerenstraat,"[""50.754586031346854"", ""3.608415354691792""]"
Eugène Soudansquare,"[""50.74987301786637"", ""3.6041371421944906""]"
Europastraat,"[""50.744241713535196"", ""3.6159108921180616""]"
Fabriekstraat,"[""50.7466634347598"", ""3.598491503070908""]"
Fernand Duboisstraat,"[""50.73510738767711"", ""3.5919437642225778""]"
Fiertelmeers,"[""50.75419977053294"", ""3.5873824107609655""]"
Florent Devosstraat,"[""50.748528074945774"", ""3.6058439847307677""]"
Floréal,"[""50.7423869"", ""3.5801769""]"
Folderstraat,"[""50.75030832272252"", ""3.5576764627112536""]"
Fortuinberg,"[""50.7637265"", ""3.645351""]"
Fostierlaan,"[""50.74432600111922"", ""3.597721979313204""]"
Franklin Rooseveltplein,"[""50.74731917002727"", ""3.5990647071846813""]"
Frédéric Bruneellaan,"[""50.74433641921469"", ""3.5937578666385983""]"
Gasmeterstraat,"[""50.75019773499069"", ""3.5925529995200076""]"
Gebroeders Dopchiestraat,"[""50.75241405"", ""3.6085452""]"
Gebroeders Van Eyckstraat,"[""50.737818187423336"", ""3.6005949559699633""]"
Geerstraat,"[""50.767402314451594"", ""3.6251035998104744""]"
Gefusilleerdenlaan,"[""50.74155225013954"", ""3.5974393345538975""]"
Georges De Myttenaerestraat,"[""50.7424752370083"", ""3.5828258719682937""]"
Georges Desmetstraat,"[""50.74224791249097"", ""3.6086141778764675""]"
Georges Dumontstraat,"[""50.734288788929966"", ""3.602175966262221""]"
Georges Eeckhoutsquare,"[""FOUT, geen straat gevonden""]"
Georges Eeckhoutstraat,"[""FOUT, geen straat gevonden""]"
Geraardsbergenstraat,"[""50.74987241623955"", ""3.6237852096637075""]"
Germinal,"[""50.7471314"", ""3.624987""]"
Gomar Vandewielelaan,"[""50.74268133012908"", ""3.594164848380765""]"
Groeneweg,"[""50.75654628546645"", ""3.5880849512134265""]"
Grote Bergkouter,"[""FOUT, geen straat gevonden""]"
Grote Marijve,"[""50.7469312"", ""3.6074767""]"
Grote Markt,"[""50.7472264"", ""3.6031929""]"
Guido Gezellestraat,"[""50.74142583174628"", ""3.6037251587799157""]"
Gustave Royerslaan,"[""50.74294449216513"", ""3.5935469403919837""]"
Gyselingssteegje,"[""50.742852311525816"", ""3.60222925911664""]"
Heckensveld,"[""50.7540018077293"", ""3.619315401425461""]"
Hector Denisstraat,"[""50.735721"", ""3.60518405""]"
Hemelberg,"[""50.75670019130528"", ""3.5979621556110697""]"
Hendrik Consciencestraat,"[""50.743119828184405"", ""3.615645139214775""]"
Hermes Van Wynghenestraat,"[""50.74301575150104"", ""3.6094497658050284""]"
Hersenplank,"[""50.73290623890373"", ""3.5905051620978226""]"
Hof Geenensstraat,"[""50.754821330469056"", ""3.579122904505536""]"
Hof Merrystraat,"[""FOUT, geen straat gevonden""]"
Hogerlucht,"[""50.76403368781702"", ""3.603221727253635""]"
Holleweg,"[""50.7775118521947"", ""3.6594862416165546""]"
Hoogdeurnestraat,"[""50.7257067"", ""3.6283891""]"
Hoogstraat,"[""50.7457585"", ""3.5978202""]"
Hospitaalstraat,"[""50.74824526542496"", ""3.6023602510844945""]"
Hotondstraat,"[""50.762590428645204"", ""3.566843515025008""]"
Houtstraat,"[""50.759927842261554"", ""3.6460924675767092""]"
Hul,"[""50.75696481880745"", ""3.6372469070147977""]"
Hulstken,"[""50.762935276145974"", ""3.5925271697436556""]"
IJsmolenstraat,"[""50.7534419"", ""3.6386453""]"
Ijzerstraat,"[""50.7426542052915"", ""3.601984567753317""]"
Industriëlestraat,"[""50.75260337991005"", ""3.6453170161398876""]"
Isidoor Opsomerstraat,"[""50.73708269740982"", ""3.6122405285781825""]"
Ives-Sabin Maghermanlaan,"[""50.747303547886936"", ""3.588732494770566""]"
Jablonecstraat,"[""50.75727967088476"", ""3.599650189370899""]"
Jacob van Arteveldestraat,"[""50.755622458843014"", ""3.594915823531636""]"
Jagersstraat,"[""50.73685353506597"", ""3.629579743029053""]"
Jan van Nassaustraat,"[""50.74720791760881"", ""3.593699862242896""]"
Jean Monnetstraat,"[""50.74591171864615"", ""3.617714941085171""]"
Jean-Baptiste Dekeyserstraat,"[""50.74481353378906"", ""3.6013648648061483""]"
Jean-Baptiste Guissetplein,"[""50.744423337645884"", ""3.600572385411637""]"
Jean-Baptiste Mouroitplein,"[""50.74882675"", ""3.6027084970652696""]"
Joseph Ferrantstraat,"[""50.74381172765971"", ""3.604133259860266""]"
Joseph Wautersplein,"[""50.735548835568025"", ""3.604501467474151""]"
Jules Bordetlaan,"[""50.739471174454"", ""3.6020468547943345""]"
Kaatsspelplein,"[""50.749228349999996"", ""3.599088872790414""]"
Kafhoek,"[""50.768154832377576"", ""3.6276325780373315""]"
