Straat,Coordinaten
Aarschotsesteenweg,"[""50.95726736660384"", ""4.768726276119192""]"
Abdijlaan,"[""50.94702747755915"", ""4.735994592905691""]"
Acacialaan,"[""50.96859298264195"", ""4.758311314746272""]"
Achterheidestraat,"[""50.9565921030626"", ""4.692368874798779""]"
Akkerstraat,"[""50.94466535559131"", ""4.7760374019739205""]"
Ambachtstraat,"[""50.954694149999995"", ""4.7373218999999995""]"
Amerstraat,"[""50.97072587546471"", ""4.691481399775621""]"
Aspergeveld,"[""50.97397420483631"", ""4.716810713690879""]"
Astridstraat,"[""50.94256105"", ""4.725618300000001""]"
Autosnelweg E314,"[""FOUT, geen straat gevonden""]"
Averijst,"[""50.96224465094131"", ""4.735794131519099""]"
Beatrijslaan,"[""50.96257738619391"", ""4.7749039989335325""]"
Beekstraat,"[""50.9547527"", ""4.7390320500000005""]"
Beemdenstraat,"[""50.95595435861856"", ""4.708276290092613""]"
Benedenstraat,"[""50.94427044123924"", ""4.768141337834544""]"
Beninksstraat,"[""50.9473911373731"", ""4.765150319155731""]"
Bergenhof,"[""50.95610897303281"", ""4.751332258941013""]"
Bergstraat,"[""50.95056609716925"", ""4.708994802072439""]"
Bergzichtstraat,"[""50.944751529963"", ""4.765495737712493""]"
Berkenlaan,"[""50.964445650717536"", ""4.755240395618286""]"
Bert Leysenlaan,"[""50.965301761433636"", ""4.775915021206072""]"
Bessenlaan,"[""50.96211807888075"", ""4.751109173188846""]"
Beukenlaan,"[""50.96900826495252"", ""4.754589003115711""]"
Beukepleinbaan,"[""50.946125238290435"", ""4.77769022591249""]"
Beverlaak,"[""50.979535274962"", ""4.6897108824913865""]"
Beversluis,"[""50.95490204318943"", ""4.740610099776703""]"
Blaasbroek,"[""FOUT, geen straat gevonden""]"
Blauwmolenstraat,"[""50.94333502999005"", ""4.801385608323989""]"
Boonhofstraat,"[""50.96350664617101"", ""4.716019144643081""]"
Bosbessenlaan,"[""50.96486620515502"", ""4.748395321451343""]"
Bosweg,"[""50.95215229939497"", ""4.749166219988249""]"
Bremberg,"[""50.97333530153956"", ""4.715487024239806""]"
Bremstraat,"[""50.96208259651316"", ""4.747788164244965""]"
Broekstraat,"[""50.96101615"", ""4.703030200000001""]"
Brouwerijstraat,"[""50.9735088"", ""4.6931915""]"
Catharinalaan,"[""FOUT, geen straat gevonden""]"
Demerbroekstraat,"[""50.9701752"", ""4.7006543""]"
Demerdijk Noord,"[""50.9722768"", ""4.7350093""]"
Demerdijk Zuid,"[""50.9698392"", ""4.719317""]"
Demerstraat,"[""50.9697463"", ""4.7476102""]"
Dennenlaan,"[""50.9676347"", ""4.7541995""]"
Dijlekant,"[""50.9583966"", ""4.6899096""]"
Dijlestraat,"[""50.9480438"", ""4.7138848""]"
Dillaerstraat,"[""FOUT, geen straat gevonden""]"
Dorpsplein,"[""50.9516872"", ""4.7089611""]"
Drielindenstraat,"[""50.9462099"", ""4.7298201""]"
Drijfweg,"[""50.9435164"", ""4.7991827""]"
Druivenstraat,"[""50.9478004"", ""4.7103699""]"
Duitsveldbaan,"[""50.9521362"", ""4.7390549""]"
Echostraat,"[""50.9591342"", ""4.763466""]"
Eekhoornlaan,"[""50.9654616"", ""4.7628984""]"
Eektstraat,"[""50.9468898"", ""4.7497039""]"
Eektweg,"[""50.9455752"", ""4.7462839""]"
Eggelbroek,"[""50.9790131"", ""4.6792301""]"
Eikenlaan,"[""50.96466"", ""4.75344""]"
Elzendreef,"[""50.9672729"", ""4.7571422""]"
Erikalaan,"[""50.9639927"", ""4.7572314""]"
Ernest Claesstraat,"[""50.973735"", ""4.7082579""]"
Esdreef,"[""50.9663769"", ""4.7583723""]"
Frans Drijversplein,"[""50.9515644"", ""4.7100194""]"
Frans Van Leemputtenstraat,"[""50.9749352"", ""4.7071027""]"
Galgenstraat,"[""50.9597918"", ""4.7681068""]"
Gelrodesebaan,"[""50.9427702"", ""4.776559""]"
Gemeentepad,"[""50.9446133"", ""4.743735""]"
Gevelstraat,"[""50.9440504"", ""4.7268158""]"
Gildenstraat,"[""50.9567244"", ""4.7332003""]"
Grensstraat,"[""50.934149"", ""4.7210397""]"
Groddestraat,"[""50.9382864"", ""4.7632829""]"
Groeneweg,"[""50.9541438"", ""4.7512502""]"
Groenstraat,"[""50.9532217"", ""4.7137019""]"
Grotestraat,"[""50.9835696"", ""4.7352067""]"
Guldentop,"[""50.979887"", ""4.751225""]"
Haachtsesteenweg,"[""50.970756"", ""4.6773576""]"
Hamstraat,"[""50.9746465"", ""4.7178589""]"
Hanewijk,"[""50.9694547"", ""4.6911964""]"
Hazepad,"[""50.9702758"", ""4.6883117""]"
Heirbaan,"[""50.9599352"", ""4.7441815""]"
Helleblazersweg,"[""50.9617044"", ""4.707362""]"
Hellichtstraat,"[""50.9631229"", ""4.7190571""]"
Hermansstraat,"[""50.9736554"", ""4.7102534""]"
Hertogstraat,"[""50.9546462"", ""4.7548817""]"
Hertshaag,"[""50.960559"", ""4.7500358""]"
Hinderenberg,"[""50.978294"", ""4.6948725""]"
Hoekje,"[""50.9702458"", ""4.6939818""]"
Hoevestraat,"[""50.959775"", ""4.7031664""]"
Hof van Waterdijkpad,"[""50.9574738"", ""4.7253189""]"
Hofakkerstraat,"[""50.9581233"", ""4.7390541""]"
Hogeweg,"[""50.9745668"", ""4.7097764""]"
Holleweg,"[""50.96288"", ""4.7446373""]"
Holsbeeksebaan,"[""50.9428082"", ""4.7537971""]"
Hoogland,"[""50.9729956"", ""4.719004""]"
Jack-Opstraat,"[""50.9749167"", ""4.7069822""]"
Jan Bolsstraat,"[""50.9721668"", ""4.7004777""]"
Jef Scherensstraat,"[""50.9752526"", ""4.7086198""]"
Joseph Sasstraat,"[""50.9539872"", ""4.719471""]"
