Straat,Coordinaten
's Herenbaan,"[""51.105835400000004"", ""4.3689952000000005""]"
1 meistraat,"[""51.0771419"", ""4.39655825""]"
Abdon Braeckmansstraat,"[""51.07685225180753"", ""4.421988096798794""]"
Abel Fransplein,"[""51.0793207"", ""4.424121850000001""]"
Adriaan Brouwerlaan,"[""51.102772022300776"", ""4.404238898060914""]"
Albert Servaeslaan,"[""51.10804612474181"", ""4.365671627398767""]"
Anjelierenplein,"[""51.108675161069236"", ""4.386424673119448""]"
Antoine De Winterstraat,"[""51.07956772605576"", ""4.42568535398113""]"
Antoon Van Dycklaan,"[""51.10388109973334"", ""4.402981908133673""]"
Antwerpsesteenweg,"[""51.08953543172548"", ""4.451806937194438""]"
Antwerpsestraat,"[""51.10654466833221"", ""4.369766160133366""]"
Azalealaan,"[""51.1080917"", ""4.38775345""]"
Balhoevestraat,"[""51.10277548226134"", ""4.436225571890804""]"
Beekvelden,"[""51.10158750071596"", ""4.417214853704535""]"
Beemdstraat,"[""51.07901336037405"", ""4.40087704441885""]"
Begijnenbossen,"[""51.10669115471257"", ""4.411320108505991""]"
Begonialaan,"[""51.10928372582205"", ""4.392954388582472""]"
Berkenlaan,"[""51.10284953710258"", ""4.4130913718571305""]"
Beukendreef,"[""51.1026157"", ""4.40710825""]"
Blauwhoevestraat,"[""51.08634555113251"", ""4.434424465091089""]"
Boereweg,"[""51.08076110349311"", ""4.403538371298849""]"
Boonhof,"[""51.082531833340056"", ""4.39265034478258""]"
Borzestraat,"[""51.112113645059395"", ""4.420941392252155""]"
Bussestraat,"[""51.08543768524577"", ""4.45072478593807""]"
Catenbergstraat,"[""51.08096507694254"", ""4.417700140772674""]"
Clemenshoek,"[""51.10929911761361"", ""4.407397480589624""]"
Constant Permekelaan,"[""51.10120302804778"", ""4.399894531812241""]"
Crequilei,"[""51.08087195655543"", ""4.40466620148291""]"
Dalialaan,"[""51.10864063657505"", ""4.392027070068361""]"
David Tenierslaan,"[""51.1016293565443"", ""4.405767404328275""]"
Dennenlaan,"[""51.103257799999994"", ""4.4128905""]"
Dieveldenstraat,"[""51.10889182602831"", ""4.4133602925297675""]"
Doelhaagstraat,"[""51.0791648773956"", ""4.426586737391335""]"
Donkerstraat,"[""51.10788482257102"", ""4.4079033042066085""]"
Doornlaarlei,"[""51.08188479722866"", ""4.4542059777888685""]"
Eekhovenweg,"[""51.076604794243835"", ""4.453884618905434""]"
Eikenstraat,"[""51.10214655392998"", ""4.4122270921348505""]"
Ekkersgatstraat,"[""51.081047"", ""4.43169""]"
Emiel Vanderveldestraat,"[""51.085022855054184"", ""4.438699587183812""]"
Ernest Claeslaan,"[""51.108898827359525"", ""4.366609518397817""]"
Eugeen Roelandtsstraat,"[""51.10539141676304"", ""4.409282888892178""]"
Europalaan,"[""51.07697510170238"", ""4.40160068631004""]"
Fazantenweg,"[""51.10267945"", ""4.393065685277637""]"
Felix Timmermanslaan,"[""51.10916185"", ""4.3687249999999995""]"
Frans Van Lindenstraat,"[""51.085623596922765"", ""4.43776682548862""]"
Ganzenweg,"[""51.103846700000005"", ""4.3891119""]"
Gladiolenlaan,"[""51.10664312300753"", ""4.391303399690384""]"
Grote Paepedaelen,"[""51.10524421348847"", ""4.373957800263078""]"
Guido Gezellestraat,"[""51.08493697964228"", ""4.439970019251524""]"
Haardorst,"[""51.078980054516066"", ""4.4261750015637755""]"
Hans Memlinclaan,"[""51.10159674906005"", ""4.402904691605681""]"
Hazeweg,"[""51.102579915978765"", ""4.391486835951489""]"
Herderstraat,"[""51.09149327129883"", ""4.460342280494988""]"
Hertenweg,"[""51.1039605"", ""4.39002745""]"
Hof ten Eikenlaan,"[""51.08359558221569"", ""4.440778139564778""]"
Hoge Meentochtstraat,"[""51.09082625"", ""4.4206776""]"
Hoge Vosbergstraat,"[""51.0860361"", ""4.4563825""]"
Hoge Weg,"[""51.10135629876868"", ""4.410558733261484""]"
Hoge Zandvelden,"[""51.10744499197155"", ""4.397374334606167""]"
Hollebeekstraat,"[""51.0844284"", ""4.4222247""]"
Hondstraat,"[""51.10670997358823"", ""4.436392609340913""]"
Hoogstraat,"[""51.08028334836076"", ""4.400656252244382""]"
Hoogvelden,"[""51.102447015370785"", ""4.409665882825292""]"
Hortensialaan,"[""51.107905373675244"", ""4.393964073725271""]"
Hoveniersstraat,"[""51.08798850303063"", ""4.463743305594716""]"
Irislaan,"[""51.10883866956336"", ""4.394578965352129""]"
Jacob Jordaenslaan,"[""51.10240583788881"", ""4.401777534986008""]"
James Ensorlaan,"[""51.10249712214443"", ""4.405569882799661""]"
Jan Van Eycklei,"[""51.100800092779515"", ""4.40405766790366""]"
Jeroen Boschlaan,"[""51.103931000867505"", ""4.400509473794885""]"
Joannes Van Meirhaeghestraat,"[""51.10444575"", ""4.4118571499999995""]"
Kamiel Huysmansstraat,"[""51.08047380160377"", ""4.399597788439146""]"
Kapellenlei,"[""51.08135508905531"", ""4.445497225187193""]"
Kapelstraat,"[""51.082820982456354"", ""4.391496052620849""]"
Kardinaal Cardijnstraat,"[""51.080903378836204"", ""4.394759221448759""]"
Karl Marxstraat,"[""51.077604802737966"", ""4.400268138517146""]"
Kasteelweg,"[""51.10018701521812"", ""4.417051997071386""]"
Kazernestraat,"[""51.07725913383039"", ""4.424128874791734""]"
Keelhoevestraat,"[""51.094742756501894"", ""4.4247229813215885""]"
Kerkelei,"[""51.10074967394367"", ""4.4126972663699595""]"
Kerkhofstraat,"[""51.081733522312874"", ""4.430311810229996""]"
Kerkstraat,"[""51.0817288"", ""4.4346229""]"
Kerkweg,"[""51.10886396287882"", ""4.390402264155442""]"
Kerremansstraat,"[""51.097031169799926"", ""4.400779871545647""]"
Keulshaagweg,"[""51.11197156443851"", ""4.408559311469661""]"
Kleine Paepedaelenlaan,"[""51.10972529603635"", ""4.363544346978414""]"
Kloosterstraat,"[""51.0785355"", ""4.395407349999999""]"
Kneukelputlei,"[""51.101031649999996"", ""4.4167005""]"
Koningin Astridplein,"[""51.10152054978794"", ""4.412472849447401""]"
Korte Nieuwstraat,"[""51.08042147710855"", ""4.401591814933786""]"
Korte Veerstraat,"[""51.08079475157498"", ""4.394776570443187""]"
Korte Vissersstraat,"[""51.07601811615568"", ""4.422540156255526""]"
Krokuslaan,"[""51.1070591"", ""4.392482697371969""]"
Kromhoutstraat,"[""51.086198249999995"", ""4.435735""]"
Kruislei,"[""51.0835252"", ""4.433982500000001""]"
Kwartelweg,"[""51.10405695"", ""4.3909099""]"
Laarstraat,"[""51.1008688"", ""4.4156894""]"
Lage Vosbergstraat,"[""51.088300292277424"", ""4.465643421642963""]"
Lazarusstraat,"[""51.07870665"", ""4.4532453""]"
Leemstraat,"[""51.092201551266726"", ""4.428851830554811""]"
Leliënlaan,"[""51.109689499999995"", ""4.3891007""]"
Lindenlaan,"[""51.10347406938023"", ""4.4158246965631545""]"
Lochtveld,"[""51.08018124374578"", ""4.429291610685228""]"
Lode Zielenslaan,"[""51.10848055880119"", ""4.367718244604446""]"
Louis Paul Boonstraat,"[""51.088627876418705"", ""4.436676967378555""]"
Louis Van Cauwenberghweg,"[""FOUT, geen straat gevonden""]"
Maalderijstraat,"[""51.099318350000004"", ""4.4513108""]"
Markt,"[""51.07593205"", ""4.42565355""]"
Mechelsesteenweg,"[""51.0787319"", ""4.45249725""]"
Molenbergstraat,"[""51.07758565053913"", ""4.423523289925518""]"
Molenstraat,"[""51.10009355491883"", ""4.404710135677376""]"
Molenveld,"[""51.077569621908786"", ""4.421352114846931""]"
Molleveld,"[""51.08312115133479"", ""4.389474047669234""]"
Monnikenhofstraat,"[""51.1036038"", ""4.38922785""]"
Morenhoekstraat,"[""51.09191697850189"", ""4.445172351349474""]"
Morenhoevestraat,"[""51.0958775237023"", ""4.431681249295845""]"
Nedrickxhoeveweg,"[""51.11423185317221"", ""4.423302771299107""]"
Netestraat,"[""51.07711090601517"", ""4.446641515917467""]"
Nieuwstraat,"[""51.08087146236711"", ""4.417040124381226""]"
Nijverheidsstraat,"[""51.076230019350895"", ""4.420260798623267""]"
Olmenlaan,"[""51.10464200027585"", ""4.413131294307319""]"
Ontvoogdingstraat,"[""51.076682171939794"", ""4.400396964644457""]"
Oude Baan,"[""51.07876978054004"", ""4.403520897234114""]"
Oude Brouwerijstraat,"[""51.07870737950518"", ""4.399266597546294""]"
Overwinningstraat,"[""51.07691919665373"", ""4.398951037805305""]"
Parkstraat,"[""FOUT, geen straat gevonden""]"
Pastoor Slegersstraat,"[""51.086519"", ""4.45684415""]"
Patrijzenweg,"[""51.10406395"", ""4.39190585""]"
Peperstraat,"[""51.07784654084376"", ""4.425044317681368""]"
Petrus Van der Taelenstraat,"[""51.0839656813566"", ""4.434392175914623""]"
Philip de Pillecijnlaan,"[""51.108791281677526"", ""4.365356501558929""]"
Pierstraat,"[""51.114972449999996"", ""4.39011635""]"
Piet Van Akenstraat,"[""51.08145643341811"", ""4.4027328064727795""]"
Pieter Breughellaan,"[""51.10397775"", ""4.4005787000000005""]"
Pieter Pauwel Rubenslaan,"[""51.10092102108889"", ""4.402236487066886""]"
Plantenhoekstraat,"[""51.093454091430374"", ""4.435640249866651""]"
Polder,"[""51.08228735"", ""4.3883659999999995""]"
Pompstraat,"[""51.08224494287475"", ""4.389956638807876""]"
Populierenlaan,"[""51.07609178137127"", ""4.39852221969754""]"
Potaardestraat,"[""51.09449511013307"", ""4.45407518533487""]"
Predikherenhoevestraat,"[""51.10416884999999"", ""4.38724645""]"
Priester Daensstraat,"[""51.087208154616974"", ""4.438096315537209""]"
Processieweg,"[""51.103700286987575"", ""4.411358449295414""]"
Putstraat,"[""51.08063279287948"", ""4.402562086544676""]"
Quinten Matsijslaan,"[""51.1024393"", ""4.39879615""]"
Reetsestraat,"[""51.11217847648429"", ""4.425791335025464""]"
Romeins Veld,"[""51.07794812764256"", ""4.419923254814431""]"
Rozenlaan,"[""51.11030915"", ""4.3905814""]"
Rumstsestraat,"[""51.100026309703026"", ""4.414236003696829""]"
Rupelstraat,"[""51.08010425"", ""4.3956067999999995""]"
Salvialaan,"[""51.10738245448814"", ""4.388458704202503""]"
Schanshoeveweg,"[""51.110034752835475"", ""4.421574642761782""]"
Schensbossen,"[""51.1050165"", ""4.3995528""]"
Schoolstraat,"[""51.078542264269466"", ""4.427113770732544""]"
Schransstraat,"[""51.08019308399517"", ""4.405025077034659""]"
Seringenlaan,"[""51.107932291074874"", ""4.389777712450412""]"
Sint Janstraat,"[""51.11152189006554"", ""4.383522188007485""]"
Sint Jozefstraat,"[""51.1111322083437"", ""4.384035543318283""]"
Sleutelhof,"[""51.07862540119899"", ""4.427504457210917""]"
Slijkenhoefstraat,"[""51.093773045310165"", ""4.44749191500703""]"
Statiestraat,"[""51.07841720521776"", ""4.423960499536191""]"
Steenbakkerijstraat,"[""51.07896520669164"", ""4.4036297497688""]"
Steenberghoekstraat,"[""51.08053631650901"", ""4.417879806745054""]"
Steenweg op Waarloos,"[""51.101119084236586"", ""4.423198428095493""]"
Stijn Streuvelslaan,"[""51.10953734731298"", ""4.365008035118039""]"
Stille Weg,"[""51.07904944237634"", ""4.3973746384541315""]"
Terhagenlei,"[""51.08299954546892"", ""4.390880627479061""]"
Tiburstraat,"[""51.0835969"", ""4.44101615""]"
Tuinwijk,"[""51.08069935149874"", ""4.42973175871182""]"
Tuinwijklaan,"[""51.07773409455172"", ""4.40279696133395""]"
Tulpenlaan,"[""51.1052502"", ""4.39017755""]"
Uitbreidingstraat,"[""51.07789883978055"", ""4.397745927209847""]"
Varenbroekstraat,"[""51.11070245189766"", ""4.426274243598133""]"
Varenlaan,"[""51.1095983"", ""4.394162452318044""]"
Varenstraat,"[""51.0782819"", ""4.4524576""]"
Veerstraat,"[""51.07595296411796"", ""4.421625836014135""]"
Veldstraat,"[""51.08075568144514"", ""4.397930564565559""]"
Vissersstraat,"[""51.075559"", ""4.42309995""]"
Vorft,"[""51.0829673800544"", ""4.3902606720057396""]"
Waterkant,"[""51.07775602454952"", ""4.4041934405110945""]"
Weivelden,"[""51.08591025313353"", ""4.435760989798781""]"
Wilgenveld,"[""51.10616476835555"", ""4.412530021879187""]"
Zonnebloemlaan,"[""51.111027576452386"", ""4.392546720736694""]"
