Straat,Coordinaten
Acaciadreef,"[""51.27072814032777"", ""4.534892348962511""]"
Adriaan Brouwerstraat,"[""51.24415913840026"", ""4.479392520762163""]"
Akkerlaan,"[""51.24619406128102"", ""4.507457984771965""]"
Albert Dineurlaan,"[""51.25507686697353"", ""4.512125376079385""]"
Albertdreef,"[""FOUT, straat in foute gemeente gevonden""]"
Alfons Heulensstraat,"[""51.25105342372027"", ""4.48261285962579""]"
Alfons Servaislei,"[""51.255837297411965"", ""4.518962363801384""]"
Alfons Verdijckstraat,"[""51.244768101313184"", ""4.503195904763112""]"
Alice Nahonlei,"[""51.26565542389076"", ""4.538272943434227""]"
Alpenroosbaan,"[""51.27440059694078"", ""4.519573813974089""]"
Amazonendreef,"[""51.24774057351868"", ""4.531068918880412""]"
Ambiorixlei,"[""51.26608066794449"", ""4.52303315030116""]"
Amerlolaan,"[""51.2517436"", ""4.4829989""]"
André Ullenslei,"[""51.246022178920875"", ""4.461906451163488""]"
Anjerstraat,"[""51.243214949999995"", ""4.4595354""]"
Anton Van de Veldelaan,"[""51.266501306778096"", ""4.470764639144978""]"
Antoon Van Dijckstraat,"[""51.24433360611347"", ""4.472794521904759""]"
Antoon Wolfsstraat,"[""51.254075746985706"", ""4.4884046918512235""]"
Appeldreef,"[""51.28001462196011"", ""4.5015831927418235""]"
Arthur Verhoevenlaan,"[""51.24630796082794"", ""4.493889352633908""]"
Arthurdreef,"[""51.29041115"", ""4.5516223""]"
Asbroeklaan,"[""51.252107991067504"", ""4.479951779444046""]"
Astriddreef,"[""51.291261663945036"", ""4.551087313832821""]"
August Jonckersstraat,"[""51.25799982750798"", ""4.500002317597971""]"
Beatrijslaan,"[""51.262045540382154"", ""4.519195952665079""]"
Beekpad,"[""51.281285600000004"", ""4.4943606""]"
Beemdenlaan,"[""51.245473820617825"", ""4.508211866628583""]"
Begonialaan,"[""51.25802054600641"", ""4.509795035096867""]"
Berkenlei,"[""51.25059335"", ""4.5185682499999995""]"
Beukendreef,"[""51.299524250000005"", ""4.543917""]"
Binnenweg,"[""51.252248065884636"", ""4.499388989656826""]"
Bloemendaallaan,"[""51.262341933675884"", ""4.510270713199243""]"
Boekenborglei,"[""51.245066"", ""4.4614606""]"
Boekweitstraat,"[""51.258329018428256"", ""4.502299791207628""]"
Boomgaarddreef,"[""51.296533536374156"", ""4.548332107889724""]"
Boomkleverdreef,"[""51.27811936388501"", ""4.50460821951601""]"
Borgeindstraat,"[""51.24617996912694"", ""4.475516965357951""]"
Borkelstraat,"[""51.2499369"", ""4.4866413""]"
Bosnimfdreef,"[""51.272243599999996"", ""4.52269435""]"
Bosschaert de Bouwellei,"[""51.26165221977334"", ""4.543110441186952""]"
Botermelkbaan,"[""51.2779148"", ""4.5258429""]"
Botermelkdijk,"[""51.27509445966055"", ""4.525106750073207""]"
Boudewijndreef,"[""51.292334610328155"", ""4.550478498830355""]"
Braamstraat,"[""51.24430812048134"", ""4.500581756338043""]"
Brakkensteeg,"[""51.2545684"", ""4.5005126""]"
Brechtsebaan,"[""51.26446150562845"", ""4.5093242224209""]"
Bredabaan,"[""51.2672851"", ""4.4627734""]"
Bremdonckdreef,"[""51.27115411156169"", ""4.478116707251532""]"
Bremdreef,"[""51.26888497846189"", ""4.52098224943626""]"
Bronbeekdreef,"[""51.283785960942495"", ""4.5021370529571145""]"
Buizerddreef,"[""51.27210597765097"", ""4.493697863867295""]"
Calesbergdreef,"[""51.2496671"", ""4.4652707""]"
Cederlaan,"[""51.27583511915553"", ""4.518840380067571""]"
Churchilllaan,"[""51.24969668587207"", ""4.484583392456382""]"
Columbuslei,"[""51.27242397308227"", ""4.526655984898837""]"
Commissaris Hubersstraat,"[""51.25071780324935"", ""4.489918156074785""]"
Constant Neutjensstraat,"[""51.251087214061386"", ""4.494679627087301""]"
Cornelius De Vosstraat,"[""51.248750444741546"", ""4.46603691861174""]"
Curielaan,"[""51.253205062921495"", ""4.498894633455727""]"
Dalialaan,"[""51.25739099018767"", ""4.508861597552756""]"
Dauwaertlaan,"[""51.25439956769659"", ""4.506420808491783""]"
David Teniersstraat,"[""51.24343200864535"", ""4.478865134426363""]"
De Kievit,"[""51.279007283437835"", ""4.503973531002401""]"
Dennenlei,"[""51.263661666888446"", ""4.529212778634762""]"
Dennenweg,"[""51.2812456"", ""4.5179888""]"
Deurnevoetweg,"[""51.24379222419488"", ""4.483888994540382""]"
Deuzeldlaan,"[""51.24647002717681"", ""4.4599863485877025""]"
Distelvinklei,"[""51.2640913"", ""4.5462175""]"
Distelweg,"[""51.25471623237235"", ""4.500095598138975""]"
Doncklaan,"[""51.25348443643703"", ""4.513432468429659""]"
Eburonenlei,"[""51.267375093657904"", ""4.527086724281043""]"
Edelweissbaan,"[""51.2751029"", ""4.519141149999999""]"
Edgar Tinellaan,"[""51.26277455"", ""4.4708685500000005""]"
Edisonplein,"[""51.2528352"", ""4.5007665""]"
Eduard Belpairelei,"[""51.251548373802066"", ""4.5287660842855""]"
Eduard De Backerstraat,"[""51.2462004521674"", ""4.458942832259787""]"
Eduard Steursstraat,"[""51.2453145"", ""4.4683485""]"
Eekhoornlei,"[""51.264590237224205"", ""4.527740099618651""]"
Eethuisstraat,"[""51.24857042765706"", ""4.462090220022147""]"
Eikenlei,"[""51.2504170350834"", ""4.5170203060745155""]"
Eksterdreef,"[""51.2631913"", ""4.508871""]"
Elegastlaan,"[""51.26166413319617"", ""4.5179203535507115""]"
Elfenbankdreef,"[""51.26873633945896"", ""4.539818760217671""]"
Elshoutbaan,"[""51.28518079555332"", ""4.504164084369833""]"
Elzendreef,"[""51.300829009447924"", ""4.537563882548459""]"
Emiel Blangenoisstraat,"[""51.25669322932835"", ""4.502612309883408""]"
