Straat,Coordinaten
Akkerkens,"[""51.2267467"", ""4.12922585""]"
Armand Wymeerschstraat,"[""51.25151965"", ""4.08826055""]"
Aststraat,"[""51.2141352"", ""4.1206379""]"
Astweg,"[""51.21120918739018"", ""4.1098036009877275""]"
Baarstraat,"[""51.2037711154976"", ""4.133129848842277""]"
Bagonie,"[""51.1961527"", ""4.0772174""]"
Bagonielaan,"[""51.19911989401229"", ""4.07909682804199""]"
Bagoniestraatje,"[""51.193290248395826"", ""4.074377775461033""]"
Bakkersdreef,"[""51.19382666942701"", ""4.094939970055408""]"
Bareel,"[""51.25356087112331"", ""4.080252235819165""]"
Bastionstraat,"[""51.290416300000004"", ""4.164005400000001""]"
Baulooweg,"[""FOUT, straat in foute gemeente gevonden""]"
Beekstraat,"[""51.196187774595735"", ""4.104265282236301""]"
Bergstraat,"[""51.250377093051156"", ""4.083378052557425""]"
Beulaarweg,"[""51.197907321489744"", ""4.136242168850567""]"
Binnendijkstraat,"[""51.24610127483596"", ""4.155093927305006""]"
Blauwe Hoefwegel,"[""51.263478323572485"", ""4.107123065878537""]"
Blauwestaakweg,"[""51.21553019824347"", ""4.1481430159515496""]"
Bloempotstraat,"[""51.25731342414291"", ""4.15921961143186""]"
Blokstraat,"[""51.22272747208061"", ""4.126924999813071""]"
Boerenkrijglaan,"[""51.25987073016082"", ""4.107730295138624""]"
Boomgaardstraat,"[""51.2569862"", ""4.1481179""]"
Bosstraat,"[""51.2144661"", ""4.130846""]"
Botermelkstraat,"[""51.2277598"", ""4.1552288""]"
Bredestraat,"[""51.2322573"", ""4.0929508""]"
Broekpolderstraat,"[""51.22869"", ""4.1206238""]"
Broekstraat,"[""51.2251174"", ""4.1176394""]"
Brouwershof,"[""51.1910187"", ""4.095276""]"
Buitenstraat,"[""51.2495658"", ""4.0733901""]"
Bunderstraat,"[""51.2012382"", ""4.1226796""]"
Burg.G. Van Landeghemstraat,"[""51.219264"", ""4.1224727""]"
Burg.K.L.Verbraekenstraat,"[""51.2171686"", ""4.1219129""]"
Burgemeester Omer De Meyplein,"[""51.2169295"", ""4.1290217""]"
Burgemeester Van Hovelaan,"[""51.259794"", ""4.102429""]"
Cappaertstraat,"[""51.2425566"", ""4.1124516""]"
Collemanstraat,"[""51.1951749"", ""4.0870471""]"
Dagsterrestraat,"[""51.2037256"", ""4.1471566""]"
Dam,"[""51.214305"", ""4.1226831""]"
Dennenlaan,"[""51.1979057"", ""4.0764915""]"
Dijkstraat,"[""51.2594283"", ""4.1446742""]"
Doelstraat,"[""51.2631677"", ""4.1542692""]"
Donkerstraat,"[""51.2529311"", ""4.0877706""]"
Donkstraat,"[""51.2461239"", ""4.1578608""]"
Doornstraat,"[""51.2114987"", ""4.1370431""]"
Drielindenstraat,"[""51.2043284"", ""4.1543693""]"
Dries,"[""51.1932055"", ""4.0976849""]"
Drieske Nijperstraat,"[""51.2211273"", ""4.128607249082007""]"
Duikeldam,"[""51.2325404"", ""4.1652691""]"
Duinenstraat,"[""51.2513934"", ""4.0831111""]"
Eeckbergstraat,"[""51.2384459"", ""4.1129317""]"
Ettingestraat,"[""51.1898721"", ""4.0980765""]"
F.Courtensstraat,"[""51.2172106"", ""4.1228697""]"
Feuselsdreef,"[""51.2018551"", ""4.0978214""]"
Fort Bedmarstraat,"[""51.264323"", ""4.1131252""]"
Fortstraat,"[""51.2666148"", ""4.1171774""]"
Gaversstraat,"[""51.2086342"", ""4.1207682""]"
Gebroeders De Loorplein,"[""51.2624893"", ""4.11313""]"
Geinsteindestraat,"[""51.1950148"", ""4.1312658""]"
Gentstraat,"[""51.1856346"", ""4.0993996""]"
Grensstraat,"[""51.2915707"", ""4.1633851""]"
Grindstraat,"[""51.2386602"", ""4.1508498""]"
Groenendam,"[""51.2675846"", ""4.1607539""]"
Groenendijk,"[""51.2402833"", ""4.1263935""]"
Groenstraat,"[""51.1834119"", ""4.0884482""]"
Grouwesteenstraat,"[""51.2011964"", ""4.0985898""]"
Hazendijk,"[""51.2401557"", ""4.1258048""]"
Heerweg,"[""51.2084275"", ""4.1175652""]"
Heerwegpad,"[""51.2061062"", ""4.1082282""]"
Heidestraat,"[""51.2543118"", ""4.0889926""]"
Herdershof,"[""51.1903729"", ""4.0952939""]"
Herenstraat,"[""51.2236576"", ""4.1202823""]"
Heuldonk,"[""51.1913075"", ""4.0950071""]"
Heykavel,"[""51.263862"", ""4.1097098""]"
Hoekstraat,"[""51.2861138"", ""4.1507433""]"
Hof Van Duyse,"[""51.2259582"", ""4.1142863""]"
Hof ter Vierschaar,"[""51.191963"", ""4.096627152198275""]"
Hofpachtstraat,"[""51.2274229"", ""4.0760268""]"
Hoge Rode Moer,"[""51.2579701"", ""4.0972643""]"
Hogenakker,"[""51.2495959"", ""4.0863264""]"
Hogenakkerstraat,"[""51.2484303"", ""4.087188""]"
Hogewatergangweg,"[""51.2308631"", ""4.1025927""]"
Holdamstraat,"[""51.2216717"", ""4.0976995""]"
Holstraat,"[""51.2263528"", ""4.0886655""]"
Hoogeindeken,"[""51.20960205"", ""4.142311744148385""]"
Hoogstraat,"[""51.1913062"", ""4.1370493""]"
Houtvoortstraat,"[""51.220939"", ""4.1183552""]"
Hulststraat,"[""51.2566537"", ""4.088227""]"
Jan Henderickxhof,"[""51.257756"", ""4.0893965""]"
Juliana Balstraat,"[""FOUT, geen straat gevonden""]"
Kapelledreef,"[""51.2656568"", ""4.1096897""]"
Kapelstraat,"[""51.2543956"", ""4.0905352""]"
Kardinaal J.Cardijnstraat,"[""51.2190881"", ""4.1235994""]"
Kasteelstraat,"[""51.2150579"", ""4.1302973""]"
Kattestraat,"[""51.2205978"", ""4.0807864""]"
Kemphoekstraat,"[""51.2239872"", ""4.134283""]"
Kemzekestraat,"[""51.2138662"", ""4.0874268""]"
Kerkstraat,"[""51.2170154"", ""4.128875""]"
Kerselarendreef,"[""51.2590344"", ""4.0940416""]"
Kieldrechtstraat,"[""51.2554405"", ""4.0930317""]"
Kijkverdrietstraat,"[""51.2499151"", ""4.1277507""]"
Klapdorp,"[""51.191433"", ""4.0927864""]"
Kleinstraatje,"[""51.2569586"", ""4.1146595""]"
Klingedijkstraat,"[""51.241295"", ""4.0974899""]"
Klingedorp,"[""51.2575676"", ""4.0905835""]"
Klingegrensstraat,"[""51.2601719"", ""4.0933914""]"
Klokputweg,"[""51.2055032"", ""4.1209468""]"
Klompenstraat,"[""51.2219825"", ""4.1275152""]"
Kloosterstraat,"[""51.2614598"", ""4.1543704""]"
Kluizendijkstraat,"[""51.2305551"", ""4.102349""]"
Kluizenhof,"[""51.2273228"", ""4.098562""]"
Kluizenmeersen,"[""51.2289025"", ""4.0860821""]"
Kluizenmolenstraat,"[""51.2338766"", ""4.101945""]"
Koeystraat,"[""51.2355404"", ""4.1575046""]"
Kolshoekstraat,"[""51.2327578"", ""4.0885853""]"
Koning Boudewijnlaan,"[""51.1988189"", ""4.070003""]"
Koningin Fabiolalaan,"[""51.1976123"", ""4.0727382""]"
Koningsdijk,"[""51.2913526"", ""4.1625433""]"
Koningshoeveweg,"[""51.2550744"", ""4.0931904""]"
Koningspolderstraat,"[""51.2612029"", ""4.1199798""]"
Koningstraat,"[""51.249435"", ""4.0855094""]"
Korte Meersstraat,"[""51.2512641"", ""4.1288544""]"
