Straat,Coordinaten
't Pleintje,"[""51.06010042091711"", ""4.580145760217755""]"
Aardvelden,"[""51.06210767445799"", ""4.492528063616749""]"
Abdijstraat,"[""51.07193731780574"", ""4.47565760809018""]"
Abeel,"[""51.067466"", ""4.5480331""]"
Agnes Haegenshof,"[""51.059108949999995"", ""4.4852293""]"
Akelei,"[""51.04711396909191"", ""4.517592895168041""]"
Albertstraat,"[""51.0603003"", ""4.4799112""]"
Antwerpsesteenweg,"[""51.05554405"", ""4.4632411""]"
Aspergevelden,"[""51.045289378939586"", ""4.497478621104984""]"
Auwelanden,"[""51.0657748159976"", ""4.505457977818108""]"
Baanvelden,"[""51.0497174"", ""4.5327108""]"
Baronsdreef,"[""51.062509278203244"", ""4.596624628275584""]"
Beatrijsstraat,"[""51.0748834"", ""4.497474486984061""]"
Beekvelden,"[""51.0694136549644"", ""4.499760391184465""]"
Begoniastraat,"[""51.065563471489085"", ""4.52557060400822""]"
Bemortel,"[""51.08090017128557"", ""4.534694101144444""]"
Bergstraat,"[""51.0499917656415"", ""4.5645950942926685""]"
Berkelei,"[""51.04392059980693"", ""4.515692906056125""]"
Berkenhoekstraat,"[""51.05458949465581"", ""4.568863220414676""]"
Berlaarbaan,"[""51.04775832927167"", ""4.529828074884746""]"
Beukendreef,"[""51.075202950000005"", ""4.4834528""]"
Bloemenveldweg,"[""51.05732850617538"", ""4.48701710066953""]"
Boekweitlaan,"[""51.0593491"", ""4.5840476""]"
Bollekensstraat,"[""51.056165170249145"", ""4.490384544327841""]"
Borchtgrachtlei,"[""51.06157410742823"", ""4.529233172816931""]"
Borgersteinlei,"[""51.03916992657941"", ""4.508801678666353""]"
Bosbeekweg,"[""51.071198402725095"", ""4.534971217948609""]"
Boshuislei,"[""51.06432385"", ""4.5692228""]"
Bosstraat,"[""51.06935584483922"", ""4.575846421460575""]"
Bosveld,"[""51.05913347861928"", ""4.53546933396449""]"
Boterhoek,"[""51.07942875"", ""4.5896583""]"
Bredeheide,"[""51.0707672"", ""4.5109675""]"
Brouwerijstraat,"[""51.07119174370312"", ""4.530746315454099""]"
Cammaersdreef,"[""51.06983034026978"", ""4.5407062826455356""]"
Clemenceaustraat,"[""51.055797"", ""4.4798706""]"
Daliastraat,"[""51.0637241"", ""4.5306216""]"
De Billemontstraat,"[""51.06947285"", ""4.49906315""]"
De Raedtstraat,"[""51.06981034463215"", ""4.50030838146185""]"
Deegmortels,"[""51.07659456856116"", ""4.524767668951363""]"
Den Haes,"[""51.07329229223342"", ""4.5370402847678335""]"
Den Rooi,"[""51.07655820033068"", ""4.514377461788484""]"
Dennestraat,"[""51.04671532582639"", ""4.510855605695031""]"
Deudondreef,"[""51.0452784"", ""4.5030178""]"
Dijk,"[""51.05530660297916"", ""4.57264278111204""]"
Dijksteinlaan,"[""51.041876622116355"", ""4.499249506774957""]"
Dijkstraat,"[""51.0446494885559"", ""4.498707177664938""]"
Donderheide,"[""FOUT, straat in foute gemeente gevonden""]"
Donk,"[""51.050631559810476"", ""4.500605019095295""]"
Dorp,"[""51.0622693882604"", ""4.580087229145017""]"
Dr.Laenenstraat,"[""51.061205599999994"", ""4.532897""]"
Dreefvelden,"[""51.063849000000005"", ""4.540202069770198""]"
Drevendaal,"[""51.06684691434297"", ""4.515934155649821""]"
Drieraderstraat,"[""FOUT, geen straat gevonden""]"
Duffelsesteenweg,"[""51.0784507224647"", ""4.527943287659084""]"
Duffelstraat,"[""51.07899808583642"", ""4.513817937544124""]"
Duivelshoek,"[""51.043022751708044"", ""4.566454971102472""]"
Ekelenhoek,"[""51.0579813"", ""4.4831894""]"
Erfstraat,"[""51.0701184"", ""4.598797749999999""]"
Ernest Claesstraat,"[""51.07277615"", ""4.498770412431211""]"
Esdoornstraat,"[""51.060415168327786"", ""4.474759567697425""]"
Felix Brouwerslei,"[""51.05968275"", ""4.5750228""]"
Fermerijstraat,"[""51.07224561217922"", ""4.481431426647691""]"
Fort,"[""51.05962059148269"", ""4.5151928434992685""]"
Fortsesteenweg,"[""51.0708549"", ""4.5068441""]"
Frans Verschorenlaan,"[""51.0449363"", ""4.5005375999999995""]"
Fruitenborglei,"[""51.066427966040365"", ""4.501006544946405""]"
Gasthuisvelden,"[""51.071061912642094"", ""4.555726287217341""]"
Gelaagputten,"[""FOUT, geen straat gevonden""]"
Geleeg,"[""51.073719879742676"", ""4.5685722223382665""]"
Generaal Deschachtstraat,"[""51.06624927188848"", ""4.527839759856716""]"
Gerststraat,"[""51.06084257579403"", ""4.579867898560762""]"
Goede Herderlaan,"[""51.0428205"", ""4.4977322""]"
Goorboslei,"[""51.0707083"", ""4.5018658""]"
Grensstraat,"[""51.070998902568746"", ""4.568458893940162""]"
Groenstraat,"[""51.0570152417053"", ""4.49127129244282""]"
Hagelsteinweg,"[""51.06087299631686"", ""4.5373848726538375""]"
Hageweg,"[""51.06350140261335"", ""4.546039588727954""]"
Halewijnstraat,"[""51.07429833609426"", ""4.5331431234294""]"
Haverstraat,"[""51.05889415384466"", ""4.580081254515336""]"
Hazelaarstraat,"[""51.04631745284669"", ""4.512244555045824""]"
Heidestraat,"[""51.07162124525284"", ""4.48002586167573""]"
Heidijk,"[""51.0705541"", ""4.5180441""]"
Heiken,"[""51.0471115"", ""4.5311766""]"
Heisbroek,"[""51.05585435382049"", ""4.497672737110048""]"
Heisbroekweg,"[""51.053884022681686"", ""4.501804436428643""]"
Heistukken,"[""51.05863675"", ""4.4748714""]"
Heivelden,"[""51.045924792185154"", ""4.550273830848935""]"
Hertstraat,"[""51.06966579918995"", ""4.494814953736169""]"
Hertvelden,"[""51.067776696508915"", ""4.496596059253253""]"
Hoeveweg,"[""FOUT, straat in foute gemeente gevonden""]"
Hogerheide,"[""51.04654670813979"", ""4.501032518388508""]"
Hogevelden,"[""51.060387627616464"", ""4.472432542936623""]"
Hondsbossen,"[""51.070854049999994"", ""4.546068142552839""]"
Hooghuisweg,"[""51.05167771087642"", ""4.511004379124828""]"
Hoogland,"[""51.037516451141215"", ""4.510991365010762""]"
Hoogstraat,"[""51.051213326122884"", ""4.58736843713856""]"
Houweikenlei,"[""51.06573297817071"", ""4.570982880637738""]"
Hoveniersstraat,"[""51.05651829603258"", ""4.505747423274673""]"
Hulzen,"[""FOUT, straat in foute gemeente gevonden""]"
Ijzerenveld,"[""51.042622"", ""4.5166966""]"
Ijzersteinlei,"[""51.06022037099752"", ""4.5887773807633625""]"
Irisstraat,"[""51.052329816923134"", ""4.466338015803111""]"
Jan Pieter de Nayerlaan,"[""51.070148849999995"", ""4.501384099999999""]"
Jozef Van Esschestraat,"[""51.03645352377802"", ""4.51341596518696""]"
Kalkoenstraat,"[""51.071321212628035"", ""4.485642771007246""]"
Kanadastraat,"[""51.0590524"", ""4.4768372""]"
Kapelweg,"[""51.04176381714041"", ""4.514743973889556""]"
Kardinaal Cardijnstraat,"[""51.06451121290283"", ""4.528679150569633""]"
Kastanjelei,"[""51.054877414311996"", ""4.519752059767665""]"
Kasteellaan,"[""51.04871876952739"", ""4.498379314498774""]"
Katelijnestraat,"[""51.0689101"", ""4.5375239999999994""]"
Kauwendaal,"[""51.05188425"", ""4.488471199999999""]"
Kegelshoeklaan,"[""51.058562872827245"", ""4.57866538977483""]"
Kegelslei,"[""51.056581220877376"", ""4.584502234598161""]"
Keizerstraat,"[""51.05505956513968"", ""4.470802182578071""]"
Kempenarestraat,"[""51.0592212"", ""4.5257721""]"
Kerkhoflei,"[""51.065457391693634"", ""4.57520623816153""]"
Kievitstraat,"[""51.0605164"", ""4.4732155""]"
Klavervelden,"[""51.07476534252675"", ""4.584584382745132""]"
Kleistraat,"[""51.06250614458572"", ""4.509545365784379""]"
Klemlei,"[""51.06916638749584"", ""4.580278731476768""]"
Kleuterstraat,"[""51.08722084231823"", ""4.52902501700427""]"
Kloosterlei,"[""51.06337229936538"", ""4.5769632966094695""]"
Koelarenvelden,"[""51.0717687800352"", ""4.578914670422594""]"
Korenstraat,"[""51.05908325894076"", ""4.581297597208205""]"
Korte Mussepi,"[""51.04925262183165"", ""4.506109110714519""]"
Kouter,"[""51.05500892007667"", ""4.533200638607079""]"
Krekelenbergweg,"[""51.084245233525905"", ""4.529384068433161""]"
Kretenborg,"[""51.04370926511352"", ""4.503752582261496""]"
Kriekenveld,"[""51.046851422807926"", ""4.503527088961866""]"
Kruisstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Kruisweglei,"[""51.0595798810293"", ""4.569319809128657""]"
Kuikenstraat,"[""51.06809352224165"", ""4.473640307898378""]"
Lagerheide,"[""51.046204599999996"", ""4.500401549999999""]"
Lambertusstraat,"[""51.06931902613791"", ""4.502120794151236""]"
Lange Zandstraat,"[""51.0695892"", ""4.4867235""]"
Leemstraat,"[""51.059126345703774"", ""4.5896764016204585""]"
Leeuwerikstraat,"[""51.086032216955765"", ""4.518835764963411""]"
Leliestraat,"[""51.0674971"", ""4.537610450000001""]"
Lemanstraat,"[""51.067317"", ""4.5355825""]"
Lemenhoekstraat,"[""51.05689985668865"", ""4.599595187896805""]"
Leyland,"[""51.067399099999996"", ""4.52165265""]"
Liersesteenweg,"[""51.0644438"", ""4.48130745""]"
Lijsterstraat,"[""51.05841782345227"", ""4.47260740880671""]"
Lindestraat,"[""51.05874498257323"", ""4.475984524067178""]"
Lintseheide,"[""51.086979205604095"", ""4.5388557308405195""]"
Lombaardstraat,"[""51.0510851"", ""4.5413819""]"
Lozenhoek,"[""51.048638447463624"", ""4.521831558626863""]"
Maanhoeveweg,"[""51.0479135"", ""4.5076495""]"
Markt,"[""51.0702939918971"", ""4.532617641632032""]"
Mechelbaan,"[""51.05098124015357"", ""4.5421717204074135""]"
Mechelsesteenweg,"[""51.0496509"", ""4.5135294""]"
Meidoornstraat,"[""51.044664592664084"", ""4.505438670972321""]"
Merelstraat,"[""51.0594210333621"", ""4.471480623738313""]"
Midzelen,"[""51.0607962"", ""4.502888265104984""]"
Moermansstraat,"[""51.047795382232806"", ""4.496567090433048""]"
Molenlei,"[""51.06355908081194"", ""4.582797175126015""]"
Molenstraat,"[""51.06485625015508"", ""4.599035568815263""]"
Molenvelden,"[""51.06471954951304"", ""4.486764729985789""]"
Muilshoek,"[""51.076821"", ""4.536757""]"
Mussepi,"[""51.059264713334564"", ""4.49624865946259""]"
Nachtegaalstraat,"[""51.059607335927204"", ""4.472615680273264""]"
Netestraat,"[""51.07128134798978"", ""4.478377971470439""]"
Nieuwstraat,"[""51.0602184668699"", ""4.581686616517194""]"
Offendonkstraat,"[""51.07343644379269"", ""4.533073574295245""]"
Olmstraat,"[""51.046774787759205"", ""4.509085603445771""]"
Otterbeekweg,"[""51.05068024063189"", ""4.510093945822452""]"
Oude Bergstraat,"[""51.05425194627812"", ""4.564721978302917""]"
Oudestraat,"[""51.03894276705923"", ""4.515427649561549""]"
Parsivalstraat,"[""51.07205779830778"", ""4.498032702538322""]"
Patersweg,"[""51.055862349297065"", ""4.540196619939611""]"
Perelei,"[""51.066257570379605"", ""4.602938977709134""]"
Peutersweg,"[""51.05311568505365"", ""4.519377982556538""]"
Pleinstraat,"[""51.070002812690376"", ""4.528472030749822""]"
Pompeloerestraat,"[""51.081254477602016"", ""4.513200685364023""]"
Populierenstraat,"[""51.0594165"", ""4.4781815""]"
Potputlei,"[""51.05262891914105"", ""4.514353466140498""]"
Prinsenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Putsesteenweg,"[""51.0348386"", ""4.51543355""]"
Reinaertstraat,"[""51.07251680883166"", ""4.530129935961267""]"
Rozendaal,"[""51.069716906077836"", ""4.466693375102431""]"
Rozendaalweg,"[""51.060342399999996"", ""4.46971895""]"
Rozenhoutlei,"[""51.06596883166366"", ""4.471009795484623""]"
Rozenlaan,"[""51.05098615"", ""4.5423572""]"
Rozestraat,"[""51.06495929723031"", ""4.527510765576768""]"
Scheerslei,"[""51.06752277192959"", ""4.595366980460613""]"
Schorsemolenstraat,"[""51.0380261"", ""4.5133369""]"
Schouwvelden,"[""51.063874"", ""4.4809719""]"
Schrans,"[""51.06259330609607"", ""4.566337829963481""]"
Schranslei,"[""51.0631402"", ""4.56892685""]"
Schriekhoeveweg,"[""51.065116241257144"", ""4.494948822914265""]"
Schuurvelden,"[""51.08509168925587"", ""4.525804126846374""]"
Seminarielei,"[""51.04258499713896"", ""4.509428995270786""]"
Sint-Libertusstraat,"[""51.036020199999996"", ""4.5135472""]"
Sint-Michielsstraat,"[""51.057785933891864"", ""4.484971657921849""]"
Slameuterstraat,"[""51.04731953437602"", ""4.5758310166489595""]"
Slekhoevevelden,"[""51.071957680808204"", ""4.507757517340913""]"
Smalleweg,"[""51.03688605"", ""4.5120854999999995""]"
Spie,"[""51.05210815"", ""4.57733255""]"
Spoorweglei,"[""51.06186172846349"", ""4.496740345651327""]"
Sporkenboslei,"[""FOUT, geen straat gevonden""]"
Stadeycken,"[""51.06877241638223"", ""4.471886306156478""]"
Stationsplein,"[""51.0706591"", ""4.4958343""]"
Stationsstraat,"[""51.07028661082275"", ""4.513325662678871""]"
Steenputten,"[""51.05674142170599"", ""4.565809438269095""]"
Stenenmolenstraat,"[""51.037698795315755"", ""4.513878137400209""]"
