Straat,Coordinaten
Appelstraat,"[""51.284974099302886"", ""3.588209572802056""]"
Baeyensmolenstraat,"[""51.2874156830121"", ""3.549850934874875""]"
Barbarapolder,"[""51.28564923425495"", ""3.669962747196223""]"
Bellekensstraat,"[""51.27741192789614"", ""3.648704308184333""]"
Bentillepolder,"[""51.25893865939002"", ""3.5778481286830335""]"
Bentillestraat,"[""51.2463562492398"", ""3.6028954684655803""]"
Beoostereedepolderdijk,"[""51.2549966"", ""3.5624025""]"
Beukenhof,"[""51.24089319359991"", ""3.519627398585806""]"
Bevrijdingsstraat,"[""51.29901115723296"", ""3.595901486850418""]"
Bisdomstraat,"[""51.24666670523089"", ""3.597995868812507""]"
Blekkersdijk,"[""51.27706921438099"", ""3.6559295698240915""]"
Blokkreekweg,"[""51.258803711749906"", ""3.5313819935899042""]"
Boerekreekpad,"[""51.26086138384969"", ""3.5724569100534427""]"
Boerendijk,"[""51.26500368318502"", ""3.5775741604064226""]"
Bogaard,"[""51.24255014942306"", ""3.525346012285397""]"
Bomlozenput,"[""51.25826796573339"", ""3.621080631199432""]"
Bosweg,"[""51.24957232707324"", ""3.568862186172715""]"
Braamdijk,"[""51.26497689250522"", ""3.627638804716404""]"
Bredeweg,"[""51.2241178503075"", ""3.5023594005897696""]"
Brouwersweg,"[""51.2501478508425"", ""3.5709830175825967""]"
Burg. Van de Keerestraat,"[""51.2740373897395"", ""3.6252028686552955""]"
Caatsweg,"[""51.2377012"", ""3.5339515""]"
Calusdijk,"[""51.28094142631721"", ""3.6469034458903073""]"
Calusstraat,"[""51.27608120607656"", ""3.6174139705376698""]"
Casteleynstraat,"[""51.28206855601973"", ""3.5767717127308756""]"
Celie,"[""51.22636285129269"", ""3.4880131136603367""]"
Celiekerkweg,"[""51.228833"", ""3.5199732""]"
Christoffelpolder,"[""51.26791722628708"", ""3.6437537938693043""]"
Clara Verheyenstraat,"[""51.2772138"", ""3.65396065""]"
Cocquytpolderdijk,"[""51.25190583202036"", ""3.609401248468766""]"
Comer-Graafjansdijk,"[""51.24612824662203"", ""3.5443782389289886""]"
Comercaatsweg,"[""51.24701160266597"", ""3.54960495852525""]"
Comerrattenpad,"[""51.24634508780182"", ""3.552169609523024""]"
Dorpsstraat,"[""51.241467444068974"", ""3.5263979528980185""]"
Dosweg,"[""51.246549338266746"", ""3.5599525757810193""]"
Draaiputstraat,"[""51.25633877622222"", ""3.5444383586112225""]"
Drijdijk,"[""51.28030057957009"", ""3.586808259276008""]"
Dweirsweg,"[""51.22446223068244"", ""3.535829207234453""]"
Eerstestraat,"[""51.22860985"", ""3.5323337""]"
Eikendal,"[""FOUT, geen straat gevonden""]"
Fleinus,"[""51.248790150000005"", ""3.5697883""]"
Ganzenstraatje,"[""51.222102"", ""3.5051458""]"
Godelieves,"[""51.25366580774177"", ""3.5477469187411432""]"
Goeleven,"[""51.28842432186962"", ""3.5683802791435864""]"
Goochelaarstraat,"[""51.23714689163261"", ""3.5847922638553182""]"
Graafjansdijk,"[""51.246997262343555"", ""3.594098415465906""]"
Gravejanspad,"[""51.246655604447824"", ""3.55621880809528""]"
Groenendijk,"[""51.27056189913036"", ""3.5397341431335514""]"
Groeneweg,"[""51.2451463741053"", ""3.542518331559207""]"
Groenstraat,"[""51.27395768120349"", ""3.5470566216425445""]"
Grote Boterhoek,"[""FOUT, geen straat gevonden""]"
Heistraat,"[""51.25075959334876"", ""3.6211120693440364""]"
Hellenpolder,"[""51.25900399624864"", ""3.646349263768732""]"
Heskenstraat,"[""FOUT, geen straat gevonden""]"
Hogestraat,"[""51.27173997652568"", ""3.581883641874877""]"
Hontseindestraat,"[""51.28225222928222"", ""3.518603212912888""]"
Hooghuys,"[""51.26428014097304"", ""3.555234928627788""]"
Hoogstuk,"[""51.245029492944674"", ""3.5510118283042145""]"
Hoogte,"[""FOUT, geen straat gevonden""]"
Houtlanddijk,"[""51.26490139937439"", ""3.5856744731391403""]"
Jeronimuspolder,"[""51.29017068760548"", ""3.588045805508511""]"
Jeronymus Lauwerijnstraat,"[""51.27303366126949"", ""3.6273258760128413""]"
Kantijne,"[""51.24635780328329"", ""3.528478768796089""]"
Kantijnstraat,"[""51.24347240399192"", ""3.5232553950444796""]"
Kerkenhofstede,"[""FOUT, straat in foute gemeente gevonden""]"
