Straat,Coordinaten
's Hondshuffel,"[""50.93227986712348"", ""3.86110380420884""]"
Aalmoezenie,"[""50.915905274384095"", ""3.856951440364108""]"
Bakkerswegel,"[""50.92992856164932"", ""3.8774152798087664""]"
Balei,"[""50.9165853"", ""3.8786314""]"
Beekstraat,"[""50.916334850000005"", ""3.86162705""]"
Benedenstraat,"[""50.94764214817149"", ""3.873226921224095""]"
Bergstraat,"[""50.95047422838991"", ""3.884911459999096""]"
Bernard Kempstraat,"[""50.9317591200446"", ""3.916246729616906""]"
Beukenlaan,"[""50.922470869352786"", ""3.869954214922745""]"
Binnenstraat,"[""50.93422043591923"", ""3.899624157197088""]"
Blareveld,"[""50.9213372"", ""3.8333802""]"
Bockstaele,"[""50.923060844085086"", ""3.82735715646065""]"
Boekhoutstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Bosstraat,"[""50.9144876590917"", ""3.8622479033844455""]"
Bovenstraat,"[""50.91880989698235"", ""3.8462879917431754""]"
Broekveld,"[""50.920308003391106"", ""3.8776476318161803""]"
Bruisbeke,"[""50.93101391846213"", ""3.8388472764374995""]"
Bunderwegel,"[""50.92115367247795"", ""3.866697519195619""]"
Bussegem,"[""50.9491239805129"", ""3.8894016568394045""]"
Cotthem,"[""50.9078506"", ""3.853329""]"
Cruysrede,"[""50.95210417743062"", ""3.8688025750290302""]"
De Coomansgang,"[""50.91981331169323"", ""3.856429049924484""]"
Den Dryberg,"[""50.92876626453084"", ""3.8340624684819495""]"
Diepenborgstraat,"[""50.92990784790945"", ""3.918281764894552""]"
Diepestraat,"[""50.9152094"", ""3.8632719""]"
Doelstraat,"[""50.922009501185585"", ""3.8627995431906537""]"
Donckershof,"[""50.9167698528549"", ""3.857161934667457""]"
Dreefstraat,"[""50.94710766133334"", ""3.8752450883516385""]"
Dries,"[""50.92292196627777"", ""3.877021716913444""]"
Drieskenswegel,"[""50.9193015"", ""3.8483852""]"
Edgard Tinelstraat,"[""50.919646548593825"", ""3.861934344848493""]"
Eiland,"[""50.92345363986475"", ""3.8620230103378135""]"
Engelseveld,"[""FOUT, geen straat gevonden""]"
Espenhoek,"[""50.9097482"", ""3.8458452""]"
Fabrieksstraat,"[""50.9194262"", ""3.861875""]"
Gebuurtestraatje,"[""50.928028593009444"", ""3.92030717861043""]"
Gentsesteenweg,"[""FOUT, geen straat gevonden""]"
Gentsestraat,"[""50.92158571323814"", ""3.9087715447618""]"
Groenestraat,"[""50.93648167944129"", ""3.8832878083798086""]"
Hagelkouter,"[""50.933295736753216"", ""3.867395924059507""]"
Halleweg,"[""50.92541725459418"", ""3.908859373496229""]"
Hasselt-ten-Broek,"[""50.94192491542675"", ""3.8884576076941197""]"
Hauwerzele,"[""50.9215189"", ""3.844305""]"
Hazenakkerstraat,"[""50.926372482059605"", ""3.9212170336690058""]"
Heetstraat,"[""50.92853816860967"", ""3.910587266035676""]"
Heibosstraat,"[""50.93528093593452"", ""3.9131811097954925""]"
Heide,"[""50.94759985119644"", ""3.8744214538426247""]"
Hemelrijk,"[""50.935473349999995"", ""3.8968808""]"
Hoeksken,"[""50.9214031"", ""3.8516373""]"
Hofkouter,"[""50.92065545755282"", ""3.8550704677230905""]"
Hoge Hellesemweg,"[""50.94636360432808"", ""3.8642262642339227""]"
Hoogbavegemstraat,"[""50.944680691756"", ""3.860001167200382""]"
Hoogkouterstraat,"[""50.94374484432186"", ""3.876386342347721""]"
Houwstraat,"[""50.94764755"", ""3.8513718""]"
IJshoutestraat,"[""50.92907887190724"", ""3.828798663833268""]"
Kapellekouter,"[""50.91827543673928"", ""3.8674052096911975""]"
Kapelleweg,"[""50.9158476"", ""3.8629428""]"
Kattenbos,"[""50.94341328680406"", ""3.92321002147123""]"
Katveld,"[""50.93742846260713"", ""3.90911730517116""]"
Keiberg,"[""50.928794217500894"", ""3.878338124429701""]"
Kerkkouterstraat,"[""50.94502314014582"", ""3.867877443442207""]"
Kerkstraat,"[""50.929467679382135"", ""3.8805760215282703""]"
Klein Zottegem,"[""50.92535199043658"", ""3.880800743200815""]"
Kloosterstraat,"[""50.91825274520342"", ""3.8571523283935605""]"
Kortseveld,"[""50.929550768392474"", ""3.844470965490281""]"
Krabbenijkstraat,"[""50.92063646678588"", ""3.8679729075256697""]"
Langeveld,"[""50.9171267707876"", ""3.855501490658612""]"
Leenstraat,"[""50.94287865057274"", ""3.857929698255483""]"
Lege Hellesemweg,"[""50.94704885307984"", ""3.8647961619493922""]"
Letterbroek,"[""50.93399336270579"", ""3.8903571140024615""]"
Letterhoutemdorp,"[""50.926742052409"", ""3.880413250767494""]"
Lindestraat,"[""50.94474390045751"", ""3.8831955468190333""]"
Louis-Paul Boonstraat,"[""50.93575536829559"", ""3.904078850354677""]"
Luikerveld,"[""50.94059197384332"", ""3.9021099910390378""]"
Maalbroekstraat,"[""50.941093003464665"", ""3.8581481578465846""]"
Marktplein,"[""50.9208007087403"", ""3.8591913862991127""]"
Meulestraat,"[""50.938614672735056"", ""3.868203772178622""]"
Mgr. Meulemanstraat,"[""50.92273201169405"", ""3.8501534280408674""]"
Molenbeekstraat,"[""50.944650789995066"", ""3.8699711169404925""]"
Molenkouter,"[""50.92386580158154"", ""3.8742820499282153""]"
Morelgem,"[""50.92342530451544"", ""3.894933709592631""]"
Muizenhoek,"[""FOUT, geen straat gevonden""]"
Nederweg,"[""50.932581996901554"", ""3.868015728714761""]"
Nekkerstraat,"[""50.947568414182754"", ""3.9174668949938023""]"
Nieuwgrachtstraat,"[""50.92627428362959"", ""3.9158648674038634""]"
Olmenlaan,"[""50.92199463640803"", ""3.867882515620027""]"
Oordegemstraat,"[""50.93702153916138"", ""3.907318747999176""]"
Oudeheerweg,"[""FOUT, geen straat gevonden""]"
Oudeweg,"[""50.9242482"", ""3.8718952""]"
Paardemarkt,"[""50.920942797588"", ""3.8533037990030965""]"
Paepevelden,"[""50.945989265832665"", ""3.8627847657094656""]"
Peperstraatje,"[""50.928871927004124"", ""3.8970483958154403""]"
Polbroek,"[""50.9149509"", ""3.8516315""]"
Roomstraat,"[""50.944221672473006"", ""3.9068684618451472""]"
Rot,"[""50.9252887031882"", ""3.8841446241441657""]"
Schoolstraat,"[""50.923805"", ""3.8559858874316753""]"
Senator Verbrugghenlaan,"[""50.92372085748281"", ""3.8575039485310363""]"
Sint-Antoniusstraat,"[""50.94425439746221"", ""3.8659097332964305""]"
Sint-Fledericusstraat,"[""50.94443705960835"", ""3.9006709409953104""]"
Sint-Lievensstraat,"[""50.9204537"", ""3.8672405""]"
