Straat,Coordinaten
's Graven Eke,"[51.1383565, 4.0092788]"
Aartdreef,"[51.1745925, 4.0264872]"
Abingdonstraat,"[51.156619, 4.144238]"
Adolf Daensplein,"[51.15701745, 4.136628136930227]"
Aerschotstraat,"[51.1648121, 4.1322461]"
Albert Bruggemanwegel,"[51.1664891, 4.1537756]"
Albrecht Rodenbachstraat,"[51.1668643, 4.1258753]"
Alice Nahonstraat,"[51.1657507, 4.1165496]"
Amsterdamstraat,"[51.1817525, 4.1332093]"
André Van Gassepark,"[51.1720753, 4.1281805]"
Ankerstraat,"[51.1659778, 4.1465802]"
Anthonis De Jonghestraat,"[51.1873123, 4.1935265]"
Anthueniswegel,"[""FOUT, geen straat gevonden""]"
Antwerpse Steenweg,"[51.1679823, 4.1530819]"
Apostelstraat,"[51.1639383, 4.1435851]"
Arkestraat,"[51.1435612, 4.1055395]"
Armwegel,"[51.1916931, 4.1774847]"
Arnhoutstraat,"[51.1469026, 4.1105987]"
Athenestraat,"[51.1835374, 4.135334]"
Atomiumstraat,"[51.1748827, 4.1359746]"
August De Boeckstraat,"[51.1576428, 4.1544474]"
August De Bontestraat,"[51.1710218, 4.1307647]"
August Nobelsstraat,"[51.1606385, 4.1453846]"
August Vermeylenstraat,"[51.1653062, 4.1546035]"
Augustin Smetwegel,"[51.1760035, 4.0637653]"
Azalealaan,"[51.162919, 4.1560435]"
Baenslandstraat,"[51.1494107, 4.1400462]"
Baron Dhanisstraat,"[51.1612811, 4.1363224]"
Baudelopad,"[51.1851982, 4.02759]"
Beekstraat,"[51.1603084, 4.1361246]"
Beeldstraat,"[51.1717932, 4.2079769]"
Beenaertwijk,"[51.171912500000005, 4.128396798240368]"
Begijnenstraat,"[51.1764591, 4.1526135]"
Begoniastraat,"[51.1606841, 4.1602372]"
Bekelstraat,"[51.1853631, 4.137537]"
Bellemansstraat,"[51.1469816, 4.0616475]"
Bellestraat,"[51.1753316, 4.1773541]"
Belseledorp,"[51.1463789, 4.0928795]"
Belselewegel,"[51.154962, 4.058475]"
Beneluxstraat,"[51.1558984, 4.1372082]"
Bergdreef,"[51.1353868, 4.0882655]"
Bergstraat,"[51.1341821, 4.0958111]"
Berkenhof,"[51.19188, 4.1767904]"
Berkenlaan,"[51.1781697, 4.1447177]"
Berlijnplein,"[51.1817055, 4.1320278]"
