Straat,Coordinaten
Aststraat,"[""50.719929490328624"", ""3.3469339060684433""]"
Avelgemstraat,"[""50.7334819925077"", ""3.3833711693501973""]"
Baljuwstraat,"[""50.729141799999994"", ""3.38302025""]"
Bosstraat,"[""50.741267010274605"", ""3.3975892683187876""]"
Brugstraat,"[""50.7287676"", ""3.3881005999999996""]"
Catoirelaan,"[""50.72937672066863"", ""3.328736574505544""]"
Doornikseweg,"[""50.72966879429977"", ""3.374706116131146""]"
Dries,"[""50.721997212904945"", ""3.3357616460728914""]"
Eikstraat,"[""50.74034003381763"", ""3.386945196658036""]"
Elleboogstraat,"[""50.72952861686474"", ""3.3816502627705636""]"
Gaverdreef,"[""50.73184181485168"", ""3.372775939292225""]"
Gaverstraat,"[""50.73397646827846"", ""3.3706020560801875""]"
Gemeenteplein,"[""50.73028679503645"", ""3.3834465112267167""]"
Godshuisstraat,"[""50.71975349628896"", ""3.3537423733413183""]"
Groenstraat,"[""50.73172310619844"", ""3.3597836090668176""]"
Haagstraat,"[""50.73162092385493"", ""3.3513709505331204""]"
Hellenhoek,"[""50.72442238771293"", ""3.3583325634088665""]"
Helstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Herdersstraat,"[""50.746741831137754"", ""3.3832188228804316""]"
Ijzeren Bareel,"[""50.7233586860677"", ""3.331285007636947""]"
Industriepark,"[""50.72302118227442"", ""3.32764077275597""]"
Jacquetbosstraat,"[""50.72819424740032"", ""3.33522162892775""]"
Justitiestraat,"[""50.72905118534954"", ""3.3279248243416264""]"
Kasteeldreef,"[""50.73738425"", ""3.3814960000000003""]"
Kerkstraat,"[""50.730480715759185"", ""3.382762710765999""]"
Kouterbosweg,"[""FOUT, geen straat gevonden""]"
Kraaibos,"[""50.735053456136306"", ""3.3608208432171893""]"
Lagestraat,"[""50.71893047941927"", ""3.353371172886719""]"
Lefebvrelaan,"[""50.72180600826055"", ""3.3483426616570635""]"
Lijsterstraat,"[""50.733702449999996"", ""3.3862747""]"
Make Bekestraat,"[""50.73655228434653"", ""3.36323786275598""]"
Mezenstraat,"[""50.7344406748089"", ""3.3858759195083286""]"
Moeras,"[""50.71884959946995"", ""3.347597527784733""]"
Molenstraat,"[""50.720407"", ""3.34627515""]"
Nachtegaalstraat,"[""50.7331269"", ""3.3857388999999998""]"
Onderlandenstraat,"[""50.73406887703061"", ""3.3883202392768905""]"
Oude Dottenijse Weg,"[""50.72951873100994"", ""3.328013104362853""]"
Oudenaardseweg,"[""50.7222624"", ""3.3632143""]"
Pijpestraat,"[""50.735799843714595"", ""3.3454775867890794""]"
Robecijnplein,"[""50.718611002719435"", ""3.3551314128329564""]"
Rokershoek,"[""50.746152288223584"", ""3.387853513437838""]"
Rozenstraat,"[""50.72832282647317"", ""3.33124514376153""]"
ST. Amandswijk,"[""50.719540636655864"", ""3.3564616008057993""]"
ST.-Janswijk,"[""FOUT, geen straat gevonden""]"
Scheldekaai,"[""50.72936254598985"", ""3.376201822999311""]"
Sluisweg,"[""50.720871849999995"", ""3.3644769500000002""]"
Stationsstraat,"[""FOUT, geen straat gevonden""]"
Veldstraat,"[""50.71883087724288"", ""3.3525583352267074""]"
Vierabelen,"[""50.746665910041386"", ""3.3806805845498378""]"
Vinkenstraat,"[""50.73268015"", ""3.3850554500000003""]"
Vredeshof,"[""50.73137505602903"", ""3.385682267112385""]"
Vromanlaan,"[""50.72094291709893"", ""3.3481037906947897""]"
Waterkeer,"[""50.7316185836265"", ""3.3831846811763624""]"
Weg naar Bossuit,"[""50.74735480257285"", ""3.3884785230356944""]"
Wilgenstraat,"[""50.72793138274962"", ""3.331959955549627""]"
