Straat,Coordinaten
's Hertogendijk,"[""51.3266287323619"", ""4.384012696146494""]"
A.C.Swinnesstraat,"[""FOUT, geen straat gevonden""]"
Aalmoezenier Cuyperslaan,"[""51.32635587370169"", ""4.3747114221400265""]"
Abelenlaan,"[""51.31301871503348"", ""4.405169083976666""]"
Abtsdreef,"[""51.34460250914847"", ""4.345255316660665""]"
Acacialaan,"[""51.31125023200946"", ""4.401489008660127""]"
Akkerstraat,"[""51.30816736953619"", ""4.399708827740545""]"
Antwerpse Steenweg,"[""51.30372080798877"", ""4.409357294361322""]"
August Huybrechtslaan,"[""51.30384098824582"", ""4.4045852743227725""]"
Begijnhof,"[""51.33067893369491"", ""4.366602927380769""]"
Berkenlaan,"[""51.310152776781614"", ""4.40407197252769""]"
Betje van Camppad,"[""FOUT, geen straat gevonden""]"
Beukenlaan,"[""51.31265865252845"", ""4.408066760306547""]"
Binnenpad,"[""51.331328470598336"", ""4.373314492008135""]"
Binnenpadplein,"[""51.33055128435218"", ""4.370573272650954""]"
Binnenweg,"[""51.305901114476775"", ""4.402617079376697""]"
Blokweg,"[""51.299545553921796"", ""4.401530264618635""]"
Bos,"[""51.3294084"", ""4.3692197""]"
Boterse Weg,"[""51.3108442597799"", ""4.37894523076085""]"
Brouwersstraat,"[""51.33057515554266"", ""4.365565280133651""]"
Bunderdijklaan,"[""51.30903015"", ""4.39942395""]"
Burg. J.L. Van der Molenplein,"[""51.3288705"", ""4.37392165""]"
Burgemeester Hermanslaan,"[""51.32864494058016"", ""4.375017410801479""]"
Buxuslaan,"[""51.313305465579525"", ""4.398674857870196""]"
Buynderpad,"[""FOUT, geen straat gevonden""]"
Canadalaan,"[""51.35508270233163"", ""4.38827958966467""]"
Ceciliasteegje,"[""51.330693041313154"", ""4.364840653983082""]"
Cederlaan,"[""51.30987245"", ""4.40372935""]"
Conservenweg,"[""51.32860084925034"", ""4.3648292420053725""]"
Danckerse Weg,"[""51.3397354"", ""4.3823016""]"
De Croone,"[""51.34920459912067"", ""4.393150450193865""]"
De Helle,"[""51.347748949999996"", ""4.3948975""]"
De Pretlaan,"[""51.34666219209689"", ""4.393708552910408""]"
Dennenlaan,"[""51.3104545"", ""4.40446855""]"
Dijkstraat,"[""51.30278669354887"", ""4.392867553306596""]"
Domushof,"[""51.33313323006755"", ""4.380593191591805""]"
Dorpsstraat,"[""51.33222010394531"", ""4.365559841055097""]"
Douaneplein,"[""51.355673949999996"", ""4.394374422448005""]"
Driehoek,"[""51.34759398031143"", ""4.397815387315711""]"
Eduard de Beukelaerlaan,"[""51.30365064561934"", ""4.403540773346866""]"
Eikenlaan,"[""51.31683239499642"", ""4.403008007515345""]"
