Straat,Coordinaten
't Velleken,"[""50.9078765"", ""4.5146391""]"
Aarschotstraat,"[""FOUT, geen straat gevonden""]"
Abelendreef,"[""50.924884"", ""4.5165064""]"
Acacialaan,"[""50.9263209"", ""4.5160533""]"
Achter de Hovenstraat,"[""50.9096392"", ""4.5229385""]"
Aelvoetstraat,"[""50.9166765"", ""4.5093884""]"
Anjelierenlaan,"[""50.922396"", ""4.5011598""]"
Artoisstraat,"[""50.9184118"", ""4.5105818""]"
Azaleaplein,"[""50.92694885"", ""4.511586947169475""]"
Bataviastraat,"[""50.9097865"", ""4.461992""]"
Begonialaan,"[""50.9214337"", ""4.5011477""]"
Begoniaplein,"[""50.92839705"", ""4.516888361172468""]"
Behetsstraat,"[""50.9092198"", ""4.5121923""]"
Beiaard,"[""50.9108869"", ""4.5111692""]"
Berkenlaan,"[""50.9242772"", ""4.4942725""]"
Beukendreef,"[""50.9270208"", ""4.5206149""]"
Biestweg,"[""50.9096196"", ""4.5184825""]"
Billaststraat,"[""50.9010369"", ""4.5150937""]"
Blockmansstraat,"[""50.9052938"", ""4.5175109""]"
Bloemenoord,"[""50.9165578"", ""4.4784552""]"
Boektsestraat,"[""50.9553618"", ""4.4979047""]"
Boekweykoekstraat,"[""50.9098544"", ""4.5107327""]"
Boskantweg,"[""50.9127216"", ""4.5173725""]"
Braambos,"[""50.9254619"", ""4.5157613""]"
Brandenburglaan,"[""50.9150756"", ""4.5120633""]"
Breemstraat,"[""50.933375"", ""4.5053954""]"
Brembosstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Breughelstraat,"[""50.9191516"", ""4.4996551""]"
Bruyneelstraat,"[""50.9122763"", ""4.5162534""]"
Bundersweg,"[""50.9553618"", ""4.4979047""]"
Burgdreef,"[""50.9172365"", ""4.4728188""]"
Buurtspoorweglaan,"[""50.9245122"", ""4.519697""]"
Cederlaan,"[""50.9261661"", ""4.5160938""]"
Claeslaan,"[""50.9030601"", ""4.5152934""]"
Coenenstraat,"[""50.9107279"", ""4.5097843""]"
Collegestraat,"[""50.9464848"", ""4.5054719""]"
Cornellekestraat,"[""50.9228766"", ""4.5181476""]"
Dahlialaan,"[""50.924012"", ""4.5049477""]"
Damlaan,"[""50.9168096"", ""4.5129153""]"
De Prooststraat,"[""50.9133482"", ""4.5116513""]"
Dennenlaan,"[""50.9252182"", ""4.5112381""]"
Dijkstraat,"[""50.9052655"", ""4.5142964""]"
Dijkveldweg,"[""50.9105558"", ""4.5154261""]"
Donkerstraat,"[""50.9434544"", ""4.4856587""]"
Dreefweg,"[""50.9104244"", ""4.5154664""]"
Drie Wilgenstraat,"[""50.8946166"", ""4.5338735""]"
Driebundersweg,"[""50.9511946"", ""4.505604""]"
Driesstraat,"[""50.931728932671795"", ""4.492062588518679""]"
Duistboslaan,"[""50.9234975"", ""4.5187629""]"
Eikenlaan,"[""50.9261502"", ""4.4956621""]"
Elfenpad,"[""50.9297356"", ""4.4936405""]"
Elzenlaan,"[""50.9277303"", ""4.5141391""]"
Esdoornlaan,"[""50.9285053"", ""4.5168611""]"
Fazantendal,"[""50.9292639"", ""4.4917084""]"
Fazantenpad,"[""50.9249449"", ""4.5109152""]"
Frans Halslaan,"[""50.9187744"", ""4.4957769""]"
Fuérisonplaats,"[""50.9102647"", ""4.5128515""]"
Galmartstraat,"[""50.9218055"", ""4.4764334""]"
Ganzendries,"[""50.9274392"", ""4.4915911""]"
Geerensstraat,"[""50.9127381"", ""4.4822549""]"
Gildenplein,"[""50.9183576"", ""4.4967142""]"
Gillijnsstraat,"[""50.9155824"", ""4.4832123""]"
Gorislaan,"[""50.9019517"", ""4.5135574""]"
Groenegrachtweg,"[""50.9437628"", ""4.5007589""]"
Groenveldlaan,"[""50.9195979"", ""4.4984629""]"
Haachtsesteenweg,"[""50.9102226"", ""4.4592083""]"
Hamdreef,"[""50.9121947"", ""4.5135216""]"
Hazelnotenlaan,"[""50.9293054"", ""4.5115042""]"
Hazenpad,"[""50.9240176"", ""4.5140664""]"
Hazenweg,"[""50.9077328"", ""4.5169171""]"
Heideplein,"[""50.9280281"", ""4.5115457225232385""]"
Heilig Kruisdreef,"[""50.9186167"", ""4.4727685""]"
Hertbloklaan,"[""50.9243969"", ""4.5090774""]"
Hinckaertplein,"[""50.9119958"", ""4.512804969241813""]"
Hof ter Ham,"[""50.9183168"", ""4.5117979""]"
Hof van Boetsfort,"[""50.9146274"", ""4.4819886""]"
Hof van Keustens,"[""50.934824"", ""4.4960283""]"
Hof van Schoetens,"[""50.9346067"", ""4.4889197""]"
Hondenbergweg,"[""50.9343137"", ""4.5034965""]"
Hoofdbosweg,"[""50.9547766"", ""4.5114326""]"
Hoogstraat,"[""50.9434332"", ""4.5047238""]"
Hoogveldweg,"[""50.9129224"", ""4.4725314""]"
Hooiweg,"[""50.9139159"", ""4.4666226""]"
Hoolantsstraat,"[""50.911274"", ""4.4748435""]"
Houtemsesteenweg,"[""50.9527639"", ""4.4903832""]"
Huinhovenstraat,"[""50.9316827"", ""4.4765359""]"
Hulstweg,"[""50.9417413"", ""4.4870792""]"
Humelgempad,"[""50.9135131"", ""4.5169383""]"
Jasmijnenplein,"[""50.92821845"", ""4.518522818658004""]"
Jordaensstraat,"[""50.9175171"", ""4.4958445""]"
Kabouterpad,"[""50.9276686"", ""4.4952559""]"
Kalkoven,"[""50.9156023"", ""4.4893581""]"
Kampenhoutsesteenweg,"[""50.9408935"", ""4.5074799""]"
Kanadalaan,"[""50.9268551"", ""4.5193837""]"
Kandriesschestraat,"[""50.9142633"", ""4.5263658""]"
Kapelstraat,"[""50.9185639"", ""4.5060759""]"
Kardinaal Goossensstraat,"[""50.9398644"", ""4.4923476""]"
