Straat,Coordinaten
't Foort,"[""51.12570296964669"", ""4.219133661254165""]"
Achiel Vermeirenstraat,"[""51.133388298821124"", ""4.198057779557614""]"
Afschrijverslaan,"[""51.115981538200195"", ""4.193358156669046""]"
Akkerstraat,"[""51.126369673543955"", ""4.214172778150415""]"
Albrecht Rodenbachlaan,"[""51.12139724135906"", ""4.198108556950706""]"
Amé Fiévezstraat,"[""FOUT, geen straat gevonden""]"
Anemonenlaan,"[""51.135406849999995"", ""4.2727494""]"
Antwerpse Steenweg,"[""51.11627160157372"", ""4.186467778336259""]"
Appelsvoorde,"[""51.1157645"", ""4.1628152""]"
Aragonialaan,"[""51.12473385"", ""4.2702656999999995""]"
Arthur Meersmanstraat,"[""51.1343653041533"", ""4.229199686916364""]"
Arthur Van Daelestraat,"[""51.136826828889824"", ""4.229944426819282""]"
August De Batslaan,"[""51.13253680017138"", ""4.202041201599108""]"
August Wautersstraat,"[""51.12746658281391"", ""4.218720037310613""]"
Azalealaan,"[""51.12593296613056"", ""4.196210124824393""]"
Bank,"[""FOUT, straat in foute gemeente gevonden""]"
Bart Plouvierstraat,"[""FOUT, geen straat gevonden""]"
Beekstraat,"[""51.13889030026589"", ""4.214758122381464""]"
Beeldstraat,"[""51.154029"", ""4.2021567""]"
Begonialaan,"[""51.13188761461645"", ""4.2704209300071385""]"
Belgiëlaan,"[""51.12538525"", ""4.26935535""]"
Benedenplein,"[""51.11767766842428"", ""4.190365505532995""]"
Bergstraat,"[""51.122873548524275"", ""4.153918484026447""]"
Berkenlaan,"[""51.12533854214207"", ""4.275562673661262""]"
Bettehemstraat,"[""51.112813825962576"", ""4.17024544497606""]"
Beukenlaan,"[""51.12698358396866"", ""4.272593161468333""]"
Bevrijdingstraat,"[""51.12762805"", ""4.2316086""]"
Blauwhofstraat,"[""51.132430975566216"", ""4.254960902689967""]"
Blindstraat,"[""51.1564599"", ""4.229918""]"
Bokmolenstraat,"[""51.11875412043498"", ""4.135150839769656""]"
Bolderik,"[""51.13643551542931"", ""4.249797051577941""]"
Boodtsstraat,"[""51.12661877386978"", ""4.2180872354957275""]"
Boonakker,"[""51.13261893324003"", ""4.198197826683438""]"
Borluutstraat,"[""51.134370638814914"", ""4.23238686317877""]"
Bosweg,"[""51.11925163835615"", ""4.190925968937359""]"
Bramersdam,"[""51.1508846"", ""4.2405955""]"
Branderslaan,"[""51.12256748381037"", ""4.20571557403678""]"
