Straat,Coordinaten
Acacialaan,"[""50.87202675570487"", ""4.1543603895716545""]"
Affligemstraat,"[""50.88164861934037"", ""4.114544936610523""]"
Asbaan,"[""50.874948425429274"", ""4.162237698994636""]"
Assesteenweg,"[""50.88290178876188"", ""4.167004723020935""]"
August De Feyterstraat,"[""50.86386714516579"", ""4.1731758336356535""]"
Azalealaan,"[""50.87404821067582"", ""4.1860190156504045""]"
Baron Liebaertstraat,"[""50.86372730403649"", ""4.187968224232385""]"
Beekstraat,"[""50.8710943"", ""4.1589145""]"
Beeldekensstraat,"[""50.85658114349323"", ""4.1816855433600475""]"
Begonialaan,"[""50.8721745"", ""4.1858071511455""]"
Berkenlaan,"[""50.87540469234816"", ""4.185602365236357""]"
Beukstraat,"[""50.87290521794873"", ""4.149322106506174""]"
Bodegemstraat,"[""50.86304370759946"", ""4.197517786058897""]"
Bollestraat,"[""50.85435841301754"", ""4.162214615410754""]"
Boomgaard,"[""50.8634031"", ""4.14175245""]"
Borredam,"[""50.872428"", ""4.17677705""]"
Bosstraat,"[""50.86934219294349"", ""4.132166215797709""]"
Boterstraat,"[""50.87334394625357"", ""4.197597838279255""]"
Boterweg,"[""50.874066987899546"", ""4.197842731517526""]"
Brassaertlos,"[""50.88143027866394"", ""4.164505295188877""]"
Broekstraat,"[""50.87811459066051"", ""4.1472213840121155""]"
Bruggeveldstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Brusselstraat,"[""50.87558995"", ""4.1984350500000005""]"
Canadastraat,"[""50.87436000965401"", ""4.160389392619492""]"
Chrysantenlaan,"[""50.874129249999996"", ""4.189319429636203""]"
D'Hoef,"[""50.84845886697133"", ""4.172673535703936""]"
Dahlialaan,"[""50.87621528670425"", ""4.128645962917526""]"
De Klei,"[""50.85718688068849"", ""4.129389768471241""]"
Dennenstraat,"[""50.873391100000006"", ""4.1508336""]"
Dilbeeksesteenweg,"[""50.86329342637865"", ""4.20022260724954""]"
Doelstraat,"[""50.84428018414102"", ""4.165926071089097""]"
Donkerstraat,"[""50.87478613222958"", ""4.173997377138463""]"
Doornveldweg,"[""FOUT, geen straat gevonden""]"
Dr. E. De Croesstraat,"[""50.8746359"", ""4.1658889""]"
Dreef,"[""50.87171059696601"", ""4.175448777298529""]"
Driesweg,"[""50.8770291293465"", ""4.155174041761505""]"
Drijvelingslos,"[""50.844686266533394"", ""4.157296104685373""]"
Droge Weidestraat,"[""50.85126635"", ""4.1681854000000005""]"
Dronkenborrestraat,"[""50.86153725"", ""4.1462258""]"
Egaartbaan,"[""50.863875233583066"", ""4.144507956108314""]"
Eikenlaan,"[""50.876346772294895"", ""4.184570078153154""]"
Eikveldstraat,"[""50.87030750990404"", ""4.146379433089815""]"
Elshoutweg,"[""50.84213149240519"", ""4.163488439256776""]"
Esdoornstraat,"[""50.872876571103895"", ""4.152877281062436""]"
Essenestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Fazantenlaan,"[""50.867833797792954"", ""4.155240991837298""]"
