Straat,Coordinaten
Aardstraat,"[51.0533926, 5.1166922]"
Abeelstraat,"[51.1064677, 5.1709393]"
Achterheide,"[51.0310244, 5.0155796]"
Albertkade,"[51.0739878, 5.1752282]"
Allerheiligenberg,"[51.1039052, 5.1911644]"
Ambachtsstraat,"[51.0794608, 5.1523324]"
Anjerstraat,"[51.0982676, 5.1449388]"
Asdonkstraat,"[51.0285042, 5.0535067]"
Aubruggestraat,"[51.0815413, 5.17655]"
Averboodsebaan,"[51.033503, 4.9818255]"
Baal,"[51.0799057, 5.0753902]"
Baalbergstraat,"[51.0761199, 5.0796932]"
Baalmolenstraat,"[51.078217, 5.0826551]"
Baan,"[51.0861021, 5.1162505]"
Beekstraat,"[51.0798894, 5.0918863]"
Begijnenwinning,"[51.06964185321886, 5.10279465980998]"
Belledreef,"[51.0351848, 5.0357509]"
Berberiswijk,"[51.0862037, 5.1421447]"
Bergstraat,"[51.0806818, 5.1460582]"
Berkenweg,"[51.101909, 5.1797214]"
Beukenlaan,"[51.1055294, 5.1813205]"
Bevrijdingsstraat,"[51.1036451, 5.1811365]"
Biesdelle,"[51.0730239, 5.0773646]"
Binnenhof,"[51.0670346, 5.090226111885246]"
Binnenweg,"[51.0877977, 5.1407105]"
Bivakstraat,"[51.083063, 5.1062089]"
Blekerstraat,"[51.0757792, 5.0857704]"
Bloemenwijk,"[""FOUT, straat in foute gemeente gevonden""]"
Boekdonkstraat,"[51.0640971, 5.0201164]"
Bomanstraat,"[51.0963338, 5.145727]"
Boringwijk,"[51.1049577, 5.1731369]"
Boshuis,"[51.0481448, 5.0576337]"
Boskant,"[51.1122907, 5.1983576]"
Boudewijnlaan,"[""FOUT, geen straat gevonden""]"
Bremstraat,"[51.10954, 5.1976218]"
Broekstraat,"[51.1089136, 5.1343522]"
Brouwersstraat,"[51.1008048, 5.1475204]"
Buurtweg,"[51.1051553, 5.183777]"
Chemiestraat,"[""FOUT, geen straat gevonden""]"
Collegestraat,"[51.0688526, 5.0986004]"
De Fieter,"[51.1142291, 5.1938359]"
De Schans,"[51.0984982, 5.1769755]"
De Snep,"[51.0808713, 5.1616288]"
De Warande,"[51.1090285, 5.1935176]"
De Wijngaard,"[51.0990729, 5.1801701]"
Den Dries,"[51.086123, 5.1110579]"
Dennenhof,"[51.0627464, 5.0913868]"
Dennenstraat,"[51.1054847, 5.1951032]"
Deurnestraat,"[51.0507154, 5.0918327]"
Diesterstraat,"[51.0519695, 5.0875603]"
Dijkstraat,"[51.0902804, 5.1274806]"
Diktestraat,"[51.1037199, 5.1546493]"
Doornenboomlaan,"[51.1079359, 5.1728365]"
Dopheide,"[51.1026751, 5.1587524]"
Dorpsstraat,"[51.1022109, 5.1498813]"
