Straat,Coordinaten
Aarschotsesteenweg,"[""50.910407611335295"", ""4.86551446414262""]"
Alsbergweg,"[""50.926085044545474"", ""4.891222746159277""]"
Armand De Keyzerstraat,"[""50.93310775353788"", ""4.914372808620273""]"
Attenrodestraat,"[""50.889561063178654"", ""4.924047845115177""]"
Begijnenbosweg,"[""50.95566305"", ""4.89846715""]"
Bensbergstraat,"[""50.91202994967179"", ""4.851242604906892""]"
Bergstraat,"[""50.94044235713175"", ""4.901253944745437""]"
Bergweideweg,"[""50.94729948590813"", ""4.869438638595738""]"
Berkendreef,"[""50.95713247456276"", ""4.918366751122531""]"
Beurtstraat,"[""50.94931418179707"", ""4.9392517451286775""]"
Binkomstraat,"[""50.89399666266033"", ""4.921439375382033""]"
Blerebergstraat,"[""50.9247543"", ""4.9122777""]"
Bleukenweg,"[""50.932567769335904"", ""4.900626112526555""]"
Boekhoutstraat,"[""50.948687583520176"", ""4.912133713640008""]"
Boonveldstraat,"[""50.926470894291235"", ""4.926891800719997""]"
Bosveldweg,"[""50.922215350267"", ""4.908333796340093""]"
Boterstraat,"[""50.943927192365564"", ""4.901308919424459""]"
Boterveldstraat,"[""50.9011440432069"", ""4.861882350753401""]"
Bremberg,"[""50.90701811115648"", ""4.895648435457618""]"
Bremstraat,"[""50.910889270048685"", ""4.887084597595364""]"
Broekstraat,"[""50.9344862"", ""4.9259292""]"
Bronstraat,"[""50.905446510654905"", ""4.899451708396383""]"
Buiblokstraat,"[""50.94934167738409"", ""4.926093328606731""]"
Creftelbosstraat,"[""50.89644539712757"", ""4.93105187693067""]"
Dag-en Nachtstraat,"[""50.930900489968806"", ""4.906102545039257""]"
Dellestraat,"[""50.92241453540744"", ""4.886616288243861""]"
Dennenweg,"[""50.950227937746696"", ""4.931341483669296""]"
Diestsesteenweg,"[""50.93685970206661"", ""4.946171829367381""]"
Doelstraat,"[""50.905645567387374"", ""4.857501091296936""]"
Donkstraat,"[""50.95634696927897"", ""4.900329822857809""]"
Dorpsstraat,"[""50.944776530569555"", ""4.911719080820558""]"
Driespad,"[""50.897346723597785"", ""4.871909266691534""]"
Driesstraat,"[""50.9204482"", ""4.9168006""]"
Gempstraat,"[""50.90758789871967"", ""4.854251218648993""]"
Glabbeeksesteenweg,"[""50.90835423930121"", ""4.884512256940611""]"
Goethuysweg,"[""50.923640081002375"", ""4.897154452795008""]"
Gouden Kruispunt,"[""50.90668867224317"", ""4.869577689164937""]"
Groenstraat,"[""FOUT, geen straat gevonden""]"
Groenweg,"[""FOUT, straat in foute gemeente gevonden""]"
Haksbergstraat,"[""50.95657701368728"", ""4.909311761991965""]"
Haldertstraat,"[""50.95641209624893"", ""4.897067677731394""]"
Halensebaan,"[""50.9117803"", ""4.9040204""]"
Hazelaarsstraat,"[""FOUT, geen straat gevonden""]"
Hazenpad,"[""50.94859547354953"", ""4.9074804281898325""]"
Heergrachtweg,"[""50.93922930874629"", ""4.908116283372199""]"
Heibosstraat,"[""50.89063995423902"", ""4.9310753728223995""]"
Heidebergstraat,"[""50.93350397741946"", ""4.945652750301415""]"
Heikant,"[""50.93405850354203"", ""4.856753315358611""]"
Heikenstraat,"[""50.9198023033655"", ""4.871605767324265""]"
Hellekens,"[""50.93261800691892"", ""4.917872713051745""]"
Heuvelspanzeel,"[""50.93977742481722"", ""4.910576185820791""]"
Heuvelstraat,"[""50.9421049267761"", ""4.945827050609044""]"
Hoekstraat,"[""50.90992512856661"", ""4.887824584618055""]"
Horenweg,"[""50.9333434"", ""4.9372446""]"
Houwaartsebergweg,"[""50.94129804301694"", ""4.8695929467592745""]"
Houwaartstraat,"[""50.9223027"", ""4.8691421""]"
Kaaskorf,"[""50.95466500328896"", ""4.882776073846636""]"
Kapellekensweg,"[""50.8988986179479"", ""4.909717512595465""]"
Kareelweg,"[""50.90001544629286"", ""4.855084025210809""]"
Kastanjeweg,"[""50.920946277381496"", ""4.903319267458176""]"
Kasteeldreef,"[""50.918958478196586"", ""4.848908134953373""]"
Kasteelweg,"[""50.962509258401084"", ""4.914481228292542""]"
Kautermansweg,"[""50.92760922596099"", ""4.922780891828908""]"
Keelstraat,"[""50.90185283115275"", ""4.924417922318711""]"
Kerkstraat,"[""50.89439759083182"", ""4.903415641692377""]"
Keulestraat,"[""50.93174425"", ""4.9052563""]"
Kiekenbosstraat,"[""50.91663584920062"", ""4.894947024840357""]"
Kiezegemstraat,"[""50.90115516651952"", ""4.886661151157948""]"
Kleerbeekstraat,"[""50.91824303838214"", ""4.872932135763854""]"
Kolverendries,"[""50.89513252434425"", ""4.8838372969735975""]"
Koningenblok,"[""50.9231804262995"", ""4.911759568270261""]"
Kraasbeekstraat,"[""50.918673640258554"", ""4.9075890833547255""]"
Kriebekestraat,"[""50.92903513949165"", ""4.857593043823449""]"
Kruisstraat,"[""50.9338341"", ""4.9159146""]"
Kwadepoort,"[""50.891134545775756"", ""4.89681885207694""]"
Leigrachtstraat,"[""50.938849700000006"", ""4.9086354""]"
Leuvensesteenweg,"[""50.90358746865012"", ""4.855399477315115""]"
Lindestraat,"[""50.94569817725744"", ""4.912752729935898""]"
Looikenstraat,"[""50.902925157909735"", ""4.876230067125883""]"
Lubbeekstraat,"[""50.88664351603404"", ""4.879002964619199""]"
Luttelkolen,"[""50.93072453245002"", ""4.847813921919009""]"
Manhofweg,"[""50.91334057361897"", ""4.901613739238526""]"
Meenselbaan,"[""50.895222508907246"", ""4.895161988588104""]"
Miskruisstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Molenstraat,"[""50.938189251235535"", ""4.858147239595775""]"
Motbroekstraat,"[""50.92179504643422"", ""4.8859422678991145""]"
Neckerspoelstraat,"[""50.892736221266766"", ""4.900086350242888""]"
Neringestraat,"[""50.94087448380028"", ""4.874596107192579""]"
Nijselrodestraat,"[""50.881302720879845"", ""4.91219517732529""]"
Optielt,"[""50.9294433"", ""4.9070554""]"
Ossebergstraat,"[""50.9421667"", ""4.9442718""]"
Oude Aarschotsebaan,"[""50.91161171350903"", ""4.8622458896727885""]"
Oude Diestsebaan,"[""50.91298552912496"", ""4.8638935929053435""]"
Oude Leuvensebaan,"[""50.924642328161276"", ""4.904945731306473""]"
Oude Route,"[""50.93847164700223"", ""4.91643305636408""]"
Oude Tiensebaan,"[""50.90332913438659"", ""4.870102278389144""]"
Oudepastoriestraat,"[""50.930781806095005"", ""4.910848309259707""]"
Patrijkstraat,"[""50.89772448349294"", ""4.87792852027305""]"
Peerdsweidestraat,"[""50.89732953026115"", ""4.889941065338274""]"
Perklaan,"[""50.9066627"", ""4.88233765""]"
Perkveld,"[""FOUT, geen straat gevonden""]"
