Straat,Coordinaten
'T Park,"[50.9865861, 3.329736907429167]"
't Hoge,"[50.9926274, 3.42390905]"
't Kamp,"[51.012338393794906, 3.309856652295394]"
Aanwijsstraat,"[51.003626370884916, 3.4497852565232785]"
Aarsele-Dorp,"[50.9972438, 3.422123]"
Aarselekapellestraat,"[51.006832056987186, 3.3984473575827336]"
Aarselestraat,"[50.993684311647726, 3.4215722340651338]"
Abeeldreef,"[50.9503431, 3.28378295]"
Abeelstraat,"[50.986533403256146, 3.3223713646335655]"
Abeelwegel,"[""FOUT, geen straat gevonden""]"
Achtste Linielaan,"[50.95326512898815, 3.2858256450650143]"
Adolf Loosveldtstraat,"[50.998226055081496, 3.33401980094275]"
Alexianenplein,"[51.00107774999999, 3.3268488591443877]"
Alfons De Vlamyncklaan,"[50.995094459328996, 3.3393352983190963]"
Ambachtenlaan,"[50.96024144103672, 3.3041511866181583]"
Ankelaarstraat,"[50.99168452563492, 3.392587827152333]"
Antoon Vander Plaetselaan,"[50.993912627393364, 3.337514462328709]"
Appelstraat,"[50.97912445, 3.39284285]"
Arendstraat,"[50.98210233385351, 3.3304415160968945]"
Artemeersstraat,"[51.00723707673337, 3.4466087485878396]"
Astenhove,"[51.01095199048535, 3.402833256589628]"
Astridlaan,"[50.947850091385426, 3.2841970389934674]"
Aststraat,"[50.936878580394975, 3.3137798372113476]"
Axpoelmolenstraat,"[51.01038939083633, 3.3909888993019934]"
Azalealaan,"[51.00405655, 3.31884815]"
B.A. Guilbertlaan,"[51.031432724066484, 3.312335476759778]"
Baalbergstraat,"[50.991900806405944, 3.399075730058485]"
Baljuw Vermeulenstraat,"[50.95071151604051, 3.289962864988903]"
Barnumstraat,"[50.94759648491886, 3.2888619334119733]"
Baronielaan,"[50.94709353964738, 3.276529364331451]"
Baudeloostraat,"[50.99609709810908, 3.4242055231778545]"
Bedevaartstraat,"[50.98581805195855, 3.3327502339457014]"
Beernegemstraat,"[50.99374790156515, 3.3341326300387055]"
Begijnenstraat,"[""FOUT, geen straat gevonden""]"
Begonialaan,"[51.0021019, 3.31453555]"
Bekaertsdreef,"[50.95693108252343, 3.294154317345854]"
Belgielaan,"[""FOUT, straat in foute gemeente gevonden""]"
Beneluxlaan,"[51.001547992150144, 3.338548123858247]"
Bergmolenstraat,"[51.02352126738191, 3.300788338863395]"
Bergmolenweg,"[51.018808728686665, 3.305701100217597]"
Bergstraat,"[50.976520344304255, 3.3574824690531044]"
Berkenlaan,"[50.9959135576324, 3.417488587195131]"
Bertje Santensweg,"[50.948405120655856, 3.2895818381841218]"
Beukenlaan,"[50.995609984504824, 3.4166886812083574]"
Bevrijdingslaan,"[51.00069463229046, 3.351946546770664]"
Bezemstraat,"[50.951963726709884, 3.289280709032907]"
Biermanstraat,"[51.03362770072093, 3.3372655333869763]"
Bierstraat,"[51.01453311762657, 3.3213535642715946]"
Biesgatwegel,"[51.0170242260593, 3.344108395918986]"
Biezaardhof,"[50.94566150421735, 3.290094875375519]"
Bilkbosstraat,"[51.03727025385461, 3.327894042313987]"
Blauwvoetstraat,"[50.98212125482113, 3.329210266888235]"
Blekerijstraat,"[50.98993116639215, 3.3299603165975]"
Bloemenhove,"[50.9445724, 3.2948854165909096]"
Bloemgatstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Boekboomstraat,"[51.00748008756737, 3.359421327662964]"
Boekweitstraat,"[50.95006509117513, 3.3043663563669248]"
Boerkestraat,"[50.99206915, 3.42539545]"
Bonestraat,"[50.954289532805234, 3.3056110363465265]"
Bontestraat,"[51.01169380115173, 3.29786164237838]"
Boonensbosstraat,"[51.00698075692559, 3.44076704946186]"
Bosakkerstraat,"[50.9871439, 3.3358571]"
Bosterhoutstraat,"[50.96187793668998, 3.2956791998975574]"
Bosweg,"[50.95219236131528, 3.242297416124509]"
Brabanderstraat,"[50.98420281163799, 3.399691029024221]"
Brignoleslaan,"[51.000770149999994, 3.3357156999999997]"
Brouckenstraat,"[50.94779052444699, 3.2656966878371247]"
Brouwerijstraat,"[51.03159733046269, 3.33889377807694]"
Bruggesteenweg,"[""FOUT, straat in foute gemeente gevonden""]"
Bruggestraat,"[51.00262854612852, 3.324367055540655]"
Brugse Heirweg,"[51.0350388525669, 3.3063791029978975]"
Brugstokwegel,"[51.03256604815593, 3.3326886413214547]"
Brunicolaan,"[51.001991275351585, 3.334194564733297]"
Bruwaenestraat,"[51.012130862994624, 3.3326028399949]"
Bunderstraat,"[50.947911, 3.3020714499999997]"
