Straat,Coordinaten
's Gravenwinkelstraat,"[""51.067461398465944"", ""3.0998426649923196""]"
's Heerenveld,"[""51.09014659264371"", ""3.071883446513731""]"
Aardenhuttestraat,"[""51.08496165"", ""3.0960308""]"
Aartrijkestraat,"[""51.07302868494185"", ""3.099497534214199""]"
Abelenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Akkerstraat,"[""51.04691576209621"", ""3.0800820352676572""]"
Akkerwindestraat,"[""51.085194848359436"", ""3.1336127703533463""]"
Alberic Deleustraat,"[""51.0906491"", ""3.06865215""]"
Albrecht Rodenbachlaan,"[""51.067541"", ""3.1080324""]"
Amandelenstraat,"[""51.068040825694496"", ""3.0773302754547065""]"
Amazonestraat,"[""51.06577485"", ""3.1153481000000003""]"
Ambachtstraat,"[""51.0759255"", ""3.1022322""]"
Amblèvestraat,"[""51.068072831316535"", ""3.1128892837556106""]"
Antoon Van Dycklaan,"[""51.07000155094763"", ""3.114396697144242""]"
Atelierstraat,"[""51.07879033325923"", ""3.1058295369985656""]"
August Vermeylenlaan,"[""51.064499149999996"", ""3.1071780500000004""]"
Baarsstraat,"[""51.092377002837615"", ""3.0712719189635935""]"
Bakvoordestraat,"[""51.03904062836215"", ""3.092489085683171""]"
Bassinstraat,"[""51.06318505"", ""3.1051543500000003""]"
Beckhofstraat,"[""51.0577118"", ""3.1030621""]"
Beekstraat,"[""51.05034782800686"", ""3.1074683510729657""]"
Beerstraat,"[""51.06598448234894"", ""3.102099388563883""]"
Begoniastraat,"[""51.05443174268008"", ""3.115615215082437""]"
Berg op Zoomstraat,"[""51.08152890609501"", ""3.116979684017797""]"
Berkenstraat,"[""51.068844367242065"", ""3.080149893337931""]"
Bermstraat,"[""51.05531374344666"", ""3.1028238330708615""]"
Beukenstraat,"[""51.06864193862625"", ""3.0868895186880274""]"
Biezenstraat,"[""51.08779095"", ""3.0973791""]"
Binderstraat,"[""51.052968"", ""3.10544155""]"
Blanca van Namenstraat,"[""51.07118871699438"", ""3.0852737532067964""]"
Blauwpannestraat,"[""51.01937684833084"", ""3.09428698919967""]"
Blekerijstraat,"[""51.062977267818056"", ""3.1011530691958917""]"
Bliekstraat,"[""51.09171706787222"", ""3.073049482206615""]"
Boeiaardstraat,"[""51.063901734106835"", ""3.1043260008822258""]"
Bollestraat,"[""51.05690610222765"", ""3.109438431418184""]"
Bosdreef,"[""51.06515013771896"", ""3.1347139494203247""]"
Boterbloemstraat,"[""51.08575890370686"", ""3.1341173548103964""]"
Boudewijn Hapkenstraat,"[""51.066293351865106"", ""3.096658798162374""]"
Boutensdreef,"[""FOUT, straat in foute gemeente gevonden""]"
Brasemstraat,"[""51.09230580993825"", ""3.072512241961599""]"
Breemeersstraat,"[""51.069549"", ""3.08516905""]"
Breestraat,"[""51.085202268404835"", ""3.0646409399642773""]"
Breidelstraat,"[""51.06522732560562"", ""3.102043576664765""]"
Breskensstraat,"[""51.051506411224885"", ""3.1030404415673862""]"
Breugellaan,"[""51.069721462110365"", ""3.113147043041764""]"
Brildam,"[""51.0668518"", ""3.1073273""]"
Bruggestraat,"[""51.07446558265192"", ""3.1091856111985092""]"
Burg,"[""51.06594766520538"", ""3.101167322974128""]"
Camiel Meysmanstraat,"[""51.094227184320445"", ""3.066522775120102""]"
Cijnsdreef,"[""FOUT, straat in foute gemeente gevonden""]"
Conscienceplein,"[""51.064773161490564"", ""3.1035520250211435""]"
Consciencestraat,"[""51.08969779631908"", ""3.0744156647138228""]"
Constant Permekelaan,"[""51.07088315"", ""3.1141236""]"
Demerstraat,"[""51.06588565"", ""3.11228355""]"
Denderstraat,"[""51.0649321"", ""3.112076""]"
Diederik van den Elzaslaan,"[""51.076310307817884"", ""3.09692438511605""]"
Dijlestraat,"[""51.066019045409796"", ""3.1096445414631084""]"
Don Boscoplein,"[""51.06731403244529"", ""3.0834894929899312""]"
Donaustraat,"[""51.06917951324346"", ""3.1197405754661003""]"
Doornstraat,"[""51.0692301942194"", ""3.078555406447108""]"
Driekoningenstraat,"[""51.08587620915074"", ""3.1131209415717516""]"
Durmestraat,"[""51.0652573"", ""3.1133066""]"
Dwarsstraat,"[""FOUT, geen straat gevonden""]"
Dweersstraat,"[""51.05039221846205"", ""3.1232504851096303""]"
Ebrostraat,"[""51.065236999999996"", ""3.11774715""]"
Edewallestraat,"[""51.06142260544226"", ""3.065189290751029""]"
Eikenstraat,"[""51.06881732749112"", ""3.0834684560455607""]"
Eksterstraat,"[""51.0594036"", ""3.1152789""]"
Elbestraat,"[""51.06804210384845"", ""3.1189635986914843""]"
Elisabethlaan,"[""51.064684"", ""3.10510735""]"
Elzenstraat,"[""51.02313109872548"", ""3.076460350302699""]"
Ernest Claeslaan,"[""51.06962748299418"", ""3.114001463390377""]"
Esdoornstraat,"[""51.06755150431008"", ""3.087547127982121""]"
Essenstraat,"[""51.06799971827607"", ""3.080214865706306""]"
Eugeen Van Oyestraat,"[""51.06232975"", ""3.0954912""]"
F.R. Boschvogelstraat,"[""51.09123458204394"", ""3.065910452119972""]"
Felix Timmermanslaan,"[""51.06634065"", ""3.10817535""]"
Filips Van Kleefstraat,"[""51.07523325518569"", ""3.0976341563187164""]"
Fonteinpad,"[""51.077270410919915"", ""3.057488636872927""]"
Fraeysstraat,"[""51.06607780308813"", ""3.100339862598021""]"
Gangesstraat,"[""51.06512209600554"", ""3.1150637875912244""]"
Ganzevijverstraat,"[""51.06647851771868"", ""3.106486756447839""]"
Garnaalstraat,"[""51.09161302863963"", ""3.0745128013628613""]"
Garonnestraat,"[""51.066785001407844"", ""3.1159014295446554""]"
Gavervijver,"[""51.083315104289646"", ""3.1021299087359693""]"
Gerstestraat,"[""51.065850601005984"", ""3.08800646426587""]"
Geuzenbosstraat,"[""51.089729361128775"", ""3.0651340009428716""]"
Gitsstraat,"[""51.0619198"", ""3.1003663""]"
Gravenstraat,"[""51.078396983524755"", ""3.0648540751910844""]"
Gravinnenstraat,"[""51.08486732430114"", ""3.062286720022938""]"
Groenepoortstraat,"[""FOUT, geen straat gevonden""]"
Groenestraat,"[""51.059396810124625"", ""3.1086316949356654""]"
Groenhovestraat,"[""51.06681707086729"", ""3.119724914839541""]"
Guido Gezellelaan,"[""51.06497846049081"", ""3.106821671336973""]"
Guldensporenlaan,"[""51.090455495705974"", ""3.0666486694892425""]"
Guldenvlieslaan,"[""51.0918286339923"", ""3.065372060794158""]"
Gustaaf Van de Woestijnelaan,"[""51.07138634474944"", ""3.113870973483996""]"
Gwijde Van Dampierrestraat,"[""51.0737391"", ""3.098106""]"
Hans Memlinclaan,"[""51.063942038794735"", ""3.109786674625062""]"
Haverstraat,"[""51.06494184418729"", ""3.0877450003738227""]"
Hazelaarstraat,"[""FOUT, geen straat gevonden""]"
Heidestraat,"[""51.07865566669598"", ""3.085332349404632""]"
Hekkestraat,"[""51.02159251756158"", ""3.083802537283961""]"
Hennestraat,"[""51.047494478000395"", ""3.1205185679387957""]"
Herderinnedreef,"[""51.084996798206795"", ""3.1491816721245947""]"
Herderstraat,"[""51.0572702446763"", ""3.1157226339982773""]"
Hertog van Arenbergstraat,"[""51.06026537997238"", ""3.101173517655773""]"
Hillestraat,"[""51.0716096"", ""3.0819772""]"
