Straat,Coordinaten
Aardebergstraat,"[""50.90234479671498"", ""4.381385191257586""]"
Aardepad,"[""50.94916778515626"", ""4.467846361617374""]"
Aardestraat,"[""50.94918273490807"", ""4.4696601990056175""]"
Aarschotsestraat,"[""50.9246307"", ""4.4492285""]"
Abeelstraat,"[""50.93859036872584"", ""4.4346259967473936""]"
Achterham,"[""50.932449616680145"", ""4.419591540338713""]"
Achterpad,"[""50.9506579059264"", ""4.467059651952314""]"
Achterstraat,"[""50.94886096057808"", ""4.467875751482089""]"
Albert I-laan,"[""50.91507195"", ""4.39153655""]"
Amazonenlaan,"[""50.90554975822681"", ""4.3650157498771955""]"
Anemonenstraat,"[""50.92975772006157"", ""4.445003381274651""]"
Anjerstraat,"[""50.931679790077055"", ""4.444676583841752""]"
Arendlaan,"[""50.90959430998997"", ""4.367241154642908""]"
Arsenaalstraat,"[""50.93086226303587"", ""4.420366306613025""]"
Asterstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Azaleastraat,"[""50.93063313003726"", ""4.447439703293721""]"
Balotstraat (Laure),"[""50.91505284237343"", ""4.4199943307192635""]"
Beethovenstraat,"[""50.9387246292705"", ""4.435725354354559""]"
Begoniastraat,"[""50.929401540775295"", ""4.448931753687562""]"
Belgiëlaan,"[""50.91718392968661"", ""4.402078622026343""]"
Beneluxlaan,"[""50.91450055180983"", ""4.401814176493889""]"
Benoitstraat (Peter),"[""50.9316173"", ""4.42907095""]"
Bergstraat,"[""50.928167744507626"", ""4.423533888564932""]"
Berkendallaan,"[""50.902443865377194"", ""4.364559019148386""]"
Biezenpad,"[""FOUT, geen straat gevonden""]"
Blaesenbergstraat,"[""50.92591677580086"", ""4.410019915914308""]"
Blaesenbergweg,"[""50.91819785866208"", ""4.408341095609514""]"
Blockxstraat (Jan),"[""50.93250075"", ""4.4297464""]"
Bloedstraat,"[""50.94667378106774"", ""4.46704427690249""]"
Bloemenlaan,"[""50.92639251066927"", ""4.453282914370055""]"
Bloemenplein,"[""50.93085499435845"", ""4.446406003919044""]"
Blondieaustraat (Etienne),"[""50.92614446245506"", ""4.432438628305828""]"
Boektsesteenweg,"[""50.95153095719807"", ""4.480932162930448""]"
Bolwerkstraat,"[""50.92865005090592"", ""4.432248669140537""]"
Borghtstraat,"[""50.927037445287496"", ""4.410354644016098""]"
Borghtvoetweg,"[""50.92670637527165"", ""4.409100994229738""]"
Bosweg,"[""50.90773298929348"", ""4.3814780776356965""]"
Brabantplein,"[""FOUT, geen straat gevonden""]"
Brandvoetweg,"[""50.9502862"", ""4.461372""]"
Breemputhof,"[""50.92166615354486"", ""4.405157761923753""]"
Breemputstraat,"[""50.92139906696301"", ""4.403070192525027""]"
Brembosstraat,"[""50.943022981355426"", ""4.484121786195904""]"
Brentastraat (Louis),"[""50.91020307254075"", ""4.415458291310809""]"
Breughelstraat,"[""50.921279609383284"", ""4.407937369103905""]"
Breydelstraat (Jan),"[""50.92951"", ""4.46279685""]"
Broekplein,"[""50.916124350000004"", ""4.4191424""]"
Broekstraat,"[""50.9151985266693"", ""4.421628453450257""]"
Brusselsesteenweg,"[""50.92459791117442"", ""4.41739705044313""]"
Bruynstraat,"[""FOUT, geen straat gevonden""]"
Budasteenweg,"[""FOUT, straat in foute gemeente gevonden""]"
Buissetstraat (Xavier),"[""50.925612437509955"", ""4.431885903914453""]"
Buitingstraat,"[""50.939741350000006"", ""4.46321275""]"
Buyssestraat (Cyriel),"[""50.939012911313775"", ""4.429711798637963""]"
Callaertstraat (S.),"[""50.9291246713014"", ""4.454723670347962""]"
Campionlei (Ferdinand),"[""50.92886784729595"", ""4.430814090399679""]"
Cardijnplein (kardinaal),"[""50.92350280685096"", ""4.405278953743843""]"
Cargillpark,"[""FOUT, geen straat gevonden""]"
Chrysantenstraat,"[""50.93003717566995"", ""4.442364709830711""]"
Commanderieplein,"[""FOUT, geen straat gevonden""]"
Consciencestraat (Hendrik),"[""50.933108333916095"", ""4.427766184191811""]"
Correctiedreef,"[""50.92342450474123"", ""4.422989615543377""]"
Crocussenstraat,"[""50.92908718344853"", ""4.446806458699565""]"
Dahliastraat,"[""50.92855951644458"", ""4.4456047377451915""]"
Damstraat,"[""50.94881866753066"", ""4.4604808259097535""]"
Davidstraat (J.B.),"[""FOUT, geen straat gevonden""]"
De Bockstraat (Fredor),"[""50.9189238"", ""4.424929000000001""]"
De Boeckstraat (August),"[""50.934692745890615"", ""4.432089705831019""]"
De Braekeleerstraat (Hendrik),"[""FOUT, geen straat gevonden""]"
De Pomp,"[""50.9047231"", ""4.38090125""]"
De Saedeleerstraat (Valerius),"[""50.921846137136875"", ""4.411446446235444""]"
Debackerstraat (Willem),"[""50.917082037292445"", ""4.422162062400379""]"
Den Brand,"[""50.951346331911566"", ""4.464602572616567""]"
Den Haeckstraat,"[""50.93483945225623"", ""4.426332201311376""]"
Derdeschoofstraat,"[""50.94631577279826"", ""4.468401833297065""]"
Devoerlaan,"[""50.91480270535352"", ""4.373813878769747""]"
Diegemstraat,"[""50.90824755"", ""4.41451515""]"
Donckerstraat,"[""50.9437704880729"", ""4.484835386819569""]"
