Straat,Coordinaten
Beukmolenstraat,"[""50.91403063269683"", ""2.790209324072803""]"
Boterweg,"[""50.9374257"", ""2.7375293""]"
Broekdreef,"[""50.9359421"", ""2.7163224""]"
Burgweg,"[""50.8925021"", ""2.7601419""]"
Canadaweg,"[""50.8861754"", ""2.7004301""]"
Catsputdreef,"[""50.8955529"", ""2.7248833""]"
Donkerstraat,"[""50.8929246"", ""2.7176357""]"
Edmond Devloostraat,"[""50.9318904"", ""2.7435895""]"
Eikhoekstraat,"[""50.8885844"", ""2.73944""]"
Elverdingestraat,"[""50.898899"", ""2.7929148""]"
Elzendamme,"[""50.9501837"", ""2.7211957""]"
Fleternalaan,"[""50.9333871"", ""2.7335033""]"
Gildedreef,"[""50.9254511"", ""2.7201878""]"
Groenerf,"[""50.8995862"", ""2.7928857""]"
Groenestraat,"[""50.8970866"", ""2.7764698""]"
Halve Reningestraat,"[""50.911761"", ""2.77126085""]"
Hendrik Deberghstraat,"[""50.931738"", ""2.7392802""]"
Hillaire Allaeys,"[""50.9004228"", ""2.7905485""]"
Hoflandstraat,"[""50.9191593"", ""2.7403482""]"
Hogebrugstraat,"[""50.9281507"", ""2.7314557""]"
Jozef Doisestraat,"[""50.9259585"", ""2.7204604""]"
Kallestraat,"[""50.8866512"", ""2.7118667""]"
Kasteelstraat,"[""50.9316032"", ""2.7370745""]"
Kasteelweg,"[""50.937474"", ""2.7475449""]"
Keiweg,"[""50.9299875"", ""2.7514152""]"
Kerkhofstraat,"[""50.9006311"", ""2.7911714""]"
Kerkstraat,"[""50.9334105"", ""2.7420243""]"
Kleine Elverdingestraat,"[""50.8963982"", ""2.7923054""]"
Klyttestraat,"[""50.8996681"", ""2.7957814""]"
Koekuitstraat,"[""50.8895649"", ""2.7113986""]"
Kooiaardstraat,"[""50.9031036"", ""2.706803""]"
Kortekeer,"[""50.9314179"", ""2.7372482""]"
Kraaistraat,"[""50.9030685"", ""2.7453401""]"
Krombekestraat,"[""50.9233543"", ""2.7210997""]"
Kruisboomstraat,"[""50.9168593"", ""2.7488272""]"
Kruisstraat,"[""50.917983"", ""2.7005203""]"
Langeweg,"[""50.9074723"", ""2.7928844""]"
Leeuwerikstraat,"[""50.894277"", ""2.6974524""]"
Legerweg,"[""50.8911299"", ""2.7455886""]"
Lenenbrugstraat,"[""50.9270441"", ""2.7168139""]"
Lindestraat,"[""50.922335"", ""2.7148999""]"
Martin Vandewynckelstraat,"[""50.9339644"", ""2.7422383""]"
Meiboomstraat,"[""50.90998179792814"", ""2.7683820309811424""]"
Molenstraat,"[""50.9303054"", ""2.7376126""]"
Molenwijk,"[""50.9007766"", ""2.7928567""]"
Nachtegaalstraat,"[""50.8955073"", ""2.7012444""]"
Nieuwstraat,"[""50.9142022"", ""2.697841""]"
Nonnenstraat,"[""50.8879675"", ""2.7019596""]"
Omloop-Noord,"[""50.91445285419236"", ""2.8001791746215225""]"
Omloop-Zuid,"[""50.8917571"", ""2.7944232""]"
Oostvleterendorp,"[""50.9335166"", ""2.7416394""]"
Oostvleterenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Oude Reningeweg,"[""50.932913"", ""2.7439756""]"
Poperingestraat,"[""50.8959468"", ""2.7815904""]"
Pottestraat,"[""50.900738"", ""2.7327684""]"
Reningestraat,"[""50.8943173"", ""2.6954797""]"
Roggestraat,"[""50.9269934"", ""2.7152498""]"
Schazenstraat,"[""50.9332981"", ""2.7434442""]"
Soldatendreef,"[""50.8946783"", ""2.7494584""]"
Spaarwegel,"[""50.9328619"", ""2.7361871""]"
Sparredreef,"[""50.9062261"", ""2.7852262""]"
Sperlakenstraat,"[""50.918668421519726"", ""2.7653604971535515""]"
St.-Maartensstraat,"[""50.9271708"", ""2.7202827""]"
St.-Sixtdreef,"[""50.8873674"", ""2.7131979""]"
Stavelestraat,"[""50.9470207"", ""2.7164757""]"
Steenstraat,"[""50.90755855330023"", ""2.7999652319391335""]"
Tempeliersdreef,"[""50.8974442"", ""2.7444813""]"
Tempelstraat,"[""50.9028362"", ""2.7855926""]"
Veurnestraat,"[""50.9452326"", ""2.7240569""]"
Vissewalstraat,"[""50.8930009"", ""2.7238098""]"
Vlasbloemstraat,"[""50.916005029941296"", ""2.7989877712985574""]"
Warandestraat,"[""50.9019463"", ""2.7830017""]"
Westvleterendorp,"[""50.9275105"", ""2.7165667""]"
Westvleterenstraat,"[""50.927709"", ""2.7173792""]"
Wippe,"[""50.8947475"", ""2.7731814""]"
Woestendorp,"[""50.900437"", ""2.7892165""]"
Woestenstraat,"[""50.9301705"", ""2.7392824""]"
Wulvestraat,"[""50.905807"", ""2.7882034""]"
Zuiddreef,"[""50.90905090552783"", ""2.784969611991679""]"
Zwartestraat,"[""50.903777518522865"", ""2.806431816646319""]"
Zwijnlandstraat,"[""50.9048428"", ""2.7160221""]"
