Straat,Coordinaten
't Hof,"[50.748844373252254, 5.813740226824822]"
1-Septemberstraat,"[50.75963684911913, 5.759972826101123]"
A gen Roth,"[50.71674422271883, 5.846124802640124]"
Altenbroek,"[50.761718053772086, 5.777776313203532]"
Amphora,"[50.75542058549986, 5.757882174081466]"
Atrium,"[50.7557121, 5.75862065]"
Aubelsestraat,"[50.75392335966541, 5.763335963078996]"
Batticestraat,"[50.752323813943306, 5.728809016368677]"
Bauwerd,"[50.73790128162349, 5.823712292163968]"
Berbestraatje,"[50.756217022563014, 5.718054737758719]"
Berg,"[50.7438114, 5.8145414]"
Berneauweg,"[50.753539450000005, 5.7562836]"
Berwijnstraat,"[50.75665787096832, 5.714170032636452]"
Bies,"[50.7464337, 5.8157759]"
Bijsstraat,"[50.75643370249129, 5.711626159723271]"
Billen,"[50.72963899919481, 5.876934823125692]"
Boomstraat,"[50.75693900620009, 5.760205955189763]"
Born,"[50.731082385288744, 5.877557660309915]"
Boskoop,"[50.756189817878195, 5.756887994456908]"
Bounder,"[50.73080084003218, 5.901011002156992]"
Bovendorp,"[50.758064180384004, 5.763736340490212]"
Brabant,"[50.72763196131732, 5.823934136880285]"
Cattestraat,"[50.75820176415438, 5.717626823446367]"
Clermontshof,"[50.73277711373401, 5.879130973993973]"
Cobus,"[50.730420531136346, 5.874276315026896]"
Commanderie,"[50.737343465472776, 5.821098875697639]"
Commanderieshof,"[50.73616259374942, 5.820074427511695]"
Crutzberg,"[50.74115335094467, 5.825657172836326]"
Daal,"[50.7372148, 5.8382812]"
Dalhemerweg,"[50.75417286639726, 5.759581472604654]"
De Commanderie,"[50.737343465472776, 5.821098875697639]"
De Plank,"[50.7521458, 5.8470447]"
Dolium,"[50.75475128998607, 5.756256732486266]"
Dorpsstraat,"[50.756801289028964, 5.713043391989964]"
Dr.J.Goffinstraat,"[50.7581582, 5.76875195]"
Drees,"[50.76096116320258, 5.7510653593616325]"
Driesch,"[50.75590801023846, 5.709947931981136]"
Driesschen,"[50.72802055525851, 5.890390034447055]"
Drink,"[50.7279576, 5.8250507]"
Eiken,"[50.750759635970255, 5.833248619574874]"
Einde,"[50.748247903805755, 5.809378511767099]"
Elvenschans,"[""FOUT, geen straat gevonden""]"
Elzen,"[50.75579387311944, 5.711240334788772]"
Gemeenteplein,"[50.75964645, 5.75948215]"
Getske,"[50.756298961643566, 5.710849782927781]"
Gielessestraat,"[50.76152602136351, 5.750562035163949]"
Gieveldstraat,"[50.75964744865614, 5.88342678991766]"
Gijberg,"[50.759314100000005, 5.76961455]"
Graef,"[50.733643396390605, 5.877705039123416]"
Greb,"[50.7610417416495, 5.752208845505768]"
Grijzegraaf,"[50.76052138625443, 5.744319225332722]"
Hagelstein,"[50.7230789, 5.864648]"
Heijdt,"[""FOUT, geen straat gevonden""]"
Heirweg,"[50.755811706180516, 5.754837270256123]"
Heuvelke,"[50.7586936309757, 5.7563989537575395]"
Hoeneveldje,"[50.7566804010468, 5.751787706478079]"
Hoffert,"[50.75929753066156, 5.7494533183725824]"
Holleweg,"[50.74909420799511, 5.71661528343631]"
Hoofstraat,"[50.75522370412342, 5.874226921950817]"
I gen Treut,"[50.75916421593597, 5.8676404399409305]"
Ingerveld,"[50.74831846041573, 5.807313467121436]"
Jolette,"[50.75995908475817, 5.75739143559032]"
Kastanjeboomstraat,"[50.748785243328044, 5.815480479367963]"
Kasteelstraat,"[50.747400435306794, 5.8909675161048165]"
Kattenroth,"[50.75772354793807, 5.798080511985387]"
Kerkhofstraat,"[50.76080864399549, 5.759242363970467]"
Kerkplein,"[50.75709457815609, 5.710629552607894]"
