Straat,Coordinaten
Beeldekensstraat,"[""51.20836879107321"", ""4.767125457406628""]"
Bergstraat,"[""51.20680241965843"", ""4.783891096729817""]"
Berkelheide,"[""51.229152010919385"", ""4.791615302827082""]"
Berkenlaan,"[""51.20300693275844"", ""4.761165139905603""]"
Beukenlaan,"[""51.2043738874938"", ""4.760312360739199""]"
Bosweg,"[""51.21816375"", ""4.7565835""]"
Boulevard,"[""51.20413755224068"", ""4.768576469215891""]"
Bremlaan,"[""51.206371415321335"", ""4.761207769037362""]"
Bunder,"[""51.211871846916736"", ""4.756748475743711""]"
Cardijnlaan,"[""51.20374614538735"", ""4.770403347393897""]"
Dageraad,"[""51.218001710605854"", ""4.753211732218791""]"
De Borrekenslaan,"[""51.21058519382275"", ""4.7696374634657985""]"
De Pretlaan,"[""51.21125979999999"", ""4.77022105""]"
De Veertien Kapellekens,"[""51.22158537037228"", ""4.770747855762666""]"
Della Faillelaan,"[""51.20868967239009"", ""4.769963366028181""]"
Dennenlaan,"[""51.208765549999995"", ""4.79014485""]"
Diamantstraat,"[""51.20289325929707"", ""4.776375146558451""]"
Dijkbaan,"[""51.196225850000005"", ""4.7739518499999996""]"
Doornlaan,"[""51.204685932844285"", ""4.758369092712027""]"
Fazantenlaan,"[""51.198565148454655"", ""4.777236216487653""]"
Goorbergenlaan,"[""51.1985924"", ""4.7685456""]"
Grensstraat,"[""51.202294244200395"", ""4.753240222964433""]"
Groenstraat,"[""51.21476444937731"", ""4.756053154316447""]"
Guldenpad,"[""51.203401129293034"", ""4.768709500361768""]"
Heidelaan,"[""51.202722449999996"", ""4.760539""]"
Heikant,"[""51.201685499999996"", ""4.7586268""]"
Heiken,"[""51.19334551907363"", ""4.792965573286531""]"
Heirbaan,"[""51.243087222972"", ""4.768906386373317""]"
Herderstraat,"[""51.20909997980707"", ""4.807399190334234""]"
Heuvelstraat,"[""51.206716450504395"", ""4.782507140177592""]"
Hildering,"[""51.199355349538386"", ""4.763085266206825""]"
Huls,"[""51.23029435"", ""4.76200815""]"
Ijzerestraat,"[""51.2149724"", ""4.7723813""]"
Jantjesblok,"[""51.211414814148085"", ""4.761553391238837""]"
Kabienstraat,"[""51.20249238932888"", ""4.774435390412257""]"
Kardinaalswijk,"[""51.20520136030019"", ""4.7826949343281795""]"
Keizershofstraat,"[""FOUT, geen straat gevonden""]"
Kempenlaan,"[""51.20087019330421"", ""4.761042573346121""]"
Kerkstraat,"[""51.20266978769433"", ""4.770013751884599""]"
Kievitlaan,"[""51.200895317771895"", ""4.77730902896697""]"
Klissenhoek,"[""51.2128389472844"", ""4.760893245101002""]"
Kouwenberg,"[""51.20211648240884"", ""4.784883261035987""]"
Krokuslaan,"[""51.204259317948875"", ""4.783302756721348""]"
Kuiperstraat,"[""51.20732255870414"", ""4.769935331968651""]"
Kweek,"[""51.2103352"", ""4.811098""]"
Leeuweriklaan,"[""51.20156587451529"", ""4.783943476980374""]"
Lepelstraat,"[""51.20036940309787"", ""4.77279506223298""]"
Lijsterplein,"[""51.20127117324071"", ""4.782784334235719""]"
Lindendreef,"[""51.21276124520174"", ""4.778831868405422""]"
Lovenhoek,"[""51.221844000000004"", ""4.729610878798852""]"
Maalderstraat,"[""51.20534911531467"", ""4.761967192638798""]"
Maashoek,"[""51.21808586830429"", ""4.759547526129931""]"
Markt,"[""51.201764567819374"", ""4.772967954902564""]"
Merellaan,"[""51.20099639943741"", ""4.774640959366776""]"
Mgr. Donchelei,"[""51.201464555440545"", ""4.768233078772964""]"
Molenbaan,"[""51.2074289"", ""4.7497338""]"
Moleneinde,"[""51.20712575624304"", ""4.761746991029223""]"
Molenhei,"[""51.21078324808349"", ""4.754343272621721""]"
Molenstraat,"[""51.204390026496235"", ""4.7651817836556""]"
Nachtegaal,"[""51.2017066664435"", ""4.7817980925919015""]"
Neerzand,"[""51.21614251208198"", ""4.825241131375397""]"
Niemandshoek,"[""51.21689384105492"", ""4.7645205294680855""]"
Nieuwe Velden,"[""51.200378"", ""4.77534925""]"
Nieuwstraat,"[""51.2021651084492"", ""4.77902231543693""]"
Oostakker,"[""51.205193419832334"", ""4.776435558998853""]"
Pachtersdreef,"[""51.21116849722858"", ""4.785143398280744""]"
Palderbeemden,"[""51.248493161955885"", ""4.7610932372819725""]"
Pallaaraard,"[""51.22711496576513"", ""4.744083571540062""]"
Plein,"[""51.2416033438835"", ""4.780390342548652""]"
Poederleeseweg,"[""51.20574475"", ""4.8185478""]"
Proosthoevebaan,"[""51.209888"", ""4.7962531""]"
Proostlaan,"[""51.211874204051036"", ""4.770889206400747""]"
Pulderdijk,"[""FOUT, straat in foute gemeente gevonden""]"
Pullesebaan,"[""51.202405230064485"", ""4.757386075371079""]"
Putakkerstraat,"[""51.209517675498425"", ""4.754508402782668""]"
Ravenlaan,"[""51.20049935"", ""4.779719""]"
Rechtestraat,"[""51.20753177766985"", ""4.768114766840008""]"
Rentmeesterblok,"[""51.21168779424958"", ""4.757151104622352""]"
Riemenstraat,"[""51.203096326314736"", ""4.774106564253478""]"
Rommelsven,"[""51.214335611252835"", ""4.750976845918182""]"
Rommelzwaan,"[""51.24998885"", ""4.7589589000000005""]"
Rozenlaan,"[""51.20502618821677"", ""4.780215277496246""]"
