Straat,Coordinaten
Adriaan Ghijsstraat,"[""51.307215600000006"", ""4.8764877""]"
Akkerstraat,"[""51.30900606182678"", ""4.885819025563217""]"
Albertstraat,"[""51.3075289"", ""4.874651399999999""]"
Anemonenstraat,"[""51.30758038405163"", ""4.897570620932868""]"
Antwerpsesteenweg,"[""51.317108649999994"", ""4.9048627""]"
Asterstraat,"[""51.306823369076845"", ""4.898400677146276""]"
Astridlaan,"[""51.30869"", ""4.8780668""]"
Beemdenstraat,"[""51.30176457709039"", ""4.876241617476824""]"
Beersebaan,"[""51.314218856825796"", ""4.882062599487739""]"
Beerseheide,"[""51.29412153768014"", ""4.843820944050413""]"
Bergakker,"[""51.31109372777611"", ""4.886765867515906""]"
Bergeneinde,"[""51.3156806"", ""4.8941277""]"
Bergeneindsepad,"[""51.31788147802257"", ""4.894079442642294""]"
Bergstraat,"[""51.31213123104724"", ""4.881780938360589""]"
Berkenmei,"[""51.318629897533455"", ""4.878969113366714""]"
Berkenpad,"[""51.306884319261684"", ""4.878336517713855""]"
Bevrijdingslaan,"[""51.31280680510344"", ""4.903070727672954""]"
Bezemstraat,"[""51.3061333"", ""4.8919532""]"
Biekensstraat,"[""51.3175930935233"", ""4.878553371374609""]"
Biesven,"[""51.31748059816363"", ""4.8725671280323395""]"
Boekweitstraat,"[""51.30982122900558"", ""4.896304193393174""]"
Boerenkrijglaan,"[""51.31257395115036"", ""4.900510103206354""]"
Bokkeneind,"[""51.299403660881616"", ""4.882407147335555""]"
Bokkenstraat,"[""51.299384882174415"", ""4.882826349531856""]"
Bolk,"[""51.31076308159989"", ""4.887101474105362""]"
Bollenbaan,"[""51.31752788674596"", ""4.885345148804723""]"
Bosduifstraat,"[""51.29917372782601"", ""4.880384062264349""]"
Boskant,"[""51.29848071386195"", ""4.89926516900884""]"
Boudewijnlaan,"[""51.308072499999994"", ""4.8780987499999995""]"
Breemsedijk,"[""51.3023289"", ""4.8988572""]"
Burgemeester Bossaertlaan,"[""51.309581181221304"", ""4.889788899994395""]"
Burgemeester De La Hayelaan,"[""51.30471600412682"", ""4.899593806332707""]"
Burgemeester Somerslaan,"[""51.3055977"", ""4.88192645""]"
Burgemeester Stroobantlaan,"[""51.30517839916586"", ""4.883937651939733""]"
Canadalaan,"[""51.30886937603918"", ""4.902430232907362""]"
Charlottapad,"[""51.305705924240975"", ""4.874623411367468""]"
Cingel,"[""51.31229586113286"", ""4.887608585117552""]"
Commerdaelseweg,"[""51.317342652006715"", ""4.898383315700601""]"
De Bergskens,"[""51.310532169321235"", ""4.870513276477586""]"
De Breem,"[""51.2905182"", ""4.9079404""]"
De Populierkens,"[""51.309846226474065"", ""4.871523888220162""]"
Dekkersven,"[""51.2996389"", ""4.8490765499999995""]"
Dennendreef,"[""51.3130193"", ""4.8758748""]"
Diepvenneke,"[""51.30156641053254"", ""4.8932019322145806""]"
Disselstraat,"[""51.305365800000004"", ""4.890466549999999""]"
Dokter Bynenslaan,"[""51.3175444"", ""4.8963631""]"
