Straat,Coordinaten
Abdij van Roosenberglaan,"[""51.1106324"", ""4.0878621""]"
Acacialaan,"[""51.115508"", ""4.0874004""]"
Autosnelweg E17-Noord,"[""FOUT, geen straat gevonden""]"
Autosnelweg E17-Zuid,"[""FOUT, geen straat gevonden""]"
Bareelstraat,"[""51.1408103"", ""4.0672""]"
Baudelodreef,"[""51.1305288"", ""4.0669677""]"
Baverikstraat,"[""51.13325"", ""4.06477""]"
Beatestraat,"[""51.132571"", ""4.0396825""]"
Belselestraat,"[""51.115545"", ""4.0847756""]"
Bergstraat,"[""51.1145421"", ""4.0963122""]"
Berkenlaan,"[""51.1198503"", ""4.084284""]"
Beukenlaan,"[""51.1211733"", ""4.08775""]"
Bokmolenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Bollewijk,"[""51.132635"", ""4.0686416""]"
Bosstraat,"[""51.1268776"", ""4.0993726""]"
Boswegel,"[""51.1267163"", ""4.1026474""]"
Bouchoutstraat,"[""51.122911"", ""4.0531964""]"
Bremstraat,"[""51.1278537"", ""4.0905255""]"
Bulk,"[""51.1109975"", ""4.0857359""]"
Burgemeester M. Du Tré-straat,"[""FOUT, geen straat gevonden""]"
Camille Boschmandreef,"[""51.1154717"", ""4.0891765""]"
Dam,"[""FOUT, geen straat gevonden""]"
Dauwstraat,"[""51.1157132"", ""4.0554013""]"
De Sombe,"[""51.1151316"", ""4.1317887""]"
Den Hert,"[""51.1256266"", ""4.1109999""]"
Dennenlaan,"[""51.1180667"", ""4.0878722""]"
Dommelstraat,"[""51.1142287"", ""4.1154523""]"
Donkerputstraat,"[""51.0998315"", ""4.0412577""]"
Doornijkstraat,"[""51.1231125"", ""4.0307484""]"
Dorushoeksken,"[""51.1098351"", ""4.0802181""]"
Durmebrug,"[""51.0971563"", ""4.0901173""]"
Durmedal,"[""51.1096869"", ""4.0993925""]"
Edgard Heirmandreef,"[""51.1279848"", ""4.1032421""]"
Edmond Verstraetendreef,"[""51.1128274"", ""4.1112859""]"
Eekhoekstraat,"[""51.1313676"", ""4.0993606""]"
Eikenlaan,"[""51.121791"", ""4.0850838""]"
Esdoornlaan,"[""51.120606"", ""4.089238""]"
Europastraat,"[""51.1144721"", ""4.0984781""]"
Fazantenlaan,"[""51.1252324"", ""4.0896777""]"
Fortenstraat,"[""51.1233822"", ""4.1144412""]"
Frank Baurstraat,"[""51.1149045"", ""4.0936303""]"
Gentstraat,"[""51.108313"", ""4.0784617""]"
Grauwe Zeestraat,"[""51.12949085028306"", ""4.102300859224987""]"
Groendreef,"[""51.12712695372032"", ""4.1065041454768645""]"
Groenselstraat,"[""51.123281096227885"", ""4.0325355724901515""]"
Groenstraat,"[""51.130813136229676"", ""4.09950564835597""]"
Grote Baan,"[""51.1340439"", ""4.0582752""]"
Guido Gezellestraat,"[""51.11359756429819"", ""4.095072599714744""]"
Hamstraat,"[""51.1057407"", ""4.033293""]"
Heesdonkwijk,"[""51.12750184116065"", ""4.04477801395678""]"
Heeskouter,"[""FOUT, geen straat gevonden""]"
Heidekapelstraat,"[""51.12260905843737"", ""4.0970208674579345""]"
Heidestraat,"[""51.12828077025786"", ""4.116576770411385""]"
Heikenstraat,"[""51.12545487864775"", ""4.031264238763881""]"
Heikewip,"[""51.1203684684786"", ""4.102433558301876""]"
Henri de Lovinfossestraat,"[""51.10913622418677"", ""4.078551508880726""]"
Herfstwegel,"[""51.1220574"", ""4.104070849999999""]"
Herkstraat,"[""51.13202392397064"", ""4.102883066273278""]"
Hoebeek,"[""FOUT, geen straat gevonden""]"
Hogendonk,"[""51.11840321458856"", ""4.103321609013285""]"
Hollandsemolen,"[""FOUT, geen straat gevonden""]"
Hollestraat,"[""51.1201625"", ""4.064622""]"
Hoogstraat,"[""51.111497579025475"", ""4.089292952380161""]"
Hooierzelestraat,"[""51.113696584279666"", ""4.061033243436897""]"
Houten Kruisstraat,"[""51.11489220789206"", ""4.099107878214083""]"
Hulstbaan,"[""51.13718635"", ""4.0194978""]"
Jacquet de Haveskerckedreef,"[""51.124040629158756"", ""4.11225884983671""]"
Kapelwijk,"[""51.1137542"", ""4.1293651""]"
Kastanjelaan,"[""51.11935995"", ""4.0889950192258055""]"
Kasteelstraat,"[""51.11292215"", ""4.1291116""]"
Kerkplein,"[""51.105964"", ""4.08675815""]"
Kerkstraat,"[""51.10568374313006"", ""4.086145848205203""]"
Ketelboetstraat,"[""51.11095671608847"", ""4.032199878145699""]"
Klaverbeekstraat,"[""51.12630637696117"", ""4.032991491650743""]"
Kleemstraat,"[""51.117615430482424"", ""4.093989318183912""]"
Kluizenaarstraat,"[""FOUT, geen straat gevonden""]"
Koningin Astridstraat,"[""51.1199405"", ""4.1082612""]"
Koolputten,"[""51.10543775762937"", ""4.140648683201271""]"
Korte Beulestraat,"[""51.12352247090242"", ""4.033428193568426""]"
Korte Heesdonkstraat,"[""51.1265692"", ""4.0390809""]"
Kouterstraat,"[""51.111219549999994"", ""4.08160335""]"
Krommingenstraat,"[""51.12417331706102"", ""4.024553303948083""]"
Kuilstraat,"[""51.13421698913763"", ""4.116871539826185""]"
Lange Beulestraat,"[""51.12629136233242"", ""4.036065766363854""]"
