Straat,Coordinaten
Abdijstraat,"[""50.89584740379855"", ""3.3511909034592793""]"
Abeelstraat,"[""50.90574440596547"", ""3.4063415949197133""]"
Acacialaan,"[""50.87683067362175"", ""3.4478434619134255""]"
Achterstraat,"[""50.857598348727215"", ""3.3436392759662987""]"
Adelaarstraat,"[""50.87436445"", ""3.3320088""]"
Akkerwindelaan,"[""50.87613097758346"", ""3.337172846561844""]"
Albert Saverysstraat,"[""50.89295088965471"", ""3.439435532594072""]"
Albert Servaeslaan,"[""50.89218567412503"", ""3.4434577117001286""]"
Albrecht Rodenbachwijk,"[""50.882377167347734"", ""3.3600265911514526""]"
Alcide de Gasperilaan,"[""50.86528267903613"", ""3.407946547339883""]"
Alfred De Taeyelaan,"[""FOUT, geen straat gevonden""]"
Aloise Biebuyckstraat,"[""50.90671655041176"", ""3.4047680192310166""]"
Alsteen,"[""50.88946032365851"", ""3.3661204633642647""]"
André Demedtsstraat,"[""50.88055344880022"", ""3.4156341577394254""]"
Anna Germonprezstraat,"[""50.90684769987933"", ""3.4107056355946703""]"
Anzegemseweg,"[""50.868954365567085"", ""3.444157935311326""]"
Armand De Rorestraat,"[""50.89040839078693"", ""3.420268917559628""]"
Astridlaan,"[""50.88714517365382"", ""3.3589925552930846""]"
Aststraat,"[""50.883982384653834"", ""3.41689125420097""]"
August Craslaan,"[""50.892266"", ""3.42221415""]"
August Vermeylenstraat,"[""50.90849711862501"", ""3.408182540379123""]"
Auwblauwstraat,"[""50.8775213"", ""3.33813645""]"
Azalealaan,"[""50.88603606870872"", ""3.417610189027676""]"
Baanstknokstraat,"[""50.8917526353528"", ""3.4155551689715065""]"
Ballingstraat,"[""50.88658324220979"", ""3.352988882564245""]"
Baneik,"[""50.88881635438944"", ""3.3670475409591223""]"
Barmbeekstraat,"[""50.88288412337014"", ""3.347331494739198""]"
Barrage,"[""50.9082637"", ""3.4038139000000003""]"
Barrierstraat,"[""50.901561585879314"", ""3.3986133097952047""]"
Beekstraat,"[""50.87812547981746"", ""3.4334296949364513""]"
Begijnenwegel,"[""50.8887610737914"", ""3.448990154899916""]"
Beiaardstraat,"[""50.8923022518323"", ""3.438349556029146""]"
Bergstraat,"[""50.8838394339797"", ""3.460561695109289""]"
Berkenlaan,"[""50.88188343379333"", ""3.443362572221974""]"
Bermkouter,"[""50.87675646286705"", ""3.34120722431723""]"
Bessemstraat,"[""50.88622285256244"", ""3.456950427811153""]"
Beveren-Dries,"[""50.8747045"", ""3.3565295""]"
Beveren-Trakel,"[""50.88913933318519"", ""3.3445293109997905""]"
Bieststraat,"[""50.876156558286446"", ""3.4307082725618487""]"
Biezenhof,"[""50.89116558068056"", ""3.44946785790404""]"
Bijenstraat,"[""50.88410557758528"", ""3.365923385790356""]"
Bilkhagelaan,"[""50.89698122631038"", ""3.413005299337355""]"
Blauwe-Zwaanstraat,"[""50.856912039817985"", ""3.4043518683635976""]"
Blauwpoortstraat,"[""50.87350370614773"", ""3.438479747316102""]"
Blekerijstraat,"[""50.89220403374359"", ""3.434446891734915""]"
Blommestraat,"[""50.872852365344464"", ""3.3640998719050805""]"
Boekenplein,"[""50.88438765"", ""3.435060860075178""]"
Boeversstraat,"[""50.875968099350374"", ""3.4252369559211506""]"
Bosstraat,"[""50.8733"", ""3.45272""]"
Boterbloemstraat,"[""50.87955842016907"", ""3.4164809280644106""]"
Botestraat,"[""50.88923444273222"", ""3.4088300390495134""]"
Boudewijn I-laan,"[""50.88584415906624"", ""3.3528239239974673""]"
Boulezlaan,"[""50.89148854102172"", ""3.4212762635452068""]"
Brabantstraat,"[""50.86195911789703"", ""3.432511714284338""]"
Bremlaan,"[""50.8957824"", ""3.4131121""]"
Broekstraat,"[""50.88642600085769"", ""3.418173703367924""]"
Brouwerijstraat,"[""50.877962455789664"", ""3.442534392095965""]"
Bushoek,"[""50.89902174186562"", ""3.3736080269434225""]"
Caseelstraat,"[""50.87873368060636"", ""3.405727866381772""]"
