Straat,Coordinaten
A. Burvenichlaan,"[""50.89938607082661"", ""4.321315078607834""]"
A. De Boecklaan,"[""50.91044979572936"", ""4.297097552237746""]"
A. Verhasseltstraat,"[""50.91065774779481"", ""4.307309699842199""]"
Adrienne Marivoetweg,"[""50.901038309832764"", ""4.302278182798218""]"
Alboom,"[""50.90070435983843"", ""4.313215365981689""]"
Albrecht Rodenbachstraat,"[""FOUT, geen straat gevonden""]"
Alexander Fleminglaan,"[""FOUT, geen straat gevonden""]"
Ambiorixlaan,"[""50.9016302322876"", ""4.320205909880583""]"
Amelgemweg,"[""50.92128407572503"", ""4.31506906256728""]"
Andreas Vesaliuslaan,"[""FOUT, geen straat gevonden""]"
Baziel De Craenelaan,"[""FOUT, geen straat gevonden""]"
Berkenlaan,"[""50.91001635000001"", ""4.31039805""]"
Bloemendreeflaan,"[""50.92161008427949"", ""4.332422554042711""]"
Boomgaardstraat,"[""50.90591691417069"", ""4.312619725894649""]"
Bosch,"[""50.9224765"", ""4.3181734""]"
Bouchoutlaan,"[""50.92059905"", ""4.33306405""]"
Brabants Dal,"[""50.9048948"", ""4.310519""]"
Brabants Dalplein,"[""FOUT, geen straat gevonden""]"
Cdt. J. De Blockplein,"[""50.8991458"", ""4.3124097""]"
Charles De Costerlaan,"[""FOUT, geen straat gevonden""]"
David Tenierslaan,"[""FOUT, geen straat gevonden""]"
David Teniersweg,"[""FOUT, geen straat gevonden""]"
De Ghelderodelaan,"[""50.90585815"", ""4.291256036189962""]"
De Hene,"[""50.90246595985961"", ""4.318013227575927""]"
Diepestraat,"[""50.901908021685536"", ""4.308560331238864""]"
Dijck,"[""50.90001128095171"", ""4.301880927445074""]"
Dorekensveld,"[""50.895390623117684"", ""4.298592528157587""]"
Dr. H. Folletlaan,"[""50.905345659286795"", ""4.30340592398061""]"
Dr. Schweitzerlaan,"[""50.89630088750843"", ""4.320608378361617""]"
Dries,"[""50.90923008528844"", ""4.309939420710806""]"
E. Lambrechtslaan,"[""50.90477757355656"", ""4.314111983332409""]"
E. Van Elewijckstraat,"[""50.90662884827809"", ""4.314207168863458""]"
E. Verhaerenlaan,"[""50.9078186"", ""4.2968819499999995""]"
Eburonenlaan,"[""50.89982927821373"", ""4.3204505388317775""]"
Erasmuslaan,"[""50.92252172262976"", ""4.3198975893176526""]"
Faymonvillesquare,"[""50.90796511589542"", ""4.306647875078271""]"
Fazantenheem,"[""50.91720446776006"", ""4.317611298664418""]"
Fr. Robbrechtsstraat,"[""50.91417794727386"", ""4.311087434828799""]"
G. Van Campenhoutstraat,"[""50.91229440327802"", ""4.300684350804406""]"
Geeraard Mercatorlaan,"[""FOUT, geen straat gevonden""]"
Guido Gezellestraat,"[""50.9065872438403"", ""4.299174608134597""]"
Guilielmo Marconilaan,"[""FOUT, geen straat gevonden""]"
H. Consciencelaan,"[""50.905519102168064"", ""4.29410613763269""]"
H. De Keersmaekerlaan,"[""50.916636047123845"", ""4.297972902553244""]"
H. De Molstraat,"[""50.89925470199681"", ""4.315088793733842""]"
Haagdoornlaan,"[""50.91200057114165"", ""4.312474132230166""]"
Hammestraat,"[""50.9105707750316"", ""4.2827590780659195""]"
Heide,"[""50.89725909129312"", ""4.317337699690907""]"
Holland,"[""50.91144430102483"", ""4.304589378420888""]"
Hugo Verrieststraat,"[""FOUT, geen straat gevonden""]"
Is. Meyskensstraat,"[""50.896562198634875"", ""4.312235354249111""]"
