Straat,Coordinaten
'T Voske,"[""FOUT, geen straat gevonden""]"
't Stroomke,"[""50.8106228"", ""3.0844623""]"
Acacialaan,"[""50.8055667"", ""3.0719859""]"
Akademiestraat,"[""50.7765002"", ""3.0398819""]"
Akkerstraat,"[""50.8075635"", ""3.0725608""]"
Amerikastraat,"[""50.7961466"", ""3.0096265""]"
Arkemolenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Artoisstraat,"[""50.8294367"", ""3.1011252""]"
Aststraat,"[""50.7914699"", ""3.0521034""]"
Bakkerstraat,"[""50.7836842"", ""3.0440316""]"
Ballonstraat,"[""50.7825654"", ""3.0582268""]"
Barrierestraat,"[""50.7773093"", ""3.0316022""]"
Begonialaan,"[""50.7852374"", ""3.0549444""]"
Beselarestraat,"[""50.8338803"", ""3.0433506""]"
Binnenhof,"[""50.7827524"", ""3.031348""]"
Blokstraat,"[""50.8012198"", ""3.0163002""]"
Boogstraat,"[""50.8176893"", ""3.0194216""]"
Bootweg,"[""50.7789215"", ""3.0724317""]"
Bourgondiestraat,"[""50.7887972"", ""3.0554082""]"
Briekhoekstraat,"[""50.7765765"", ""3.0337665""]"
Brugstraat,"[""50.7768645"", ""3.04307""]"
Bunderstraat,"[""50.8132586"", ""3.0811182""]"
Busbekestraat,"[""50.783219"", ""3.0779548""]"
Calvariestraat,"[""50.7994802"", ""3.0664588""]"
Christuslaan,"[""50.7853777"", ""3.0312553""]"
Clermontstraat,"[""50.8113587"", ""3.0664202""]"
Dadizelestraat,"[""50.8366402"", ""3.0938606""]"
De Balokken,"[""50.7724425"", ""3.029478700140012""]"
De Riemeers,"[""50.7796529"", ""3.0681986""]"
Derde Lansiersstraat,"[""50.8130067"", ""3.0763345""]"
Diederik Geerbodelaan,"[""50.7827098"", ""3.0300845""]"
Donkerstraat,"[""50.7786304"", ""3.0398217""]"
Doornkapellestraat,"[""50.8166797"", ""3.000805""]"
Dourdanstraat,"[""50.8090131"", ""3.0670427""]"
Dr. Dumontstraat,"[""50.7854273"", ""3.0325246""]"
Draperiestraat,"[""50.7774215"", ""3.0295655""]"
Drogenbroodstraat,"[""50.8124299"", ""3.102865""]"
Duivenstraat,"[""50.7805337"", ""3.0414842""]"
Dullaardstraat,"[""50.8289919"", ""3.0990813""]"
Eendrachtstraat,"[""50.7858716"", ""3.0509376""]"
Elf Juliplein,"[""50.778677"", ""3.034071""]"
Emiel Gellyncklaan,"[""50.7820673"", ""3.0506216""]"
Emiel Huysstraat,"[""50.8161861"", ""3.0799505""]"
Ern. Vandecandelaerestraat,"[""FOUT, geen straat gevonden""]"
Esdoornstraat,"[""50.7896696"", ""3.0512873""]"
Faconstraat,"[""50.7904134"", ""3.0145243""]"
Fobbestraat,"[""50.8194933"", ""3.0231665""]"
Fonteinestraat,"[""50.8036155"", ""3.0526985""]"
Frans Jozef Blieckstraat,"[""50.7830993"", ""3.0332966""]"
Frederiksplein,"[""50.777237"", ""3.0319388""]"
Galgestraat,"[""50.8183733"", ""3.032457""]"
Gasstraat,"[""50.7817015"", ""3.0421507""]"
Geluwebroekstraat,"[""50.8266922"", ""3.0409409""]"
Geluwemolenstraat,"[""50.8285909"", ""3.0555778""]"
Geluwesesteenweg,"[""50.7886"", ""3.04983""]"
Geluwestraat,"[""50.7861444"", ""3.0487356""]"
Gosserieslaan,"[""50.7839537"", ""3.0344768""]"
Grauwe Zusterstraat,"[""50.7798937"", ""3.0455216""]"
Groendalstraat,"[""50.785583"", ""3.0427443""]"
Groenesprietstraat,"[""50.8097877"", ""3.0599891""]"
Groenstraat,"[""50.7790549"", ""3.0411227""]"
Grote Ieperbaan,"[""50.8231445"", ""3.029954""]"
Guido Gezellestraat,"[""50.8079204"", ""3.0801578""]"
Haantjesstraat,"[""50.8045946"", ""3.0950908""]"
Hagelstraat,"[""50.7943756"", ""3.0635887""]"
Hansbekestraat,"[""50.7772228"", ""3.0248974""]"
Hellestraat,"[""50.7834538"", ""3.0532237""]"
Hendrik Consciencestraat,"[""50.7833861"", ""3.0351311""]"
Hoge Bossenstraat,"[""50.8149571"", ""3.0170538""]"
Hoge Poortstraat,"[""50.798569"", ""3.0780523""]"
Hoogland,"[""50.8166563"", ""3.01937""]"
Hoogweg,"[""50.7931276"", ""3.078751""]"
Hovenierstraat,"[""FOUT, geen straat gevonden""]"
Ieperstraat,"[""50.8110928"", ""3.0709241""]"
Ijsselbeekstraat,"[""50.8179271"", ""3.0801916""]"
Ijzerwegstraat,"[""50.7822675"", ""3.0364832""]"
Jean Verhaeghestraat,"[""50.7832629"", ""3.0343428""]"
Jef Demuyserestraat,"[""50.7823574"", ""3.0351799""]"
